layer_index,layer_name,representation_kind,left_member_id,right_member_id,left_rank,right_rank,cka,cka_grouped_ci95_lower,cka_grouped_ci95_upper,outlier_trimmed_cka,bootstrap_group,probe_rows
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.440,1,49,0.9289009844599443,0.9217933822033427,0.9652807338376905,0.9087801367543522,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.457,1,50,0.9627180030250488,0.9601152070414332,0.9790384717598766,0.9502111615466738,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.400,1,51,0.9651823880683293,0.9634052990195895,0.9815622897010974,0.9632633812015241,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.385,1,52,0.960407774323269,0.9457122552495082,0.9769367054740681,0.9440077826872881,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.350,1,53,0.9581068275164442,0.9557012857106324,0.9773463144198401,0.9486252191023334,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.416,1,54,0.9530220323785786,0.9492323360353571,0.9762923878992664,0.9358868726055715,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.342,1,55,0.9622109162970319,0.955131487507833,0.9803216348335728,0.951838670134556,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.359,1,56,0.958044665927401,0.9517279457014819,0.9805874634634795,0.9493392467458167,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.475,1,57,0.9695998582053029,0.9650732127915101,0.9825783774127502,0.9641062462447593,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.462,1,58,0.950181303796396,0.9491431737928836,0.9729482129592499,0.9339869949761513,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.268,1,59,0.9469059268855052,0.935612984283735,0.9702468868570516,0.9529008116986393,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.262,1,60,0.9597113714031174,0.9578063601384091,0.9802001415690017,0.9512570462840663,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.485,1,61,0.8859929161649616,0.8869322992490805,0.935135550453686,0.859769351012432,equilibrium_files,64
0,canonical_atrous_layer_1,flattened_spatial_activation,2864601_0.437,2864601_0.473,1,62,0.9406498626404903,0.9439101916787168,0.9706749972873332,0.9304197346002192,equilibrium_files,64
