left_member_id,right_member_id,distance
2864601_0.355,2864601_0.472,1.1176537403846099
2864601_0.355,2864601_0.436,1.893172354662471
2864601_0.355,2864601_0.454,1.1395541876581368
2864601_0.355,2864601_0.377,0.9142663233498293
2864601_0.355,2864601_0.212,1.8061094721481048
2864601_0.355,2864601_0.123,1.222321531602903
2864601_0.355,2864601_0.288,1.2929742766552257
2864601_0.355,2864601_0.349,0.9929629381772681
2864601_0.355,2864601_0.510,1.2779975653028683
2864601_0.355,2864601_0.376,1.2394574806329264
2864601_0.355,2864601_0.305,1.2237082403784554
2864601_0.355,2864601_0.496,1.094758648291204
2864601_0.355,2864601_0.261,1.0586987479622165
2864601_0.355,2864601_0.252,1.3548042553464457
2864601_0.355,2864601_0.208,1.0910582142448553
2864601_0.355,2864601_0.230,0.9697154676889914
2864601_0.355,2864601_0.452,1.111037252166387
2864601_0.355,2864601_0.498,1.0704278585491398
2864601_0.355,2864601_0.271,1.5275264656529433
2864601_0.355,2864601_0.450,3.6304321959798886
2864601_0.355,2864601_0.46,1.25884768185189
2864601_0.355,2864601_0.308,0.9418692949657367
2864601_0.355,2864601_0.163,1.1404791306483362
2864601_0.355,2864601_0.246,1.1366537766989484
2864601_0.355,2864601_0.438,1.2132958273831382
2864601_0.355,2864601_0.362,1.1536766755401742
2864601_0.355,2864601_0.136,1.2185772706596336
2864601_0.355,2864601_0.250,1.282455340945383
2864601_0.355,2864601_0.247,0.838876051358482
2864601_0.355,2864601_0.382,3.703308662779013
2864601_0.355,2864601_0.307,1.1565460205472808
2864601_0.355,2864601_0.339,1.5266337802253678
2864601_0.355,2864601_0.426,1.8504459383030596
2864601_0.355,2864601_0.379,1.382067800921963
2864601_0.449,2864601_0.340,1.0752728629322976
2864601_0.449,2864601_0.296,0.9550747308062436
2864601_0.449,2864601_0.270,0.8477333034625327
2864601_0.449,2864601_0.352,1.325828648353423
2864601_0.449,2864601_0.487,1.0348261770099065
2864601_0.449,2864601_0.272,1.9813094135772733
2864601_0.449,2864601_0.404,0.9338959133024657
2864601_0.449,2864601_0.274,0.9676170367796036
2864601_0.449,2864601_0.240,0.8970394064430273
2864601_0.449,2864601_0.417,1.485237227143754
2864601_0.449,2864601_0.494,0.9168092877330503
2864601_0.449,2864601_0.260,0.8871773588548028
2864601_0.449,2864601_0.434,0.9120788176702617
2864601_0.449,2864601_0.460,0.9492480240487093
2864601_0.449,2864601_0.402,0.8779065161449376
2864601_0.449,2864601_0.279,0.9287656655143677
2864601_0.449,2864601_0.353,0.9953332065639993
2864601_0.449,2864601_0.175,1.0141320687334672
2864601_0.449,2864601_0.277,1.046050717409559
2864601_0.449,2864601_0.463,1.9411247095261706
2864601_0.449,2864601_0.229,1.0093873102941084
2864601_0.449,2864601_0.224,1.1440521049734267
2864601_0.449,2864601_0.373,0.978861222175707
2864601_0.449,2864601_0.481,0.9130888725233823
2864601_0.449,2864601_0.289,0.9174132312099859
2864601_0.449,2864601_0.393,1.0357258215354699
2864601_0.449,2864601_0.406,1.1267662280719266
2864601_0.449,2864601_0.206,0.9752753271684248
2864601_0.449,2864601_0.284,2.13442297035602
2864601_0.449,2864601_0.235,1.0803188685984955
2864601_0.449,2864601_0.405,1.0388184667846942
2864601_0.449,2864601_0.398,1.009631931951954
2864601_0.449,2864601_0.358,1.0785237018182863
2864601_0.449,2864601_0.242,1.074951514507761
2864601_0.449,2864601_0.490,0.9824018674837975
2864601_0.449,2864601_0.263,0.9340706909776292
2864601_0.449,2864601_0.211,1.1892141270944587
2864601_0.449,2864601_0.292,2.331597298853096
2864601_0.449,2864601_0.276,1.011872492281154
2864601_0.449,2864601_0.427,0.9761616195725986
2864601_0.449,2864601_0.461,1.0310304052299244
2864601_0.449,2864601_0.471,0.9533646722843585
2864601_0.449,2864601_0.440,1.229506053499717
2864601_0.449,2864601_0.457,0.9693079441867539
2864601_0.449,2864601_0.400,0.9360850617788443
2864601_0.449,2864601_0.385,2.6110590670306237
2864601_0.449,2864601_0.350,1.0473021823881774
2864601_0.449,2864601_0.416,1.5595672656257922
2864601_0.449,2864601_0.342,0.9567728007501224
2864601_0.449,2864601_0.359,0.8994670499308637
2864601_0.449,2864601_0.475,1.0209120105168281
2864601_0.449,2864601_0.462,4.5871680141012074
2864601_0.449,2864601_0.268,3.4824040050275196
2864601_0.449,2864601_0.262,0.9702617167896008
2864601_0.449,2864601_0.485,1.290593045690421
2864601_0.449,2864601_0.473,1.07409552480167
2864601_0.449,2864601_0.189,1.9516935968218976
2864601_0.449,2864601_0.395,1.2653586148404639
2864601_0.449,2864601_0.237,1.154129140345637
2864601_0.449,2864601_0.372,1.1142514830360366
2864601_0.449,2864601_0.472,1.0451853202222947
2864601_0.449,2864601_0.436,1.7320268363076534
2864601_0.449,2864601_0.454,1.2945621375169996
2864601_0.449,2864601_0.377,1.097031867809593
2864601_0.449,2864601_0.212,1.6614180894966766
2864601_0.449,2864601_0.123,1.0074751974133325
2864601_0.449,2864601_0.288,1.0590853920932721
2864601_0.449,2864601_0.349,0.9010851018417767
2864601_0.449,2864601_0.510,0.9452172185150086
