member_id,row_id,function,perturbation,validity,signed_change_native,absolute_change_native,estimand
2864601_0.386,62867,original_f,random_joint_shift,exact_symmetry,0.005228281021118164,0.005228281021118164,"native max(log Q, -2)"
2864601_0.386,62995,original_f,random_joint_shift,exact_symmetry,0.026915252208709717,0.026915252208709717,"native max(log Q, -2)"
2864601_0.386,63005,original_f,random_joint_shift,exact_symmetry,0.0,0.0,"native max(log Q, -2)"
2864601_0.386,63016,original_f,random_joint_shift,exact_symmetry,-0.028322696685791016,0.028322696685791016,"native max(log Q, -2)"
2864601_0.386,63143,original_f,random_joint_shift,exact_symmetry,0.0,0.0,"native max(log Q, -2)"
2864601_0.386,63177,original_f,random_joint_shift,exact_symmetry,0.004067182540893555,0.004067182540893555,"native max(log Q, -2)"
2864601_0.386,63228,original_f,random_joint_shift,exact_symmetry,0.14131999015808105,0.14131999015808105,"native max(log Q, -2)"
2864601_0.386,63329,original_f,random_joint_shift,exact_symmetry,3.504753112792969e-05,3.504753112792969e-05,"native max(log Q, -2)"
2864601_0.386,63330,original_f,random_joint_shift,exact_symmetry,-0.029430389404296875,0.029430389404296875,"native max(log Q, -2)"
2864601_0.386,63439,original_f,random_joint_shift,exact_symmetry,0.0004744529724121094,0.0004744529724121094,"native max(log Q, -2)"
2864601_0.386,63444,original_f,random_joint_shift,exact_symmetry,-0.0004456043243408203,0.0004456043243408203,"native max(log Q, -2)"
2864601_0.386,63599,original_f,random_joint_shift,exact_symmetry,-0.13883686065673828,0.13883686065673828,"native max(log Q, -2)"
2864601_0.386,63629,original_f,random_joint_shift,exact_symmetry,-0.24329900741577148,0.24329900741577148,"native max(log Q, -2)"
2864601_0.386,63758,original_f,random_joint_shift,exact_symmetry,0.03687882423400879,0.03687882423400879,"native max(log Q, -2)"
2864601_0.386,63766,original_f,random_joint_shift,exact_symmetry,0.3539080023765564,0.3539080023765564,"native max(log Q, -2)"
2864601_0.386,63815,original_f,random_joint_shift,exact_symmetry,-0.017197847366333008,0.017197847366333008,"native max(log Q, -2)"
2864601_0.386,63893,original_f,random_joint_shift,exact_symmetry,0.027597665786743164,0.027597665786743164,"native max(log Q, -2)"
2864601_0.386,63901,original_f,random_joint_shift,exact_symmetry,0.2207830548286438,0.2207830548286438,"native max(log Q, -2)"
2864601_0.386,63968,original_f,random_joint_shift,exact_symmetry,-0.05325639247894287,0.05325639247894287,"native max(log Q, -2)"
2864601_0.386,63988,original_f,random_joint_shift,exact_symmetry,-0.090487539768219,0.090487539768219,"native max(log Q, -2)"
2864601_0.386,64002,original_f,random_joint_shift,exact_symmetry,0.0,0.0,"native max(log Q, -2)"
2864601_0.386,64070,original_f,random_joint_shift,exact_symmetry,-0.03202319145202637,0.03202319145202637,"native max(log Q, -2)"
2864601_0.386,64239,original_f,random_joint_shift,exact_symmetry,-0.0004215240478515625,0.0004215240478515625,"native max(log Q, -2)"
2864601_0.386,64321,original_f,random_joint_shift,exact_symmetry,0.08753275871276855,0.08753275871276855,"native max(log Q, -2)"
2864601_0.386,64338,original_f,random_joint_shift,exact_symmetry,0.010117053985595703,0.010117053985595703,"native max(log Q, -2)"
2864601_0.386,64449,original_f,random_joint_shift,exact_symmetry,-0.6271487474441528,0.6271487474441528,"native max(log Q, -2)"
2864601_0.386,64462,original_f,random_joint_shift,exact_symmetry,0.0458676815032959,0.0458676815032959,"native max(log Q, -2)"
2864601_0.386,64539,original_f,random_joint_shift,exact_symmetry,-0.0011682510375976562,0.0011682510375976562,"native max(log Q, -2)"
2864601_0.386,64584,original_f,random_joint_shift,exact_symmetry,-0.0011763572692871094,0.0011763572692871094,"native max(log Q, -2)"
2864601_0.386,64601,original_f,random_joint_shift,exact_symmetry,0.22030770778656006,0.22030770778656006,"native max(log Q, -2)"
2864601_0.386,64656,original_f,random_joint_shift,exact_symmetry,0.15137231349945068,0.15137231349945068,"native max(log Q, -2)"
2864601_0.386,64670,original_f,random_joint_shift,exact_symmetry,-0.00776064395904541,0.00776064395904541,"native max(log Q, -2)"
2864601_0.386,64695,original_f,random_joint_shift,exact_symmetry,-0.07709401845932007,0.07709401845932007,"native max(log Q, -2)"
2864601_0.386,64711,original_f,random_joint_shift,exact_symmetry,-0.017528235912322998,0.017528235912322998,"native max(log Q, -2)"
2864601_0.386,64714,original_f,random_joint_shift,exact_symmetry,0.11950492858886719,0.11950492858886719,"native max(log Q, -2)"
2864601_0.386,64792,original_f,random_joint_shift,exact_symmetry,0.12546098232269287,0.12546098232269287,"native max(log Q, -2)"
2864601_0.386,64895,original_f,random_joint_shift,exact_symmetry,0.013261198997497559,0.013261198997497559,"native max(log Q, -2)"
2864601_0.386,64915,original_f,random_joint_shift,exact_symmetry,0.13657870888710022,0.13657870888710022,"native max(log Q, -2)"
2864601_0.386,64926,original_f,random_joint_shift,exact_symmetry,0.00017642974853515625,0.00017642974853515625,"native max(log Q, -2)"
2864601_0.386,64932,original_f,random_joint_shift,exact_symmetry,4.57763671875e-05,4.57763671875e-05,"native max(log Q, -2)"
2864601_0.386,64937,original_f,random_joint_shift,exact_symmetry,-0.003658771514892578,0.003658771514892578,"native max(log Q, -2)"
2864601_0.386,64973,original_f,random_joint_shift,exact_symmetry,-0.26417475938796997,0.26417475938796997,"native max(log Q, -2)"
2864601_0.386,64988,original_f,random_joint_shift,exact_symmetry,0.4563593864440918,0.4563593864440918,"native max(log Q, -2)"
2864601_0.386,65084,original_f,random_joint_shift,exact_symmetry,-0.032455503940582275,0.032455503940582275,"native max(log Q, -2)"
2864601_0.386,65090,original_f,random_joint_shift,exact_symmetry,0.030789732933044434,0.030789732933044434,"native max(log Q, -2)"
2864601_0.386,65147,original_f,random_joint_shift,exact_symmetry,-0.05675363540649414,0.05675363540649414,"native max(log Q, -2)"
2864601_0.386,65165,original_f,random_joint_shift,exact_symmetry,0.03581070899963379,0.03581070899963379,"native max(log Q, -2)"
2864601_0.386,65308,original_f,random_joint_shift,exact_symmetry,-0.02060556411743164,0.02060556411743164,"native max(log Q, -2)"
2864601_0.386,65373,original_f,random_joint_shift,exact_symmetry,-0.07293558120727539,0.07293558120727539,"native max(log Q, -2)"
2864601_0.386,65390,original_f,random_joint_shift,exact_symmetry,0.03032231330871582,0.03032231330871582,"native max(log Q, -2)"
2864601_0.386,65547,original_f,random_joint_shift,exact_symmetry,-0.0540313720703125,0.0540313720703125,"native max(log Q, -2)"
2864601_0.386,65599,original_f,random_joint_shift,exact_symmetry,0.10115563869476318,0.10115563869476318,"native max(log Q, -2)"
2864601_0.386,65613,original_f,random_joint_shift,exact_symmetry,0.13664638996124268,0.13664638996124268,"native max(log Q, -2)"
2864601_0.386,65707,original_f,random_joint_shift,exact_symmetry,0.0005745887756347656,0.0005745887756347656,"native max(log Q, -2)"
2864601_0.386,65765,original_f,random_joint_shift,exact_symmetry,-0.07960271835327148,0.07960271835327148,"native max(log Q, -2)"
2864601_0.386,65878,original_f,random_joint_shift,exact_symmetry,-0.010390311479568481,0.010390311479568481,"native max(log Q, -2)"
2864601_0.386,66003,original_f,random_joint_shift,exact_symmetry,0.003864973783493042,0.003864973783493042,"native max(log Q, -2)"
2864601_0.386,66034,original_f,random_joint_shift,exact_symmetry,0.08364921808242798,0.08364921808242798,"native max(log Q, -2)"
2864601_0.386,66113,original_f,random_joint_shift,exact_symmetry,-0.026451945304870605,0.026451945304870605,"native max(log Q, -2)"
2864601_0.386,66242,original_f,random_joint_shift,exact_symmetry,-0.03717911243438721,0.03717911243438721,"native max(log Q, -2)"
2864601_0.386,66256,original_f,random_joint_shift,exact_symmetry,0.16270709037780762,0.16270709037780762,"native max(log Q, -2)"
2864601_0.386,66312,original_f,random_joint_shift,exact_symmetry,-0.004855155944824219,0.004855155944824219,"native max(log Q, -2)"
2864601_0.386,66357,original_f,random_joint_shift,exact_symmetry,0.1764962077140808,0.1764962077140808,"native max(log Q, -2)"
2864601_0.386,66425,original_f,random_joint_shift,exact_symmetry,-0.057311296463012695,0.057311296463012695,"native max(log Q, -2)"
2864601_0.386,66546,original_f,random_joint_shift,exact_symmetry,-0.008687734603881836,0.008687734603881836,"native max(log Q, -2)"
2864601_0.386,66603,original_f,random_joint_shift,exact_symmetry,0.10052037239074707,0.10052037239074707,"native max(log Q, -2)"
2864601_0.386,66698,original_f,random_joint_shift,exact_symmetry,0.09922456741333008,0.09922456741333008,"native max(log Q, -2)"
