feature,outcome,regime,sample_count,spearman,interval_lower,interval_upper,finite_resamples,resampling_unit,interval_kind,feature_selection
d_pressure_d_s,ensemble_spread,stable_or_near_floor,240,0.002419140665368183,-0.11532183423598938,0.12136853112505963,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
d_pressure_d_s,ensemble_absolute_error,stable_or_near_floor,240,0.007891434084958146,-0.10850168026426942,0.13658628345614243,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
aspect,ensemble_spread,stable_or_near_floor,240,-0.16299778036764928,-0.2734718928309719,-0.04216210605508295,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
aspect,ensemble_absolute_error,stable_or_near_floor,240,-0.08575501214783032,-0.2093626221473296,0.03059905125300461,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
rho,ensemble_spread,stable_or_near_floor,240,-0.059840448618899617,-0.18450160094618048,0.07895651953978507,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
rho,ensemble_absolute_error,stable_or_near_floor,240,-0.08471201093423032,-0.21006543256008034,0.04924855486854578,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
aspect_over_rho,ensemble_spread,stable_or_near_floor,240,0.004607718884008402,-0.11856588090543806,0.14177256793585383,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
aspect_over_rho,ensemble_absolute_error,stable_or_near_floor,240,0.05430391773465229,-0.07117809132541755,0.19573715473639106,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
support_warning_score,ensemble_spread,unstable,760,0.04587983172872362,-0.02953131956108407,0.11736054450211147,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
support_warning_score,ensemble_absolute_error,unstable,760,0.00043594965496688545,-0.06425803472650903,0.0708100072448393,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_lt,ensemble_spread,unstable,760,-0.4339295491927973,-0.4916178994637245,-0.37002884937546776,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_lt,ensemble_absolute_error,unstable,760,-0.292111700878619,-0.35608036050922565,-0.2267391826884838,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_ln,ensemble_spread,unstable,760,-0.2464126040457316,-0.3101969303835681,-0.1794283513651573,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_ln,ensemble_absolute_error,unstable,760,-0.14925701048651402,-0.21386766955237338,-0.07469695609521498,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
q_stds,ensemble_spread,unstable,760,-0.34684167608177624,-0.41444007291049556,-0.28710814524971584,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
q_stds,ensemble_absolute_error,unstable,760,-0.24202503084228624,-0.3123323470037093,-0.17399433377174633,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
symmetry_error,ensemble_spread,unstable,760,0.43914582347959696,0.3689066045525431,0.5012141622478608,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
symmetry_error,ensemble_absolute_error,unstable,760,0.2306703098651557,0.15691076198006165,0.3056766732517577,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
