member_id,stratifier,level,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99
2864601_0.402,flux_regime,low_flux,2205.0,0.7379245890793074,0.14120936509936208,0.01215540535921968,-1.0150902128219605,-0.5673036694526672,-0.18509536981582642,0.011348739266395569,0.2012701779603958,0.5845317125320426,1.1515720248222359
2864601_0.402,flux_regime,medium_flux,2205.0,0.7461400748306739,0.057979141479818246,-0.012676915654790104,-0.6176608657836914,-0.3610966444015503,-0.12026715278625488,-0.010463595390319824,0.1050565242767334,0.31769385337829525,0.5759330701828004
2864601_0.402,flux_regime,near_threshold,29.0,-54.76810398224617,0.02884263719777513,0.10782359797379067,-0.07400138854980469,-0.0493255615234375,0.02712416648864746,0.08518552780151367,0.17172396183013916,0.3271259307861328,0.43052657127380356
2864601_0.402,flux_regime,stable_floor,3141.0,nan,0.024995367348101108,0.031518690356856054,-0.0560579776763916,-0.029952287673950195,-0.009023904800415039,0.0021114349365234375,0.01709580421447754,0.14343857765197754,0.7542666912078857
2864601_0.402,a_over_LT_tertile,0,3262.0,0.9167281620822344,0.07621688888415737,0.006785517891034984,-0.8857085588574409,-0.36618900299072266,-0.018034815788269043,0.0003914833068847656,0.02663467824459076,0.37871195003390307,0.923666793107986
2864601_0.402,a_over_LT_tertile,1,3261.0,0.9711181956047481,0.08069243698611435,0.0052670227939874015,-0.7339482456445694,-0.3639003708958626,-0.09253072738647461,0.00119781494140625,0.09894275665283203,0.4055318832397461,0.780613207817078
2864601_0.402,a_over_LT_tertile,2,3262.0,0.9811680440195039,0.05534234329308453,0.0002865453516512853,-0.6754222106933594,-0.3450752928853035,-0.10294109582901001,0.0043898820877075195,0.10768330097198486,0.3426080703735349,0.5984775561094279
2864601_0.402,a_over_Ln_tertile,0,3262.0,0.9775528829807302,0.10855091199021845,0.0032384856331737735,-1.0825768578052521,-0.44488895535469053,-0.05390572547912598,0.00032341480255126953,0.08398228883743286,0.4531835660338401,0.9505450817942607
2864601_0.402,a_over_Ln_tertile,1,3261.0,0.9864112029100586,0.062419950206479585,0.007005183996179457,-0.6650684237480163,-0.31913280487060547,-0.07482600212097168,2.6226043701171875e-06,0.0791776180267334,0.3518956173211336,0.7873689591884625
2864601_0.402,a_over_Ln_tertile,2,3262.0,0.9916579286258039,0.04127520534594098,0.002095949258700634,-0.6216483515501022,-0.3163096472620964,-0.06281960010528564,0.0025926828384399414,0.06759774684906006,0.3135816246271132,0.5925139442086212
2864601_0.402,equilibrium_class,0,5033.0,0.9833592946682299,0.08151762501933245,7.975325941684762e-05,-0.8168482995033264,-0.3914188861846924,-0.06910941004753113,0.0006635189056396484,0.07794874906539917,0.4076038062572476,0.7785635221004517
2864601_0.402,equilibrium_class,1,1221.0,0.984774625066493,0.07430801950654324,0.019988320891827,-0.7487637788057327,-0.3138214945793152,-0.05263698101043701,-0.0014758110046386719,0.0894632339477539,0.38506019115448,0.9036983668804148
2864601_0.402,equilibrium_class,2,1253.0,0.9878766449589665,0.05110841266670804,0.004314171149955092,-0.6217414402961731,-0.2881022453308105,-0.06008791923522949,0.005185842514038086,0.07151389122009277,0.3198513031005848,0.6860660934448244
2864601_0.402,equilibrium_class,3,795.0,0.9891750036828756,0.049853324461627595,0.004914963572526221,-0.5682406187057495,-0.29446823596954347,-0.06291759014129639,0.001741170883178711,0.07718890905380249,0.28823006153106673,0.638672406673427
2864601_0.402,equilibrium_class,4,1483.0,0.9885466541821512,0.0590719621144392,0.004129899645460342,-0.6270850652456283,-0.3317797780036926,-0.07016640901565552,0.00011038780212402344,0.06766289472579956,0.3615990936756126,0.7586742234230053
2864601_0.402,fixed_pair_split,test,994.0,0.9871556195849543,0.062180100121755934,0.023956746302270546,-0.6261526781320572,-0.32145660817623134,-0.058392345905303955,0.004601921886205673,0.09596484899520874,0.4074435412883758,0.8357485964894281
2864601_0.402,fixed_pair_split,train,7774.0,0.9857508975806255,0.06907793476555381,0.0008642095169258238,-0.76105701982975,-0.36632357239723207,-0.06603113561868668,0.0008692741394042969,0.07474693097174168,0.3574451364576816,0.7329330682754495
