member_id,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99
2864601_0.405,9785.0,0.9850338042568384,0.07246854683518406,0.0054759888158054425,-0.8800045824050903,-0.34375367760658265,-0.06349313259124756,0.004360198974609375,0.07799527049064636,0.3793549001216883,0.7837658691406248
2864601_0.398,9785.0,0.9848840276509385,0.07319378744847949,0.0113473082616787,-0.7933795791864395,-0.34738551676273344,-0.05719935894012451,0.004752159118652344,0.08745121955871582,0.3846700280904768,0.7984618973731986
2864601_0.358,9785.0,0.9854344958597803,0.07052833846877099,0.005377275245042288,-0.8634854650497437,-0.3577372372150421,-0.058391571044921875,0.005297422409057617,0.08279252052307129,0.36576614379882805,0.7670103192329396
2864601_0.242,9785.0,0.984523947480509,0.07493734921547802,0.003252651546586245,-0.8395328426361084,-0.3651562392711639,-0.06966376304626465,0.0019963979721069336,0.07578182220458984,0.38632847070693965,0.7984376251697538
2864601_0.490,9785.0,0.984689684999129,0.07413482348772593,0.03245954780732486,-0.7540673971176147,-0.31020295619964594,-0.03771841526031494,0.009332895278930664,0.10020899772644043,0.43354065418243387,0.8616340351104723
2864601_0.263,9785.0,0.9850040720151667,0.07261251477366855,0.011737938779848234,-0.776958943605423,-0.34187047481536864,-0.0633687973022461,0.0032619237899780273,0.08918285369873047,0.3931517124176025,0.8503912448883053
2864601_0.211,9785.0,0.9854115731498508,0.07063933364126641,0.0018353191904139962,-0.8145488452911377,-0.35936760604381557,-0.06720638275146484,0.0004343986511230469,0.08045411109924316,0.3729812622070304,0.7718041515350341
2864601_0.292,9785.0,0.9855895065238939,0.0697777537667499,0.00023801405138124826,-0.7541859394311905,-0.3651235580444336,-0.07226991653442383,0.0008810758590698242,0.07191205024719238,0.36482667922973605,0.7704049611091613
2864601_0.276,9785.0,0.9852378995025449,0.07148028728505225,-0.005874901228764832,-0.8049787855148315,-0.3851934671401977,-0.07854408025741577,-0.0040988922119140625,0.06776070594787598,0.35672140121459944,0.7680023074150084
2864601_0.427,9785.0,0.9855662412862035,0.06989040750963368,0.005223620376072221,-0.770699520111084,-0.3603302001953125,-0.0702582597732544,0.0026733875274658203,0.0799485445022583,0.37350356578826815,0.787725224494934
2864601_0.461,9785.0,0.9848281813030019,0.0734642037754119,-0.00124980962029387,-0.8444872784614563,-0.38096535205841064,-0.07202117145061493,-0.0007815361022949219,0.08121269941329956,0.363304042816162,0.7434660100936885
2864601_0.471,9785.0,0.9861004774479037,0.06730355651759608,0.00477256600304048,-0.8133939427137374,-0.3549779415130615,-0.06528592109680176,0.0032674074172973633,0.07980203628540039,0.37472022175788816,0.7800291156768787
2864601_0.440,9785.0,0.9854655065895934,0.07037817990045965,0.016953059881670385,-0.8294367027282715,-0.3444807125255465,-0.05794743821024895,0.018186569213867188,0.09123086929321289,0.38068799972534156,0.8075588604807843
2864601_0.457,9785.0,0.9853943968973834,0.07072250361162838,0.005035863041386506,-0.7831061172485352,-0.3560515701770782,-0.0637502670288086,0.0006911754608154297,0.07703375816345215,0.38728817701339713,0.7454636657238005
2864601_0.400,9785.0,0.9853330394931001,0.07101960529346463,0.006524778129272977,-0.7903511571884155,-0.35845324397087097,-0.058311909437179565,0.00332796573638916,0.07937812805175781,0.37184283733367907,0.7733067181706424
2864601_0.385,9785.0,0.9849908474776666,0.0726765499521233,0.005786389798493095,-0.7656694281101227,-0.35778236389160156,-0.06640958786010742,0.003262162208557129,0.0747690200805664,0.3813246250152586,0.7788865232467643
2864601_0.350,9785.0,0.9843029901308028,0.07600725758234417,0.004014130862565725,-0.8736600685119629,-0.3666090726852417,-0.06392812728881836,0.0024094581604003906,0.08057534694671631,0.3766065239906309,0.7696980428695679
2864601_0.416,9785.0,0.9845891191656448,0.07462177821816852,0.007762115107185726,-0.7956516349315643,-0.3549038410186767,-0.06508159637451172,-0.001337289810180664,0.07640904188156128,0.3961734175682064,0.8205066871643059
2864601_0.342,9785.0,0.9851056822928317,0.0721205026890836,0.00262446525100917,-0.8130553531646728,-0.36875071525573727,-0.0698365569114685,0.0009002685546875,0.07840025424957275,0.3738861292600631,0.7641046810150145
2864601_0.359,9785.0,0.9847014864937116,0.07407767889483416,0.0047454344495809955,-0.7989548540115357,-0.3599969681352377,-0.06923198699951172,0.0014488697052001953,0.08409249782562256,0.368810224533081,0.8225083684921264
2864601_0.475,9785.0,0.9852035599153057,0.07164656467637164,0.007991278583885708,-0.803915160894394,-0.35599613189697266,-0.05354619026184082,0.0024073123931884766,0.08133268356323242,0.37623631954193054,0.8432857751846302
2864601_0.462,9785.0,0.9851387017176019,0.07196061772088617,0.011621590688089756,-0.7700827121734619,-0.3645049750804901,-0.05897259712219238,0.003344893455505371,0.08593559265136719,0.3915765762329099,0.8682422256469712
2864601_0.268,9785.0,0.9844525709920521,0.07528296479377439,0.004904414819194552,-0.80755606174469,-0.37478619217872616,-0.06184220314025879,0.0019276142120361328,0.08136901259422302,0.3727383494377133,0.798769474029541
2864601_0.262,9785.0,0.9844757248665875,0.07517085028785832,0.0209047495777935,-0.803507798910141,-0.33865678310394287,-0.05299854278564453,0.008649349212646484,0.10007095336914062,0.4042428195476529,0.8652136826515192
2864601_0.485,9785.0,0.9853376084337051,0.0709974818031738,0.00663966861725466,-0.7952335357666015,-0.3490073814988136,-0.06640195846557617,0.0010809898376464844,0.086151123046875,0.3789530456066127,0.7896629905700681
2864601_0.473,9785.0,0.9838083248234655,0.07840250060920978,-0.011077099063926375,-0.8532432579994201,-0.38111012578010556,-0.09089374542236328,-0.013345479965209961,0.061528921127319336,0.37286406159400926,0.8367920637130737
2864601_0.189,9785.0,0.9848596525705814,0.0733118152147057,-0.0022284750289641325,-0.8764695239067077,-0.3708083391189575,-0.07005739212036133,-0.000370025634765625,0.07170035876333714,0.3720709890127175,0.7833878982067104
2864601_0.395,9785.0,0.9842540422725851,0.07624427039552696,0.004807787146021321,-0.8373404502868652,-0.3714032292366028,-0.06604766845703125,0.002996683120727539,0.08475327491760254,0.3859071254730217,0.8069333863258359
2864601_0.237,9785.0,0.9849127162471047,0.0730548729968323,0.005118447655616671,-0.8160669437050819,-0.3556715652346611,-0.06743514537811279,0.001917123794555664,0.08016592264175415,0.3772967338562006,0.7902586650848388
2864601_0.372,9785.0,0.9842471803452513,0.07627749686876706,0.00024035466022256002,-0.8492883205413818,-0.36745951175689695,-0.07550621032714844,0.0005936622619628906,0.07338094711303711,0.3740704298019406,0.7951105892658229
2864601_0.472,9785.0,0.9845119286879989,0.07499554599726992,0.010149803851296513,-0.7604442834854126,-0.347131872177124,-0.06930923461914062,0.008557438850402832,0.08013081550598145,0.38359656333923325,0.7958602666854857
2864601_0.436,9785.0,0.9850962024179647,0.07216640565384368,0.0077210288854332775,-0.8311904704570771,-0.35508938431739806,-0.06349873542785645,0.00319516658782959,0.08051168918609619,0.38048372268676744,0.7868933534622188
2864601_0.454,9785.0,0.9844698617094669,0.07519924056710404,-0.0033610958490154514,-0.8008960342407226,-0.3731339037418365,-0.07848727703094482,-0.0009832382202148438,0.07887840270996094,0.3591402053833004,0.7646996450424186
2864601_0.377,9785.0,0.9850728508514327,0.07227947741382434,0.00792551733318497,-0.8047017395496369,-0.3639811038970947,-0.06641435623168945,0.011958837509155273,0.08219313621520996,0.3770069479942321,0.8020372259616849
2864601_0.212,9785.0,0.9846407391121665,0.07437182675579743,0.007171764825888937,-0.7708039665222168,-0.3508900880813598,-0.06691288948059082,-0.006888866424560547,0.0805051326751709,0.402940464019775,0.8352028715610502
2864601_0.123,9785.0,0.9844140245021746,0.07546961263367678,0.0005851440500689544,-0.882214584350586,-0.3698709487915039,-0.07778483629226685,0.002048492431640625,0.08002591133117676,0.38025789260864234,0.8030109262466428
2864601_0.288,9785.0,0.9845649040268912,0.07473903152335078,0.009496200630603944,-0.817466596364975,-0.37378718852996823,-0.06559944152832031,0.005703389644622803,0.09042340517044067,0.3934079170227049,0.7728567695617674
2864601_0.349,9785.0,0.9841493454941678,0.076751227776042,0.003462553894578317,-0.835584487915039,-0.3729694724082947,-0.06354761123657227,0.003681778907775879,0.07839205861091614,0.38866729438304864,0.7918505048751829
