member_id,stored_validation_rank,stored_validation_r2,heldout_rank,heldout_r2,heldout_r2_ci_low,heldout_r2_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_probability_top10
2864601_0.473,62,0.98547363626713,97,0.9838083248234655,0.9821526520874515,0.9851920384032814,96.0,68.475,100.0,0.0
2864601_0.189,63,0.9854734310917874,64,0.9848596525705814,0.9834257957201634,0.986138184477418,61.0,28.475,89.0,0.0
2864601_0.395,64,0.9854687449926256,89,0.9842540422725851,0.9826966596070725,0.9856188731503076,86.0,54.0,99.0,0.0
2864601_0.237,65,0.9854491819360869,62,0.9849127162471047,0.9834356547527061,0.9862627595000095,58.0,21.475,90.52499999999998,0.004
2864601_0.372,66,0.9854406194879038,90,0.9842471803452513,0.9826568405003336,0.9857640214137259,86.0,55.425000000000004,99.0,0.0
2864601_0.472,67,0.9854302575112713,78,0.9845119286879989,0.9829165387652916,0.9859679263056252,76.0,33.0,98.0,0.0
2864601_0.436,68,0.9854017550154825,47,0.9850962024179647,0.9836118408366289,0.9864559614792202,47.5,13.0,87.52499999999998,0.004
2864601_0.454,69,0.9854013093969364,80,0.9844698617094669,0.9828483209917493,0.9859558589231189,79.0,41.95,98.0,0.0
2864601_0.377,70,0.985380203573252,48,0.9850728508514327,0.9835792303712447,0.986409157357465,49.0,16.475,83.0,0.006
2864601_0.212,71,0.9853703895795144,72,0.9846407391121665,0.9832260882741726,0.9859606496668799,71.0,34.0,94.52499999999998,0.0
2864601_0.123,72,0.9853689140399841,85,0.9844140245021746,0.9829919286189633,0.9856893203061324,81.0,54.0,96.0,0.0
2864601_0.288,73,0.9853655973775949,76,0.9845649040268912,0.983220013041299,0.9858587652821219,75.0,40.0,95.0,0.0
2864601_0.349,74,0.9853648639346299,91,0.9841493454941678,0.9826308822321407,0.9856576047416656,88.0,53.475,100.0,0.0
2864601_0.510,75,0.9853339296435432,82,0.9844542259673115,0.98265184529738,0.9859537316262489,79.0,38.0,99.0,0.0
2864601_0.376,76,0.9853303513254787,43,0.9851596694213781,0.9837643280347522,0.9865628986858203,45.0,16.475,78.04999999999995,0.002
2864601_0.305,77,0.9853293464869389,70,0.9846699189034192,0.9834166844080786,0.9858762963050051,70.0,33.475,94.0,0.0
2864601_0.496,78,0.9853293403601217,86,0.9844071098106173,0.9830150648291819,0.9857480864285446,80.0,50.475,98.0,0.0
2864601_0.261,79,0.9853273244133539,84,0.9844507478004514,0.983080299784196,0.9858499021362774,79.0,50.0,95.52499999999998,0.0
2864601_0.252,80,0.9853124464355186,93,0.9840431981182541,0.9824788802737358,0.9854477118145258,91.0,60.475,99.0,0.0
2864601_0.208,81,0.9853096868068765,87,0.9844023225297451,0.9830046250357282,0.9856848812054617,82.0,46.475,98.0,0.0
2864601_0.230,82,0.9852937460407709,59,0.9849537856931929,0.9836301161979047,0.9862612894189597,56.0,24.0,83.52499999999998,0.0
2864601_0.452,83,0.9852886081945107,99,0.9837981721063885,0.9823487625987124,0.9853099200816328,95.0,73.0,100.0,0.0
