member_id,unit_id,stratum,concept,rank_correlation_zero_lag,overlap_at_fixed_sparsity,sparsity,best_lag,lag_correlation,partial_rank_correlation,validity_tag,bootstrap_group,bootstrap_recurrence,lag_correlation_ci95_lower,lag_correlation_ci95_upper
2864601_0.437,2864601_0.437:u000,overall,bmag_extremum_strength_abs_dz,-0.0179226492156983,0.062,0.05,18,-0.03575536122764246,-0.021300294653010178,observed-comparison,equilibrium_files,0.0,-0.048492122994570105,-0.022297545251101843
2864601_0.437,2864601_0.437:u000,overall,bmag_extremum_strength_abs_dz__mean_w9,-0.02994841211945393,0.0664,0.05,-31,0.06059305302457933,0.05133765771736273,observed-comparison,equilibrium_files,0.0,0.03973827157377052,0.0800429682981976
2864601_0.437,2864601_0.437:u000,overall,bmag_extremum_strength_abs_dz__mean_w25,-0.026850360045519665,0.0664,0.05,-30,0.07158350802861344,0.055512126305623126,observed-comparison,equilibrium_files,0.0,0.04356195178889132,0.09816051892049683
2864601_0.437,2864601_0.437:u000,overall,bmag_local_minimum,0.0036465065311991848,0.0576,0.05,2,0.009939063125569969,-0.0011758442439065728,observed-comparison,equilibrium_files,0.0,0.005893537023137009,0.01455461862685865
2864601_0.437,2864601_0.437:u000,overall,bmag_local_minimum__mean_w9,0.017554974152677635,0.049,0.05,5,0.023956005173552813,-0.021096732065053032,observed-comparison,equilibrium_files,0.0,0.012470654425229032,0.035503494499223257
2864601_0.437,2864601_0.437:u000,overall,bmag_local_minimum__mean_w25,0.0354949117349564,0.062,0.05,3,0.0430748721799593,0.040156348638341964,observed-comparison,equilibrium_files,0.0,0.025727490068705106,0.06168865444732643
2864601_0.437,2864601_0.437:u000,overall,parallel_scale_local_dimensionless,0.016754100705455063,0.0666,0.05,-38,-0.03588194767335169,-0.03887403184182624,observed-comparison,equilibrium_files,0.0,-0.05035471741972596,-0.02070448792105908
2864601_0.437,2864601_0.437:u000,overall,parallel_scale_local_dimensionless__mean_w9,0.017364672802565942,0.0624,0.05,-35,-0.04115635812280011,-0.038409018655754606,observed-comparison,equilibrium_files,0.0,-0.06271343584572145,-0.01935211496564024
2864601_0.437,2864601_0.437:u000,overall,parallel_scale_local_dimensionless__mean_w25,0.03341324009705449,0.0696,0.05,-30,-0.05311509418824596,-0.045245757545627145,observed-comparison,equilibrium_files,0.0,-0.08393703497116753,-0.023863259893927666
2864601_0.437,2864601_0.437:u000,overall,parallel_fourier_expected_k_bmag_w25,0.018519236003471325,0.052399999999999995,0.05,-40,-0.036228000591275344,-0.030392389796313105,observed-comparison,equilibrium_files,0.0,-0.04945623962239378,-0.0215060701378522
2864601_0.437,2864601_0.437:u000,overall,parallel_fourier_expected_k_bmag_w25__mean_w9,0.033845705053952145,0.0562,0.05,-43,-0.05557396057275596,-0.041402133537105805,observed-comparison,equilibrium_files,0.0,-0.07398303662056904,-0.03600630075348023
2864601_0.437,2864601_0.437:u000,overall,parallel_fourier_expected_k_bmag_w25__mean_w25,0.05509898997738252,0.061,0.05,16,0.07296179499873698,0.05594561945155755,observed-comparison,equilibrium_files,0.0,0.04522716562683497,0.10082159356309367
2864601_0.437,2864601_0.437:u000,overall,parallel_fourier_expected_k_compression_w25,0.010439942820663172,0.05040000000000001,0.05,12,0.029204797229865735,0.010956531794287556,observed-comparison,equilibrium_files,0.0,0.014686637935150305,0.0451837354692006
2864601_0.437,2864601_0.437:u000,overall,parallel_fourier_expected_k_compression_w25__mean_w9,0.02391345404944238,0.0554,0.05,10,0.0478713813008149,0.027653642630389243,observed-comparison,equilibrium_files,0.0,0.02842268146878889,0.07096781749682173
2864601_0.437,2864601_0.437:u000,overall,parallel_fourier_expected_k_compression_w25__mean_w25,0.03349988603528526,0.0506,0.05,16,0.07412399675600917,0.05638454458379319,observed-comparison,equilibrium_files,0.0,0.04641372856541537,0.10258337426946666
2864601_0.437,2864601_0.437:u000,overall,parallel_fourier_expected_k_curvature_w25,-0.0022390360510457057,0.060200000000000004,0.05,-19,0.018702871555242563,0.024142256858105064,observed-comparison,equilibrium_files,0.0,0.002972103675804732,0.03367438625622284
2864601_0.437,2864601_0.437:u000,overall,parallel_fourier_expected_k_curvature_w25__mean_w9,0.0013739638451882627,0.051800000000000006,0.05,37,-0.01557001465097949,-0.019595372649355788,observed-comparison,equilibrium_files,0.0,-0.03207593802306873,0.0011961330553290908
2864601_0.437,2864601_0.437:u000,overall,parallel_fourier_expected_k_curvature_w25__mean_w25,0.01441640185616331,0.050800000000000005,0.05,40,-0.01981919526026525,-0.014916752346169473,observed-comparison,equilibrium_files,0.0,-0.04271402752798453,0.0014085663118066235
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p1_Bm1,-0.07657757936674171,0.062200000000000005,0.05,20,-0.281609540070261,-0.24650931447505675,observed-comparison,equilibrium_files,0.0,-0.29981973807148216,-0.26352441238995833
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p1_Bm1__mean_w9,-0.10560561053769105,0.0824,0.05,19,-0.33834827802891043,-0.30745821825419956,observed-comparison,equilibrium_files,0.0,-0.36074053440263504,-0.31735457525946653
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p1_Bm1__mean_w25,-0.129104178905798,0.08220000000000001,0.05,18,-0.39688489592352527,-0.365991329202115,observed-comparison,equilibrium_files,0.95,-0.423295619948851,-0.3725840104304078
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p2_Bm1,-0.07562279464823955,0.061200000000000004,0.05,20,-0.2659645677383192,-0.2440624464136265,observed-comparison,equilibrium_files,0.0,-0.2822895432858018,-0.24876818013909682
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p2_Bm1__mean_w9,-0.10603551900754069,0.0774,0.05,19,-0.3228135147879445,-0.30389173117670437,observed-comparison,equilibrium_files,0.0,-0.3434338517070964,-0.3041941653522094
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p2_Bm1__mean_w25,-0.12319124278335382,0.08519999999999998,0.05,18,-0.3924680809238665,-0.3658218647470809,observed-comparison,equilibrium_files,0.04,-0.41946915132396695,-0.36889841184544303
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p3_Bm1,-0.07538934704241451,0.061799999999999994,0.05,20,-0.24541161465071104,-0.24304210670245663,observed-comparison,equilibrium_files,0.0,-0.2610316500066313,-0.22972574403840376
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p3_Bm1__mean_w9,-0.10465474703912382,0.07740000000000001,0.05,18,-0.3048860953522066,-0.29779444328723687,observed-comparison,equilibrium_files,0.0,-0.32469889842807725,-0.2865234348192837
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p3_Bm1__mean_w25,-0.11875784434532241,0.0842,0.05,19,-0.3837357479035254,-0.3650821977136838,observed-comparison,equilibrium_files,0.0,-0.4095149236091849,-0.3596290334543502
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p4_Bm1,-0.07528105672545578,0.061200000000000004,0.05,20,-0.2274176589950894,-0.24258489416206278,observed-comparison,equilibrium_files,0.0,-0.241759773963133,-0.2116076295741091
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p4_Bm1__mean_w9,-0.1031380935476757,0.0782,0.05,18,-0.2899808462289951,-0.2942639814793165,observed-comparison,equilibrium_files,0.0,-0.3085813918136784,-0.2723648101428605
2864601_0.437,2864601_0.437:u000,overall,bad_curvature_compression_p4_Bm1__mean_w25,-0.11738082707090465,0.08480000000000001,0.05,19,-0.37554721804827584,-0.36104439176878733,observed-comparison,equilibrium_files,0.0,-0.40109149652888765,-0.35091065641524954
2864601_0.437,2864601_0.437:u000,overall,f_Q_integrand_p3_Bm1,-0.07065843423048654,0.072,0.05,20,-0.22455191553278298,-0.2180549621106015,observed-comparison,equilibrium_files,0.0,-0.24158171312028795,-0.20728881056175483
2864601_0.437,2864601_0.437:u000,overall,f_Q_integrand_p3_Bm1__mean_w9,-0.09003456047008607,0.074,0.05,18,-0.2716283688341431,-0.2565281961438425,observed-comparison,equilibrium_files,0.0,-0.2900471861601805,-0.2508935654372336
