member_id,unit_id,stratum,n,signed_invariant_minus_native_mean,rms_invariant_minus_native,pearson_invariant_vs_native,native_object,invariant_object
2864601_0.371,2864601_0.371:u016,unstable,760,-0.008323927409946918,0.12184105813503265,0.9493203124783028,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u017,overall,1000,-0.003972603939473629,0.14630310237407684,0.9985911137116801,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u017,stable_or_near_floor,240,-0.006136000156402588,0.10169220715761185,0.9989784152764243,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u017,unstable,760,-0.0032894257456064224,0.1577918380498886,0.9984664601366585,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u018,overall,1000,0.011824794113636017,0.17914065718650818,0.9626028666267289,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u018,stable_or_near_floor,240,0.002449306659400463,0.13637608289718628,0.9782281023674517,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u018,unstable,760,0.014785471372306347,0.19066280126571655,0.9579563129860442,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u019,overall,1000,0.007293296046555042,0.12230392545461655,0.9972110330973343,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u019,stable_or_near_floor,240,0.010990743525326252,0.1064988300204277,0.9985553978290773,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u019,unstable,760,0.0061256797052919865,0.12688666582107544,0.9962968839364248,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u020,overall,1000,0.005139014683663845,0.2323780655860901,0.9514199561626765,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u020,stable_or_near_floor,240,0.010758738964796066,0.21362197399139404,0.9589146585984248,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u020,unstable,760,0.0033643641509115696,0.23799414932727814,0.949080470575159,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u021,overall,1000,-0.003456307575106621,0.18982328474521637,0.8997096499293722,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u021,stable_or_near_floor,240,-0.013944452628493309,0.15466628968715668,0.9238187630746372,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u021,unstable,760,-0.00014426143025048077,0.19964338839054108,0.8942110676096713,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
