member_id,unit_id,unit_index,stratum,n_equilibrium_files,signed_mean,standard_deviation,q50,q90,q99,maximum,active_fraction,median_active_positions,median_halfmax_positions,q90_halfmax_positions,s04_shapley_mean_absolute,s04_mean_ablation_rms,s04_shapley_rank
2864601_0.437,2864601_0.437:u003,3,stable_or_near_floor,240,0.36017149686813354,0.7200849652290344,0.0,1.5561579465866089,2.8124910998344426,2.9735469818115234,0.28072916666666664,0.0,96.0,96.0,0.1588110346283065,0.22818662073150656,3.0
2864601_0.437,2864601_0.437:u003,3,unstable,760,0.14428472518920898,0.4693518579006195,0.0,0.3529863953590393,2.4311141967773438,3.0557258129119873,0.12708333333333333,0.0,96.0,96.0,0.1588110346283065,0.22818662073150656,3.0
2864601_0.437,2864601_0.437:u005,5,overall,1000,1.0004174709320068,0.6622592210769653,0.9367406368255615,1.7745666146278385,3.274732975959771,10.397564888000488,0.9547291666666666,96.0,88.0,96.0,0.06225084297555441,0.13731126465855456,7.0
2864601_0.437,2864601_0.437:u005,5,stable_or_near_floor,240,0.901047945022583,0.4869098961353302,0.902011513710022,1.4868024706840517,2.185696141719818,3.207590341567993,0.9619357638888889,96.0,92.0,96.0,0.06225084297555441,0.13731126465855456,7.0
2864601_0.437,2864601_0.437:u005,5,unstable,760,1.0317972898483276,0.70577472448349,0.9502992331981659,1.8712110161781312,3.482332944869995,10.397564888000488,0.952453399122807,96.0,86.5,96.0,0.06225084297555441,0.13731126465855456,7.0
2864601_0.437,2864601_0.437:u006,6,overall,1000,0.27399924397468567,0.48194217681884766,0.0,1.1229703426361084,1.7568695545196533,3.313223361968994,0.3606666666666667,18.0,73.5,96.0,0.08764937953968183,0.21356941490950665,5.0
2864601_0.437,2864601_0.437:u006,6,stable_or_near_floor,240,0.42586761713027954,0.5733129978179932,0.0,1.3899127721786502,1.819790005683899,2.674417018890381,0.48333333333333334,45.0,82.0,96.0,0.08764937953968183,0.21356941490950665,5.0
2864601_0.437,2864601_0.437:u006,6,unstable,760,0.2260408103466034,0.4384479522705078,0.0,0.9556976020336156,1.7055240321159366,3.313223361968994,0.3219298245614035,12.0,70.0,96.0,0.08764937953968183,0.21356941490950665,5.0
2864601_0.437,2864601_0.437:u007,7,overall,1000,1.2697478532791138,0.5872644782066345,1.2483962178230286,1.9171485543251041,3.1105728149414062,7.521586894989014,0.9902916666666667,96.0,96.0,96.0,0.06931178158070543,0.22842880045538666,6.0
2864601_0.437,2864601_0.437:u007,7,stable_or_near_floor,240,1.3357897996902466,0.5099588632583618,1.3223899602890015,1.9283361196517947,2.919859271049507,4.696394443511963,0.9950086805555556,96.0,96.0,96.0,0.06931178158070543,0.22842880045538666,6.0
