member_id,filter_index,channel_index,channel_name,kernel_width,dc_amplitude,peak_frequency_index,spectral_centroid,kernel_l1,kernel_l2
2864601_0.437,10,1,gbdrift,13,0.8160016387701035,6,11.916313694298811,4.461493015289307,1.3421891927719116
2864601_0.437,10,2,cvdrift,13,2.1798442136496305,0,14.557267990104332,2.475306510925293,0.930942177772522
2864601_0.437,10,3,gbdrift0_over_shat,13,0.5437792874872684,7,17.70841124548365,2.2711730003356934,0.7149815559387207
2864601_0.437,10,4,gds2,13,0.22426177840679884,17,20.933892445203433,0.7337461709976196,0.25728678703308105
2864601_0.437,10,5,gds21_over_shat,13,0.15926787952776067,35,23.252189621692445,0.41753071546554565,0.14154231548309326
2864601_0.437,10,6,gds22_over_shat_squared,13,0.07496596220880747,34,27.613583669700233,0.7402876615524292,0.23808112740516663
2864601_0.437,11,0,bmag,13,0.566668406536337,0,18.953701603069362,1.0942107439041138,0.35544896125793457
2864601_0.437,11,1,gbdrift,13,1.3005614168941975,0,18.05495840768491,1.5298235416412354,0.5296773314476013
2864601_0.437,11,2,cvdrift,13,0.6277181934565306,12,17.627636042063912,1.2509431838989258,0.46062007546424866
2864601_0.437,11,3,gbdrift0_over_shat,13,4.354350797832012,0,13.464716439614602,4.628626823425293,1.4617105722427368
2864601_0.437,11,4,gds2,13,0.2389338817447424,29,23.596358666094705,0.7027876377105713,0.22669193148612976
2864601_0.437,11,5,gds21_over_shat,13,0.7360569406300783,0,21.34331492314172,1.0541222095489502,0.32932108640670776
2864601_0.437,11,6,gds22_over_shat_squared,13,0.4434186900034547,0,22.063198257707025,0.7267631888389587,0.2376471608877182
2864601_0.437,12,0,bmag,13,1.6435274370014668,1,14.791825896771051,2.120710849761963,0.682471752166748
2864601_0.437,12,1,gbdrift,13,2.4883770868182182,0,13.388854382009606,2.4883766174316406,0.7720797657966614
2864601_0.437,12,2,cvdrift,13,2.807939235586673,0,13.037425542531425,2.809718370437622,0.8605427145957947
