member_id,concept_set,regime,held_out_r2,increment_r2_over_previous,increment_ci95_lower,increment_ci95_upper,bootstrap_selection_stability,gain_over_paper_baseline,completeness_relative_to_full_bottleneck,rows,outer_split_unit,inner_split_unit,bootstrap_unit,decoder,estimand,canonical_function,validity_tag,gain_over_paper_baseline_ci95_lower,gain_over_paper_baseline_ci95_upper,gain_over_paper_baseline_selection_stability,mse,bias_decoder_minus_member,residual_std
2864601_0.371,all_candidates,unstable,0.8779791899861755,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.3707982358391104,-0.01859262960303466,0.6086481331307563
2864601_0.371,full_bottleneck_simple_decoder,all,0.86954050429938,-0.03915735796129105,-0.0553696186987257,-0.022461013275724875,0.0,0.0561739511279431,0.86954050429938,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.03538292480560831,0.07640193515115001,1.0,0.5345905018903373,-0.0010614842097776869,0.7311561906607984
2864601_0.371,full_bottleneck_simple_decoder,stable_or_near_floor,-11.107881007210668,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.827339905328621,0.31072459637177635,0.8548626384035142
2864601_0.371,full_bottleneck_simple_decoder,unstable,0.8545012325823812,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.44214332185719524,-0.09952024649868949,0.6574488895678776
2864601_0.409,paper_baseline,all,0.8278316253336424,0.8278316253336424,0.812288705745986,0.8449619802157966,1.0,0.0,0.8278316253336424,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.0,0.0,0.0,0.6993471295726559,-0.0005758005648225896,0.8362695725819309
2864601_0.409,paper_baseline,stable_or_near_floor,-11.025311799283138,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.8333737038139993,0.47785878998901044,0.7778333244624058
2864601_0.409,paper_baseline,unstable,0.7815941212212055,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.6570229482332841,-0.15166040810813827,0.7962550275167857
2864601_0.409,paper_geometry,all,0.8284143509690068,0.0005827256353644339,-0.004451829309096514,0.005396137581817309,0.55,0.0005827256353644339,0.8284143509690068,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,-0.004207880034911954,0.005396700216572971,0.608,0.6969801007776737,-0.002730097843710922,0.834848876949258
2864601_0.409,paper_geometry,stable_or_near_floor,-10.936085301804807,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.8271901621376581,0.45944822564330307,0.7849187792955896
2864601_0.409,paper_geometry,unstable,0.7819803285100084,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.6558611340324154,-0.14868114736592583,0.796087338456257
2864601_0.409,spatial_geometry,all,0.8470911679701284,0.01867681700112156,0.009249872284939948,0.028691891789196594,1.0,0.019259542636485993,0.8470911679701284,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.008852066944931427,0.030437663829488433,1.0,0.6211149578058595,-0.007428473166167689,0.7880734582462976
2864601_0.409,spatial_geometry,stable_or_near_floor,-9.496458163934259,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.7274216555056848,0.3847082384765859,0.7611972324922938
2864601_0.409,spatial_geometry,unstable,0.8046899943360157,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.5875444216901252,-0.1312611189480899,0.7551919890614708
2864601_0.409,all_candidates,all,0.9173713021313642,0.0702801341612358,0.0567946426543692,0.08266126889759141,1.0,0.08953967679772179,0.9173713021313642,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.07542056857543578,0.1040358704713584,1.0,0.33563738280470795,-0.000457477192000864,0.579342017740235
2864601_0.409,all_candidates,stable_or_near_floor,-4.189867423146429,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.3596662696919832,0.06063235617813858,0.5966489646989012
2864601_0.409,all_candidates,unstable,0.8909506909335724,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.3280493132613579,-0.019749003519413322,0.5724153126195595
2864601_0.409,full_bottleneck_simple_decoder,all,0.8540965785652579,-0.0632747235661063,-0.08480406545692312,-0.04616228777862146,0.0,0.026264953231615484,0.8540965785652579,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.005232197654737711,0.04508638929403712,0.994,0.5926590128585033,0.005917421316445692,0.7698207563994796
