member_id,feature_id,feature_kind,stratum,method,permutations,mean_signed,mean_absolute,rms,variance_contribution,variance_share,mean_sampling_se,maximum_sampling_se
2864601_0.386,2864601_0.386:u025,bottleneck_unit,overall,captum_shapley_value_sampling,256,-0.0039237651874136645,0.01632985338594881,0.023954083616812352,0.0011506442141511922,0.00027705718524374383,0.001783584414897632,0.02054404839873314
2864601_0.386,2864601_0.386:u026,bottleneck_unit,overall,captum_shapley_value_sampling,256,-2.319639583583921e-05,0.02122574360005092,0.034010511697956866,0.011053722042312116,0.0026615639116291724,0.001145754791085258,0.011429638601839542
2864601_0.386,2864601_0.386:u027,bottleneck_unit,overall,captum_shapley_value_sampling,256,0.008565846243407577,0.1429627947807312,0.1971325474939996,0.09806216683114402,0.023611840729743813,0.005372995117624669,0.037018872797489166
2864601_0.386,2864601_0.386:u028,bottleneck_unit,overall,captum_shapley_value_sampling,256,-0.004444805913284654,0.022280511292890878,0.035593702055851405,0.003812560657156452,0.000918005158546784,0.0023489716011067686,0.030018925666809082
2864601_0.386,2864601_0.386:u029,bottleneck_unit,overall,captum_shapley_value_sampling,256,-0.0016677349799138028,0.010481684713828144,0.01883844577661259,-0.0007910138305195158,-0.00019046379643448348,0.0013144781953540131,0.014951903373003006
2864601_0.386,2864601_0.386:u030,bottleneck_unit,overall,captum_shapley_value_sampling,256,-0.00041979323560372,0.010336695410078391,0.03436558771916637,-0.00753656615550898,-0.0018146876156578972,0.0007759415427387921,0.02550889551639557
2864601_0.386,a_over_LT,scalar_drive,overall,captum_shapley_value_sampling,256,-0.8441736894240602,1.9408521067844704,2.3029725437948865,2.708218043498767,0.6520966767399878,0.021721535158347252,0.1151169016957283
2864601_0.386,a_over_Ln,scalar_drive,overall,captum_shapley_value_sampling,256,-0.30912817281764,0.8903289859867655,1.366910043917252,0.6470636049599171,0.15580282667662923,0.019224331569279003,0.11948885768651962
2864601_0.386,2864601_0.386:u000,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.0012800955687756262,0.005942615947060403,0.009761720681706424,4.832145047726946e-05,0.0007356875493679618,0.001025329349587878,0.007374563254415989
2864601_0.386,2864601_0.386:u001,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.07191949274517052,0.16766203431034227,0.2031231641028872,-0.005680972993207955,-0.08649204562608785,0.00789633540525756,0.03430624306201935
2864601_0.386,2864601_0.386:u002,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.004836047163189505,0.010218215312852408,0.017406181871374046,-0.0003558744196190787,-0.005418139916463454,0.0016823662139922627,0.016378633677959442
2864601_0.386,2864601_0.386:u003,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.0028702898136543807,0.028679425394633046,0.04086969837485258,-0.0011483054541241511,-0.01748279526227911,0.0019233981194697472,0.011754289269447327
2864601_0.386,2864601_0.386:u004,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.012921382730564802,0.025072760969002652,0.10165590871823176,-0.0033056593592087203,-0.05032821674435286,0.0013144627607895624,0.032801639288663864
2864601_0.386,2864601_0.386:u005,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.11294396315255047,0.2106489441891123,0.41009684636532284,-0.0022953482993864184,-0.034946367475369194,0.01097262229715549,0.08514159917831421
2864601_0.386,2864601_0.386:u006,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.03679058922825788,0.04956058288480562,0.1101993019294192,-0.0028039282513770644,-0.042689428472962344,0.004505209049273162,0.033642809838056564
2864601_0.386,2864601_0.386:u007,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.005220276881785443,0.02019972204773997,0.029342632993741784,-0.0007785241569612537,-0.01185292501573409,0.0032723468115250396,0.017215389758348465
2864601_0.386,2864601_0.386:u008,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.008949670444538545,0.00978961695303345,0.012657795387161025,-0.00036888720889876665,-0.005616257873624501,0.0013056148192288693,0.008420277386903763
2864601_0.386,2864601_0.386:u009,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.030151919743851372,0.04457548728848148,0.11556808800555979,-0.0052979333056690755,-0.0806603181789015,0.0052019951195719704,0.06935839354991913
2864601_0.386,2864601_0.386:u010,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.06408047493120345,0.13723891241437133,0.1610275915723382,0.00231077114505918,0.03518117821522088,0.006880893309380553,0.018685057759284973
2864601_0.386,2864601_0.386:u011,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.009696240116803286,0.01267943654966075,0.016898768149416963,-0.00037830442639873705,-0.005759633736641637,0.0008713118395614098,0.01007235236465931
2864601_0.386,2864601_0.386:u012,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.00586050613419502,0.009333775789855281,0.011861326966410417,-0.0006013644264616454,-0.009155692074863348,0.0009148848718761352,0.0033068594057112932
2864601_0.386,2864601_0.386:u013,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.0015105122428697845,0.009792414028925122,0.01874609071778152,0.0001234478962729615,0.0018794775278198018,0.0017047297816053704,0.010759408585727215
2864601_0.386,2864601_0.386:u014,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-9.177482279483229e-05,0.006636245293581548,0.010511335396248147,-6.631606326171868e-05,-0.0010096530957342535,0.0006463402090806388,0.005521431565284729
2864601_0.386,2864601_0.386:u015,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.0012301455271275094,0.019761849062827727,0.03141982318805118,-0.00012440949343683216,-0.0018941177146101376,0.0013882706245520163,0.010158154182136059
2864601_0.386,2864601_0.386:u016,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.0016558044928387972,0.008886224513723088,0.02073174373822156,-0.0007509754951093617,-0.011433500364238604,0.0009617132803631042,0.011636532843112946
