member_id,unit_id,stratum,shapley_mean_absolute,shapley_rank,mean_ablation_rms,ablation_rank,member_spearman,encoded_column,used_column
2864601_0.409,2864601_0.409:u021,overall,0.16312837585760281,2.0,0.31014991758982485,2.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u022,overall,0.05701084890193306,8.0,0.09317278984664035,12.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u023,overall,0.017060738216445315,24.0,0.05564392682607161,26.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u024,overall,0.016495766169973648,25.0,0.07804035968141007,19.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u025,overall,0.03472567358094966,11.0,0.07059845740568425,21.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u026,overall,0.02677494350777124,16.0,0.08998209237335986,14.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u027,overall,0.123112864308001,3.0,0.2268762066463594,3.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u028,overall,0.02826619269233197,14.0,0.11250066367565718,9.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u029,overall,0.01873324308448355,23.0,0.06767298596766208,24.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.409,2864601_0.409:u030,overall,0.014185227381851292,26.0,0.044431674930569924,29.0,0.9020161290322583,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u000,overall,0.009284368226450169,26.0,0.038349588807849506,26.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u001,overall,0.2465183876658557,1.0,0.32466397735357305,1.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u002,overall,0.014674409820814617,21.0,0.06500553260901379,17.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u003,overall,0.03802364751862478,9.0,0.05026729873809182,23.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u004,overall,0.01897055193700362,19.0,0.05504016120083761,21.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u005,overall,0.17079034373443575,3.0,0.26277761459743904,3.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u006,overall,0.05075908840511693,8.0,0.20399067397643408,5.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u007,overall,0.05149096946307691,7.0,0.1673980528470838,7.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u008,overall,0.022494061860168585,13.0,0.07892708527053317,12.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u009,overall,0.06400906016639783,6.0,0.26357173509154275,2.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u010,overall,0.17524384481221206,2.0,0.1819493242360914,6.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u011,overall,0.025772347748512402,12.0,0.06953164873827558,14.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u012,overall,0.019337606582674197,18.0,0.08960131768556677,10.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u013,overall,0.020297848936665103,17.0,0.07803462315158406,13.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u014,overall,0.009703237811801955,25.0,0.02962812349936951,28.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u015,overall,0.021515802112553502,15.0,0.05530024880333382,20.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u016,overall,0.012978704310837202,22.0,0.06883533791422458,16.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u017,overall,2.9569491744041443e-11,31.0,0.0,31.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u018,overall,0.02784231525787618,11.0,0.0887447347650894,11.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u019,overall,0.008948600201518275,27.0,0.037504575576012236,27.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u020,overall,0.007115331720880931,28.0,0.027883824007199874,29.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u021,overall,0.03446254433284048,10.0,0.1036539940546482,9.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u022,overall,0.0005594374126812909,30.0,0.0024805817756242015,30.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u023,overall,0.005948196669400204,29.0,0.04524369567604577,24.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u024,overall,0.10913823796063661,5.0,0.14934734759209511,8.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u025,overall,0.01632985338594881,20.0,0.06269468057438897,18.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u026,overall,0.02122574360005092,16.0,0.050497248412640965,22.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u027,overall,0.1429627947807312,4.0,0.21084225203104726,4.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u028,overall,0.022280511292890878,14.0,0.06932351477158426,15.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u029,overall,0.010481684713828144,23.0,0.042947499916088705,25.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.386,2864601_0.386:u030,overall,0.010336695410078391,24.0,0.05945699371153885,19.0,0.8955645161290322,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u000,overall,0.02970286647795001,9.0,0.08966568303198835,10.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u001,overall,0.010924571388459299,25.0,0.04102033598825422,26.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u002,overall,0.01677847025412484,18.0,0.04135005017992059,24.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u003,overall,0.05963379687268753,5.0,0.17639371705897408,5.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u004,overall,0.0289439542562468,10.0,0.10284375712871517,8.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u005,overall,0.024019648365385365,13.0,0.151875686677126,6.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u006,overall,0.013714469671889674,21.0,0.05175652917785229,19.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u007,overall,0.1891497540231794,2.0,0.26998452345471036,2.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u008,overall,0.010139291977509856,27.0,0.024604678858069183,28.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u009,overall,0.0034907741784118117,31.0,0.02060196090367658,29.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u010,overall,0.0300315187467495,8.0,0.08937724782273479,11.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u011,overall,0.00768099060660461,29.0,0.017175452899410495,31.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u012,overall,0.013309908022987656,22.0,0.04810627148831086,21.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u013,overall,0.019474929303687532,15.0,0.03729191961484249,27.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u014,overall,0.11403191324905493,3.0,0.18055881941321444,3.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u015,overall,0.021442405553301798,14.0,0.045744493492678444,23.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u016,overall,0.014515972445893567,19.0,0.056778493522374976,17.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u017,overall,0.010596828321926295,26.0,0.05405909414524738,18.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u018,overall,0.032621624866325874,6.0,0.13234272303326552,7.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u019,overall,0.025333649391599464,11.0,0.06274809872622779,16.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u020,overall,0.006568767261254834,30.0,0.01850114159042059,30.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u021,overall,0.030177203283295966,7.0,0.08049527624960233,12.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u022,overall,0.00829384635045426,28.0,0.04654061916947227,22.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u023,overall,0.018940111533505843,16.0,0.07448891534829978,13.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u024,overall,0.024751170464791358,12.0,0.06912119954429573,15.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u025,overall,0.01193374131002929,23.0,0.04109913005113237,25.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u026,overall,0.010947075847710949,24.0,0.09156172630407837,9.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u027,overall,0.34448163680522703,1.0,0.515136042210322,1.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
