source_family,source_id,member_id,function,method,summary,source_signed,validity_tag,source_feature_claims_permitted,gradient_set,stratum,sample_count,spearman_rho,spearman_ci95_lower,spearman_ci95_upper,bootstrap_stable,bootstrap_replicates,bootstrap_unit,gx_quantity,feature_claims_permitted,association_not_causation
s05_density,2864601_0.371:u019,2864601_0.371,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,unstable,977,-0.49987383462874807,-0.5512377709098424,-0.44283840620746684,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.409:u014,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,all,1000,-0.17513095079758828,-0.23087043255825196,-0.11603099346143089,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u014,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,stable_or_near_floor,240,0.04783988474703087,-0.0812420737564751,0.1831505311335303,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u014,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,unstable,760,-0.11203709112209324,-0.1739556954550214,-0.05146659749556719,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.409:u014,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,all,1000,-0.4993305047520251,-0.5552371234037472,-0.44479158821654613,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u014,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,stable_or_near_floor,23,-0.6373517786561265,-0.8567506024096385,-0.3153790899692539,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u014,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,unstable,977,-0.46311865128259555,-0.5238632182808871,-0.39481123061137563,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.409:u021,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,all,1000,0.18335062518359357,0.12307150965835681,0.23498427915524167,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u021,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,stable_or_near_floor,240,-0.035772800659644256,-0.16053975289367015,0.08868150633658159,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u021,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,unstable,760,0.0908158509848388,0.021680648027293775,0.15344629825126777,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.409:u021,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,all,1000,0.4290737522090513,0.36563732873824234,0.4840684530875954,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u021,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,stable_or_near_floor,23,0.0,0.0,0.0,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u021,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,unstable,977,0.38840957621414923,0.3272556886598311,0.4491993522586593,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.409:u027,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,all,1000,0.1883830523830524,0.13027866023605458,0.23966182788900725,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u027,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,stable_or_near_floor,240,-0.16855761384746262,-0.28284711192383244,-0.060124461718361354,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u027,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,unstable,760,0.11976008487403526,0.04602580826348077,0.18191257488698254,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.409:u027,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,all,1000,0.47556587556587554,0.4216964598312683,0.5308237444969035,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u027,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,stable_or_near_floor,23,0.383399209486166,0.046575682382134,0.6992316213180226,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.409:u027,2864601_0.409,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,unstable,977,0.43788571315042313,0.3783373991949727,0.4946014920559737,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,all,1000,0.3060935220935221,0.24117339980013086,0.36636965507222613,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,stable_or_near_floor,240,0.22162450736991962,0.09034658755735964,0.33798596888290394,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,unstable,760,-0.14595515683299132,-0.21169202694515976,-0.06824437241758864,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,all,1000,0.3063361863361863,0.2382864556870027,0.3689483213435488,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,stable_or_near_floor,240,0.2314727686244553,0.10444213452534017,0.3548364705607542,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,unstable,760,-0.145815358515437,-0.2122520251249854,-0.06779826761099775,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,top10pct_absolute_mass_fraction,True,deliberately_off_manifold_diagnostic,True,varied,all,1000,0.023892599892599894,-0.043625430029473736,0.08413355462191853,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,top10pct_absolute_mass_fraction,True,deliberately_off_manifold_diagnostic,True,varied,stable_or_near_floor,240,-0.1718363166027188,-0.27958934634885735,-0.04888037961926825,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,top10pct_absolute_mass_fraction,True,deliberately_off_manifold_diagnostic,True,varied,unstable,760,0.0027801659155081274,-0.05916338604709131,0.07271634973675334,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,signed_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,all,1000,0.010474522474522475,-0.04514160749054255,0.07120743383399511,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,signed_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,stable_or_near_floor,240,0.017827566450806437,-0.12169792063621984,0.1559042991568526,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,signed_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,unstable,760,-0.008552300125173346,-0.07300057406134178,0.06914124276364601,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,all,1000,-0.11315993315993315,-0.18578965099895062,-0.05815973902697191,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,stable_or_near_floor,23,0.4199604743083004,0.029833862730443462,0.7194247061359975,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
