member_id,function,point_delta_residual_std_vs_f,bootstrap_median_delta,ci_95_lower,ci_95_upper,probability_improved
2864601_0.379,shift_averaged_bar_f,-0.009440975786188188,-0.009547586710959732,-0.012949625415248108,-0.006580881279965563,1.0
2864601_0.437,invariant_tilde_f,-0.01177466559432605,-0.011952995805973421,-0.015504880729811786,-0.008161756467940224,1.0
2864601_0.371,invariant_tilde_f,-0.009097024508508494,-0.008996299355858467,-0.013806314285947379,-0.004977825816221642,1.0
2864601_0.409,invariant_tilde_f,-0.006943302172966903,-0.007028603168317105,-0.00993398685560759,-0.004184423344965141,1.0
2864601_0.386,invariant_tilde_f,-0.010830748968993942,-0.010819092228053079,-0.015315074136519087,-0.006364485197296045,1.0
2864601_0.355,invariant_tilde_f,-0.011598699555032926,-0.011505523246357285,-0.015219362246141104,-0.008039670498400538,1.0
2864601_0.449,invariant_tilde_f,-0.01074018700543039,-0.010797933364749338,-0.014749039206212492,-0.006884156616568984,1.0
2864601_0.340,invariant_tilde_f,-0.01810565937596867,-0.01809554541651387,-0.022388202125608932,-0.013438011921646231,1.0
2864601_0.296,invariant_tilde_f,-0.008543315091744552,-0.00856160110451995,-0.01162051372131166,-0.005795650552046471,1.0
2864601_0.270,invariant_tilde_f,-0.013650727001684182,-0.013678719395552888,-0.01949648549694393,-0.00901714885080882,1.0
2864601_0.352,invariant_tilde_f,-0.010731907245411176,-0.010629528476308311,-0.015410804341191991,-0.006206886746948268,1.0
2864601_0.487,invariant_tilde_f,-0.01420207489983838,-0.014292458180059864,-0.018087155567423296,-0.010861451795144863,1.0
2864601_0.272,invariant_tilde_f,-0.009204700458712578,-0.009419103687728136,-0.0132370622411031,-0.004986524742776409,1.0
2864601_0.404,invariant_tilde_f,-0.010346601450456017,-0.010412852043853615,-0.014012616467244977,-0.0068543590715619725,1.0
2864601_0.274,invariant_tilde_f,-0.008086319564934441,-0.008158723710508131,-0.010501034039689647,-0.005406571706692623,1.0
2864601_0.240,invariant_tilde_f,-0.01083160535549016,-0.010847874967336468,-0.014233286553493079,-0.007226472805081851,1.0
2864601_0.417,invariant_tilde_f,-0.006421537140439082,-0.006434006341696413,-0.009855046164223663,-0.0028804292937963617,1.0
2864601_0.494,invariant_tilde_f,-0.003188306773006022,-0.0031931299140260383,-0.007210355846035505,0.0006222098577727444,0.938
2864601_0.260,invariant_tilde_f,-0.011506880275904796,-0.011370391926495471,-0.01447725808425282,-0.008805786762738717,1.0
2864601_0.434,invariant_tilde_f,-0.010954626444344084,-0.010938113106059688,-0.014292934764553834,-0.0073804148605991875,1.0
2864601_0.460,invariant_tilde_f,-0.008302309145918896,-0.007931447185303031,-0.012730210111781827,-0.0044402813318616475,1.0
2864601_0.402,invariant_tilde_f,-0.0077192139434981155,-0.007649537705940179,-0.01147448118461988,-0.004101572860394427,1.0
2864601_0.279,invariant_tilde_f,-0.00954182198570519,-0.009503510524812644,-0.012302373988378182,-0.00678898365627034,1.0
2864601_0.353,invariant_tilde_f,-0.014545839200973187,-0.014360562632865628,-0.018111023196028128,-0.010419210833909384,1.0
2864601_0.175,invariant_tilde_f,-0.012198831539335597,-0.011965398284528334,-0.01675026818008614,-0.007706771213075842,1.0
2864601_0.277,invariant_tilde_f,-0.007785422284469434,-0.00798778949279616,-0.011233704349183245,-0.004681213476754801,1.0
