entity,entity_type,shift,exact_pooling_subgroup,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.163,member,75,False,0.0033756878674030305,0.05589381074905395,0.12585150430770292,1.347453534603119,0.05567691268194082,0.27274926637423014,0.4614183054667736
2864601_0.163,member,76,False,0.006779776051640511,0.05216957311332226,0.12141664649778654,2.033528506755829,0.05371492428618968,0.27274926637423014,0.4451584714115961
2864601_0.163,member,77,False,0.007487675875425339,0.051424299642443654,0.11471839808407426,1.2519492506980896,0.05075160816133522,0.27274926637423014,0.4206002076891858
2864601_0.163,member,78,False,0.005732217013835907,0.04581608161330223,0.10133764381066561,1.0057032108306885,0.04483194044343825,0.27274926637423014,0.3715413982878459
2864601_0.163,member,79,False,0.004712009988725186,0.038349936358630654,0.09084106066507339,0.9670025110244751,0.040188234780397555,0.27274926637423014,0.33305703026322137
2864601_0.163,member,80,False,0.0009634346961975098,0.02246313002705574,0.054174584574746325,0.525462195277214,0.023966925397839317,0.27274926637423014,0.1986241257214426
2864601_0.163,member,81,False,0.00046944517642259596,0.0354972031340003,0.08051627365356985,0.9769376963376999,0.035620532009887775,0.27274926637423014,0.29520253060221313
2864601_0.163,member,82,False,-7.55513533949852e-05,0.04321645864099264,0.0948060407214879,1.0015418529510498,0.0419423484844887,0.27274926637423014,0.34759411815028574
2864601_0.163,member,83,False,0.0020985671281814576,0.050141222283244136,0.11175329637967037,1.056852102279663,0.04943984228616908,0.27274926637423014,0.40972904479360694
2864601_0.163,member,84,False,0.0039120312333107,0.05134718315303326,0.11653829437065724,1.1090606302022934,0.05155673327442508,0.27274926637423014,0.4272726226539468
2864601_0.163,member,85,False,0.005019930996000767,0.05405942898243666,0.11942413218943657,1.3662198185920715,0.052833432676107045,0.27274926637423014,0.4378531747380714
2864601_0.163,member,86,False,0.004096851252019406,0.05009888898581266,0.11248223152855387,1.1268019527196884,0.04976232439600508,0.27274926637423014,0.4124015914830024
2864601_0.163,member,87,False,0.003959066674113274,0.04736037464439869,0.10695295444208043,1.0306634902954102,0.04731616311067673,0.27274926637423014,0.3921292103324445
2864601_0.163,member,88,False,0.00047952088713645933,0.038642027631402016,0.08794229989403655,1.0538641810417175,0.03890581824336317,0.27274926637423014,0.32242909784172935
2864601_0.163,member,89,False,-0.00029511134326457977,0.04677751460671425,0.11014648370036478,1.5182078033685684,0.048728985711716064,0.27274926637423014,0.4038378733867481
2864601_0.163,member,90,False,0.00023878739029169083,0.049190562658011916,0.11226223174192054,1.1362580507993698,0.04966499612823578,0.27274926637423014,0.41159499064569177
2864601_0.163,member,91,False,0.0029047463312745093,0.05407429256290197,0.12430665342632664,1.1676994562149048,0.05499346810889298,0.27274926637423014,0.45575430899883573
2864601_0.163,member,92,False,0.0054050486460328106,0.049907606817781926,0.11538535487433259,1.1198713779449463,0.05104667094328694,0.27274926637423014,0.4230455187220053
2864601_0.163,member,93,False,0.007513543158769608,0.04927086172997951,0.11036576030301988,1.2624558359384537,0.04882599404170288,0.27274926637423014,0.4046418227632947
2864601_0.163,member,94,False,0.005125226557254791,0.04163549786806107,0.09274306832608517,0.9822454452514648,0.04102968610070613,0.27274926637423014,0.34003049598980595
2864601_0.163,member,95,False,0.003680468447506428,0.03162932454794645,0.07697554278765603,0.8996188640594482,0.03405410684607135,0.27274926637423014,0.2822208976431873
2864601_0.246,member,0,True,0.0,0.0,0.0,0.0,0.0,0.2657287874423779,0.0
2864601_0.246,member,1,False,-0.0025858279354870318,0.031605492796748874,0.07442646268648617,0.9661526679992676,0.03478168059359834,0.2657287874423779,0.28008430476365015
2864601_0.246,member,2,False,-0.002551992926746607,0.04373009134456515,0.10090769071333106,1.402590960264206,0.04715713929080714,0.2657287874423779,0.379739401532521
2864601_0.246,member,3,False,-0.002606167320162058,0.051866586443036794,0.11804330918048721,1.6744461059570312,0.05516511907091578,0.2657287874423779,0.4442247688579258
2864601_0.246,member,4,False,-0.002463934198021889,0.04998495521396398,0.11400821780014457,1.4352840781211853,0.05327940188792593,0.2657287874423779,0.42903976982496395
2864601_0.246,member,5,False,-0.004154149807989597,0.05277022013068199,0.11697730320050474,1.3679236769676208,0.05466694304362289,0.2657287874423779,0.4402131373360169
2864601_0.246,member,6,False,-0.0028046482875943184,0.051450472101569174,0.1081416999280444,0.9652769565582275,0.05053780510287446,0.2657287874423779,0.4069626816458283
2864601_0.246,member,7,False,-0.004324801046401263,0.049004432406276464,0.10731934698238502,1.3017096519470215,0.05015349532301006,0.2657287874423779,0.40386797386661294
