member_id,mean_identity_max_abs,mean_identity_relative_l2,equivariance_max_abs,equivariance_relative_l2,alignment_max_abs,alignment_relative_l2,mean_identity_pass,equivariance_pass,alignment_pass
2864601_0.405,9.5367431640625e-07,1.0681127804446078e-07,1.9073486328125e-06,1.8829091175120993e-08,2.384185791015625e-06,1.6254399781701068e-07,True,True,True
2864601_0.398,2.384185791015625e-07,7.150904934860591e-08,1.430511474609375e-06,2.4337618143022155e-08,7.152557373046875e-07,1.4617738486322196e-07,True,True,True
2864601_0.358,4.76837158203125e-07,8.816599006422621e-08,0.0,0.0,1.2516975402832031e-06,1.9820140551018994e-07,True,True,True
2864601_0.242,4.76837158203125e-07,1.136025318260181e-07,2.384185791015625e-07,2.085001682416987e-08,6.556510925292969e-07,1.9143756446737825e-07,True,True,True
2864601_0.490,3.5762786865234375e-07,8.406203733102302e-08,3.5762786865234375e-07,2.190472159213641e-08,4.76837158203125e-07,1.6363702570743044e-07,True,True,True
2864601_0.263,3.5762786865234375e-07,1.0067239486488688e-07,3.5762786865234375e-07,2.656821607160964e-08,8.344650268554688e-07,2.2240783437155187e-07,True,True,True
2864601_0.211,4.76837158203125e-07,7.491168219075917e-08,9.5367431640625e-07,2.7712545147551282e-08,1.9073486328125e-06,1.7722176437473536e-07,True,True,True
2864601_0.292,9.5367431640625e-07,1.0511191561590749e-07,0.0,0.0,2.86102294921875e-06,1.719489546303521e-07,True,True,True
2864601_0.276,4.76837158203125e-07,8.858582134507742e-08,9.5367431640625e-07,4.142254184102967e-08,9.5367431640625e-07,1.9863665556840715e-07,True,True,True
2864601_0.427,2.384185791015625e-07,7.640491617166845e-08,0.0,0.0,5.960464477539062e-07,1.434187311133428e-07,True,True,True
2864601_0.461,4.76837158203125e-07,7.091228582112308e-08,0.0,0.0,1.9073486328125e-06,1.7866976520508615e-07,True,True,True
2864601_0.471,2.384185791015625e-07,7.666692170005263e-08,0.0,0.0,5.960464477539062e-07,1.5029715427772317e-07,True,True,True
2864601_0.440,3.5762786865234375e-07,7.578003646813158e-08,9.5367431640625e-07,2.1934116745114807e-08,8.344650268554688e-07,1.8382526434379542e-07,True,True,True
2864601_0.457,4.76837158203125e-07,1.0841122843885387e-07,0.0,0.0,5.960464477539062e-07,1.3881862059861305e-07,True,True,True
2864601_0.400,4.76837158203125e-07,7.992296957581857e-08,4.76837158203125e-07,1.6458971074939654e-08,1.1920928955078125e-06,1.5960657151481428e-07,True,True,True
2864601_0.385,1.9073486328125e-06,7.698604775896456e-08,9.5367431640625e-07,2.0195646044385285e-08,7.62939453125e-06,2.0156751645572513e-07,True,True,True
2864601_0.350,4.76837158203125e-07,7.173822069717062e-08,4.76837158203125e-07,1.719630660090843e-08,8.940696716308594e-07,1.4405802062356088e-07,True,True,True
2864601_0.416,9.5367431640625e-07,1.0630303393099894e-07,9.5367431640625e-07,1.6804920122126532e-08,9.5367431640625e-07,1.4434600359436445e-07,True,True,True
2864601_0.342,3.5762786865234375e-07,8.449746502492417e-08,0.0,0.0,1.6689300537109375e-06,2.3376919955353515e-07,True,True,True
2864601_0.359,2.384185791015625e-07,9.319776239635758e-08,4.76837158203125e-07,6.215141468146612e-08,9.5367431640625e-07,2.0382219645398436e-07,True,True,True
2864601_0.475,2.384185791015625e-07,8.387712568946881e-08,3.2782554626464844e-07,1.82086825617489e-08,8.940696716308594e-07,1.7570305033132172e-07,True,True,True
2864601_0.462,9.5367431640625e-07,8.711047883025458e-08,4.76837158203125e-07,7.285369196807778e-09,1.4007091522216797e-06,1.445860107196495e-07,True,True,True
2864601_0.268,9.5367431640625e-07,7.225112597097905e-08,0.0,0.0,2.384185791015625e-06,1.8828990278052515e-07,True,True,True
2864601_0.262,4.76837158203125e-07,9.472057627135655e-08,0.0,0.0,9.5367431640625e-07,2.2620962170094572e-07,True,True,True
2864601_0.485,2.384185791015625e-07,9.431341396748394e-08,2.384185791015625e-07,2.6381933082575415e-08,4.76837158203125e-07,1.7062306767456903e-07,True,True,True
2864601_0.473,3.5762786865234375e-07,9.521207289253653e-08,2.384185791015625e-07,2.2808196220580612e-08,9.5367431640625e-07,1.938525855393891e-07,True,True,True
2864601_0.189,7.152557373046875e-07,1.016869504155693e-07,1.0132789611816406e-06,4.5081545607672524e-08,2.1457672119140625e-06,2.518183066513302e-07,True,True,True
2864601_0.395,4.76837158203125e-07,9.886313989682094e-08,0.0,0.0,6.034970283508301e-07,1.4246207058477012e-07,True,True,True
2864601_0.237,1.430511474609375e-06,1.3847140678535652e-07,0.0,0.0,9.5367431640625e-07,1.9310955678975006e-07,True,True,True
2864601_0.372,2.384185791015625e-07,7.491931341974123e-08,2.384185791015625e-07,2.0172581827182512e-08,9.5367431640625e-07,2.0851376802966115e-07,True,True,True
2864601_0.472,4.76837158203125e-07,8.210693636101496e-08,9.5367431640625e-07,5.888961851496788e-08,2.086162567138672e-06,2.4339632886949403e-07,True,True,True
2864601_0.436,9.5367431640625e-07,8.179585364587183e-08,7.152557373046875e-07,1.6830179916382804e-08,2.384185791015625e-06,1.5207389481020073e-07,True,True,True
2864601_0.454,7.152557373046875e-07,9.264569911238141e-08,0.0,0.0,9.5367431640625e-07,1.4568185235930287e-07,True,True,True
2864601_0.377,4.76837158203125e-07,8.836723708327554e-08,9.834766387939453e-07,1.0074412415406186e-07,9.5367431640625e-07,1.8334955598220404e-07,True,True,True
