entity,entity_type,gradient_set,stratum,n,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change
2864601_0.373,member,fixed,all,1000,-1.3947486877441407e-08,1.3625621795654297e-07,1.9032464020470367e-07,7.152557373046875e-07,9.447045342526603e-08
2864601_0.373,member,fixed,stable_near_floor,23,-1.0366025178328804e-08,9.329422660495924e-08,1.491411309650479e-07,2.384185791015625e-07,7.280377734797027e-08
2864601_0.373,member,fixed,unstable,977,-1.4031799691238324e-08,1.3726760567515753e-07,1.9118730975074244e-07,7.152557373046875e-07,9.493656996409386e-08
2864601_0.481,member,varied,all,1000,3.514927811920643e-09,8.303497452288866e-08,1.3563373362877e-07,4.76837158203125e-07,6.558795881336867e-08
2864601_0.481,member,varied,stable_near_floor,240,1.5444432695706684e-08,8.697000642617544e-08,1.2841741733947845e-07,3.5762786865234375e-07,6.69722171004063e-08
2864601_0.481,member,varied,unstable,760,-2.522842566433706e-10,8.179233286921916e-08,1.3783410012634614e-07,4.76837158203125e-07,6.522326110388149e-08
2864601_0.481,member,fixed,all,1000,2.372264862060547e-08,1.1837482452392578e-07,1.5935745158625618e-07,4.76837158203125e-07,7.953518787247307e-08
2864601_0.481,member,fixed,stable_near_floor,23,-6.219615106997282e-08,1.3475832731827445e-07,1.6858739404357614e-07,2.384185791015625e-07,8.832793982303461e-08
2864601_0.481,member,fixed,unstable,977,2.57453020421851e-08,1.1798913305589096e-07,1.5913371568245842e-07,4.76837158203125e-07,7.933715016202574e-08
2864601_0.289,member,varied,all,1000,8.420756785199046e-10,8.95229895832017e-08,1.4163622805995097e-07,9.5367431640625e-07,6.833542258672048e-08
2864601_0.289,member,varied,stable_near_floor,240,-1.241763432820638e-10,9.449819723765056e-08,1.2267654906998698e-07,2.384185791015625e-07,6.475752087323941e-08
2864601_0.289,member,varied,unstable,760,1.1472078959310526e-09,8.795187137653365e-08,1.471167301169802e-07,9.5367431640625e-07,6.920364602232708e-08
2864601_0.289,member,fixed,all,1000,4.76837158203125e-09,1.6927719116210937e-07,2.2756175992946641e-07,7.152557373046875e-07,1.1206121483137169e-07
2864601_0.289,member,fixed,stable_near_floor,23,5.183012589164402e-08,1.7622242803158966e-07,2.384185791015625e-07,7.152557373046875e-07,1.1479461234890025e-07
2864601_0.289,member,fixed,unstable,977,3.6604694846708673e-09,1.6911369019179407e-07,2.2729992709212982e-07,7.152557373046875e-07,1.1199298832010718e-07
2864601_0.393,member,varied,all,1000,-3.842869773507118e-09,8.234172128140926e-08,1.343866359728025e-07,4.76837158203125e-07,6.485098938059977e-08
2864601_0.393,member,varied,stable_near_floor,240,5.89837630589803e-09,8.102506399154663e-08,1.2227807891907402e-07,2.384185791015625e-07,6.4093686981629e-08
2864601_0.393,member,varied,unstable,760,-6.919052745950849e-09,8.275750779399747e-08,1.3798982164930392e-07,4.76837158203125e-07,6.504296883664544e-08
2864601_0.393,member,fixed,all,1000,8.90493392944336e-08,1.5914440155029296e-07,2.1632462776383136e-07,7.152557373046875e-07,1.0559200213503367e-07
2864601_0.393,member,fixed,stable_near_floor,23,2.487846042798913e-07,2.695166546365489e-07,3.1441711110867833e-07,4.76837158203125e-07,1.547727760101359e-07
2864601_0.393,member,fixed,unstable,977,8.528893899283121e-08,1.565460782944241e-07,2.1347303043082091e-07,7.152557373046875e-07,1.0417957340142405e-07
2864601_0.406,member,varied,all,1000,-9.543728083372117e-09,8.72029922902584e-08,1.417205537594096e-07,9.5367431640625e-07,6.863207323987801e-08
2864601_0.406,member,varied,stable_near_floor,240,-4.097819328308106e-09,8.655091126759847e-08,1.1958897494702313e-07,2.384185791015625e-07,6.265843498427585e-08
2864601_0.406,member,varied,unstable,760,-1.1263488742866015e-08,8.740891261320365e-08,1.4802360166959938e-07,9.5367431640625e-07,7.00902148498562e-08
2864601_0.406,member,fixed,all,1000,1.8596649169921875e-08,1.2540817260742188e-07,1.7471381149827252e-07,4.76837158203125e-07,8.683103765243058e-08
2864601_0.406,member,fixed,stable_near_floor,23,8.811121401579483e-08,1.3994133990743887e-07,1.843433716377874e-07,3.5762786865234375e-07,9.310959581178526e-08
2864601_0.406,member,fixed,unstable,977,1.696017527897502e-08,1.2506604072625463e-07,1.7448071491161236e-07,4.76837158203125e-07,8.668274314530975e-08
2864601_0.206,member,varied,all,1000,1.3777753338217736e-09,8.421845268458128e-08,1.4108324087175897e-07,9.5367431640625e-07,6.843443737866915e-08
2864601_0.206,member,varied,stable_near_floor,240,3.909129494180282e-09,8.387869456782938e-08,1.2064774415738738e-07,2.384185791015625e-07,6.32871290312334e-08
2864601_0.206,member,varied,unstable,760,5.784003358138235e-10,8.43257447214503e-08,1.4694731464575476e-07,9.5367431640625e-07,6.97017955195561e-08
2864601_0.206,member,fixed,all,1000,1.7881393432617187e-09,7.879734039306641e-08,1.0629030764178639e-07,3.5762786865234375e-07,5.824909793678725e-08
2864601_0.206,member,fixed,stable_near_floor,23,5.183012589164402e-09,8.811121401579483e-08,1.1920928955078125e-07,2.384185791015625e-07,6.001136777669467e-08
2864601_0.206,member,fixed,unstable,977,1.7082190928464048e-09,7.857807827093463e-08,1.0596720220342153e-07,3.5762786865234375e-07,5.8198949942923904e-08
2864601_0.284,member,varied,all,1000,-8.328512194566429e-09,8.234816777985543e-08,1.3690157125719742e-07,4.76837158203125e-07,6.633402385413998e-08
2864601_0.284,member,varied,stable_near_floor,240,-2.3872901995976766e-08,8.695448438326517e-08,1.30715583024537e-07,4.76837158203125e-07,6.81373180063855e-08
2864601_0.284,member,varied,unstable,760,-3.4197575204368485e-09,8.089354148404182e-08,1.3879777478964247e-07,4.76837158203125e-07,6.585408417586605e-08
2864601_0.284,member,fixed,all,1000,-7.677078247070313e-08,1.4328956604003906e-07,1.8390713477780237e-07,5.960464477539062e-07,9.292934994705211e-08
2864601_0.284,member,fixed,stable_near_floor,23,-6.219615106997282e-08,1.3475832731827445e-07,1.6488172407343975e-07,3.5762786865234375e-07,8.257176398484615e-08
2864601_0.284,member,fixed,unstable,977,-7.711389047706628e-08,1.43490403799098e-07,1.843313641414715e-07,5.960464477539062e-07,9.316356645737611e-08
