entity,function,stratum,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99,residual_std,cost_scope,wall_seconds,microseconds_per_sample
2864601_0.350,invariant_tilde_f,unstable,6615.0,0.9712259185898422,0.08649468501458307,-0.008628986426756717,-0.9702090108394623,-0.4518134251236915,-0.12483406066894531,-0.0009846687316894531,0.12357650324702263,0.39748619794845536,0.7340761822462076,0.2939953942923317,single_member,3.473848749883473,355.01775675865844
2864601_0.416,original_f,all,9785.0,0.9845891194618476,0.07462177678391133,0.007762118844278171,-0.7956516849994659,-0.3549039363861084,-0.06508183479309082,-0.001336812973022461,0.07640901207923889,0.3961731791496273,0.8205070495605461,0.27307351950715986,single_member,5.6718420828692615,579.6466104107575
2864601_0.416,original_f,stable_near_floor,3170.0,-1147.6771762027151,0.030424147669614335,0.033094639798820207,-0.054571404457092285,-0.0302512526512146,-0.01141059398651123,-0.0006222724914550781,0.014700233936309814,0.1840867161750778,0.8130843234062168,0.1712838212508585,single_member,5.6718420828692615,579.6466104107575
2864601_0.416,original_f,unstable,6615.0,0.9681297002759612,0.09580189534662055,-0.004377577516401837,-0.9370385903120041,-0.42993256002664565,-0.12998053431510925,-0.0050466060638427734,0.1285092830657959,0.44100311994552577,0.8178739839792208,0.30951125016367415,single_member,5.6718420828692615,579.6466104107575
2864601_0.416,shift_averaged_bar_f,all,9785.0,0.9856659624507008,0.0694075427921162,0.00943527044349766,-0.7793177402019501,-0.3341074466705322,-0.06065201759338379,-0.0011935234069824219,0.07801151275634766,0.39018536806106563,0.8168441009521471,0.2632975566714295,single_member,159.8081734161824,16331.954360366111
2864601_0.416,shift_averaged_bar_f,stable_near_floor,3170.0,-1048.6946528526294,0.027802472085296286,0.03222437741393547,-0.04900585293769836,-0.029079961776733398,-0.011028587818145752,-0.0007159709930419922,0.015214383602142334,0.18025077581405619,0.7562395930290216,0.16362306430158013,single_member,159.8081734161824,16331.954360366111
2864601_0.416,shift_averaged_bar_f,unstable,6615.0,0.970277617522619,0.08934527130921657,-0.0014855865627438891,-0.8804076355695725,-0.41849937438964846,-0.12293767929077148,-0.003021344542503357,0.1293790340423584,0.432724905014038,0.8454495513439176,0.29892569731625424,single_member,159.8081734161824,16331.954360366111
2864601_0.416,invariant_tilde_f,all,9785.0,0.9855833412862545,0.06980760676481872,0.01013979604108153,-0.7757468032836914,-0.33355982303619386,-0.05973470211029053,-0.0010967254638671875,0.07877129316329956,0.3929440498352048,0.8165409469604471,0.2640301415870681,single_member,3.347309833392501,342.0858286553399
2864601_0.416,invariant_tilde_f,stable_near_floor,3170.0,-1053.449696056927,0.027928415335166705,0.03145070954546191,-0.05023627400398254,-0.029394567012786865,-0.011219799518585205,-0.0009071826934814453,0.014838099479675293,0.17974315881729125,0.7657719659805297,0.16415775667868943,single_member,3.347309833392501,342.0858286553399
2864601_0.416,invariant_tilde_f,unstable,6615.0,0.9701008285382335,0.08987669774471241,-7.269009782789094e-05,-0.8816062596440315,-0.4163281679153442,-0.12205985188484192,-0.0018601417541503906,0.13070306181907654,0.4362422227859495,0.8501119327545152,0.2998170797614643,single_member,3.347309833392501,342.0858286553399
2864601_0.342,original_f,all,9785.0,0.9851056822928317,0.0721205026890836,0.00262446525100917,-0.8130553531646728,-0.36875071525573727,-0.0698365569114685,0.0009002685546875,0.07840025424957275,0.3738861292600631,0.7641046810150145,0.268553505724532,single_member,5.488144957926124,560.8732711217297
2864601_0.342,original_f,stable_near_floor,3170.0,-1128.1912045170432,0.029908037406145335,0.035849689800374514,-0.058271553516387936,-0.032833540439605714,-0.011274278163909912,0.002684295177459717,0.022422313690185547,0.1806460261344908,0.7555368661880486,0.16920954252873183,single_member,5.488144957926124,560.8732711217297
2864601_0.342,original_f,unstable,6615.0,0.9692782699177697,0.09234930313457328,-0.01329752444233749,-0.9793426185846329,-0.45635429620742796,-0.13628876209259033,-0.005620002746582031,0.12209002673625946,0.41448062509298317,0.7641747969388943,0.3036221581904994,single_member,5.488144957926124,560.8732711217297
