entity,entity_type,gradient_set,stratum,n,transform,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.386,member,varied,stable_near_floor,240,stellarator_parity,-0.0038493567456801734,0.008186595017711322,0.03310226829722007,0.34958112239837646,0.01717071108407641,0.15678942990194003,0.21112563721880387
2864601_0.386,member,varied,stable_near_floor,240,plain_reversal_control,0.0227769968410333,0.07582159365216891,0.25471617650411155,2.453509211540222,0.1321256246225281,0.15678942990194003,1.6245749261504256
2864601_0.386,member,varied,unstable,760,stellarator_parity,-0.006825965486074749,0.03530846424400806,0.07494113923754657,0.9283639788627625,0.0351505763364233,0.292498126664023,0.2562106639528241
2864601_0.386,member,varied,unstable,760,plain_reversal_control,-0.10699646795462621,0.3549473933973595,0.5110320250838266,3.4820640087127686,0.23969571841078013,0.292498126664023,1.747129224081568
2864601_0.386,member,fixed,all,1000,stellarator_parity,-0.010789247632026672,0.022706706911325456,0.050678291230537506,0.48582741618156433,0.021865928568730354,,
2864601_0.386,member,fixed,all,1000,plain_reversal_control,-0.09834712564945221,0.253414189517498,0.34367565005960066,2.1263781785964966,0.14828414756192426,,
2864601_0.386,member,fixed,stable_near_floor,23,stellarator_parity,-0.0008645783299985139,0.0035843123560366425,0.007065378949785319,0.022321105003356934,0.003576322809251527,,
2864601_0.386,member,fixed,stable_near_floor,23,plain_reversal_control,0.03266068126844323,0.06651295786318571,0.1755039862530335,0.7901835441589355,0.08883584498611523,,
2864601_0.386,member,fixed,unstable,977,stellarator_parity,-0.011022888772197243,0.023156875872197145,0.05125987985967418,0.48582741618156433,0.022046028446088647,,
2864601_0.386,member,fixed,unstable,977,plain_reversal_control,-0.10143123983482744,0.2578141161582853,0.3466531226215009,2.1263781785964966,0.1490897876304082,,
2864601_0.355,member,varied,all,1000,stellarator_parity,-0.0018980340659618378,0.025256119459867478,0.05193419720377437,0.46310198307037354,0.02514187704472254,0.2611039584649687,0.19890237401644822
2864601_0.355,member,varied,all,1000,plain_reversal_control,-0.08099606858193874,0.2786070389896631,0.4361837128557514,2.6455447673797607,0.21116100504067992,0.2611039584649687,1.6705365763892563
2864601_0.355,member,varied,stable_near_floor,240,stellarator_parity,-0.001601739600300789,0.010570965334773063,0.03193824611052481,0.20037615299224854,0.016733634717687754,0.1706343879098817,0.18717356156481524
2864601_0.355,member,varied,stable_near_floor,240,plain_reversal_control,0.014813107127944628,0.08413984465102355,0.24278541300060877,1.6650136411190033,0.12720430551746378,0.1706343879098817,1.422839885761085
2864601_0.355,member,varied,unstable,760,stellarator_parity,-0.0019916007393284848,0.029893536552002557,0.05680470310046817,0.46310198307037354,0.026885889585609054,0.29408040224842397,0.1931604509044519
2864601_0.355,member,varied,unstable,760,plain_reversal_control,-0.11125159775348085,0.3400177319387072,0.4813761656039932,2.6455447673797607,0.2278372340875091,0.29408040224842397,1.6368862458143383
2864601_0.355,member,fixed,all,1000,stellarator_parity,-0.00376001513004303,0.019291318416595458,0.03858852441839438,0.5086286067962646,0.016672332700149683,,
