member_id,stored_validation_rank,stored_validation_r2,unit,dead,near_dead,active_fraction,zero_fraction,mean,std,q01,median,q99,maximum,original_dead,original_near_dead,original_active_fraction,original_mean,original_std,original_q01,original_median,original_q99,original_maximum
2864601_0.377,70,0.985380203573252,27,False,False,0.028635416666666667,0.9713645833333333,0.026890000597051465,0.21581735888121306,0.0,0.0,1.0499869084358249,4.540868282318115,False,False,0.078,0.025577837761346017,0.11974697524792105,0.0,0.0,0.6792859792709347,1.4321342706680298
2864601_0.377,70,0.985380203573252,28,False,False,0.6294895833333334,0.3705104166666667,0.4058840073922929,0.5418091381167609,0.0,0.22383027523756027,2.384025905132311,8.175015449523926,False,False,0.818,0.4096217804250773,0.46871443313870914,0.0,0.29372918605804443,2.1654735827445983,4.672202110290527
2864601_0.377,70,0.985380203573252,29,False,False,0.68246875,0.31753125,0.3747705354627322,0.4356474685557802,0.0,0.25826744735240936,1.839755654335022,3.7078053951263428,False,False,0.831,0.3627736782798311,0.3670923098476978,0.0,0.27048972249031067,1.510749635696411,2.2944281101226807
2864601_0.377,70,0.985380203573252,30,False,False,0.7480208333333334,0.25197916666666664,0.6569001750879339,0.7000383989294717,0.0,0.5061632692813873,2.9789634823799314,7.998112678527832,False,False,0.892,0.6492121267209295,0.6139065100132197,0.0,0.5128010213375092,2.78731657743454,4.0592217445373535
2864601_0.212,71,0.9853703895795144,0,False,False,0.6328958333333333,0.3671041666666667,0.821847271041944,1.0614739496280998,0.0,0.414385050535202,4.535391807556152,8.431036949157715,False,False,0.802,0.7962087181671522,0.8140496455468944,0.0,0.5956694185733795,3.248984689712524,4.628627300262451
2864601_0.212,71,0.9853703895795144,1,False,False,0.060447916666666664,0.9395520833333333,0.09098318997586648,0.5460042629969162,0.0,0.0,2.734860882759128,15.0713529586792,False,False,0.153,0.08238080240378622,0.30537666814549125,0.0,0.0,1.4673884284496295,3.8525383472442627
2864601_0.212,71,0.9853703895795144,2,False,False,0.74265625,0.25734375,2.0131692478183836,2.596597309184761,0.0,1.1762580871582031,12.142807979583743,15.954207420349121,False,False,0.848,1.999428405168932,2.5412900328888317,0.0,1.147517740726471,12.076030912399291,13.869708061218262
2864601_0.212,71,0.9853703895795144,3,False,False,0.75353125,0.24646875,1.7696037042472654,1.8428359116849826,0.0,1.383313536643982,7.925175790786752,16.76873207092285,False,False,0.851,1.7788935852909926,1.7211910166237567,0.0,1.390142560005188,7.6014781332015975,11.199578285217285
2864601_0.212,71,0.9853703895795144,4,False,False,0.0639375,0.9360625,0.19443258363119822,1.0698674990730217,0.0,0.0,6.262907619476414,16.27640724182129,False,False,0.169,0.20444264085171746,0.684783280072013,0.0,0.0,3.3105768108367912,6.007015705108643
2864601_0.212,71,0.9853703895795144,5,False,False,0.4264791666666667,0.5735208333333334,0.6640104345516441,1.2795268645233049,0.0,0.0,6.215539469718938,14.865694999694824,False,False,0.676,0.6553350262891036,0.9307282573013334,0.0,0.2906291335821152,4.236199779510498,8.646748542785645
2864601_0.212,71,0.9853703895795144,6,False,False,0.05,0.95,0.05563527096138629,0.38122206203819375,0.0,0.0,1.6725215911865234,11.832060813903809,False,False,0.107,0.05572930368664675,0.24953657888169464,0.0,0.0,1.2673925471305847,3.009869337081909
2864601_0.212,71,0.9853703895795144,7,False,False,0.23382291666666666,0.7661770833333333,0.6301700881168579,1.6129204836578421,0.0,0.0,8.01985982894898,12.603275299072266,False,False,0.31,0.6115455688584771,1.5360021105736132,0.0,0.0,7.893008708953857,9.370043754577637
