gradient_set,stratum,n,shift,exact_pooling_subgroup,entity,rms_change_q10,rms_change_median,rms_change_q90,rms_over_residual_std_q10,rms_over_residual_std_median,rms_over_residual_std_q90
varied,all,1000,25,False,ensemble_spread,0.013825166349510018,0.013825166349510018,0.013825166349510018,,,
varied,all,1000,26,False,member_distribution,0.12967171629959875,0.1548604483670099,0.17859577521554532,0.4802359720795198,0.5759250474149082,0.6615948793998214
varied,all,1000,26,False,ensemble_mean,0.015807120730622654,0.015807120730622654,0.015807120730622654,0.06949529982163485,0.06949529982163485,0.06949529982163485
varied,all,1000,26,False,ensemble_spread,0.01531290909069498,0.01531290909069498,0.01531290909069498,,,
varied,all,1000,27,False,member_distribution,0.13413441382818372,0.15433528367779925,0.17653451723449276,0.4897786715321615,0.5752572952319791,0.6642690288132278
varied,all,1000,27,False,ensemble_mean,0.016513391492344775,0.016513391492344775,0.016513391492344775,0.0726003876600574,0.0726003876600574,0.0726003876600574
varied,all,1000,27,False,ensemble_spread,0.014826662209901103,0.014826662209901103,0.014826662209901103,,,
varied,all,1000,28,False,member_distribution,0.11697639706946833,0.13884141986471465,0.16387738361608223,0.42972134452155897,0.5170445048421047,0.609143050097357
varied,all,1000,28,False,ensemble_mean,0.014705517353384469,0.014705517353384469,0.014705517353384469,0.06465214980776908,0.06465214980776908,0.06465214980776908
varied,all,1000,28,False,ensemble_spread,0.015444426034906164,0.015444426034906164,0.015444426034906164,,,
varied,all,1000,29,False,member_distribution,0.12084936583838603,0.14069547076262662,0.16519488347287745,0.445188847091297,0.5236224859208036,0.6217476714889423
varied,all,1000,29,False,ensemble_mean,0.015059644184727704,0.015059644184727704,0.015059644184727704,0.06620905259471416,0.06620905259471416,0.06620905259471416
varied,all,1000,29,False,ensemble_spread,0.014548187131575532,0.014548187131575532,0.014548187131575532,,,
varied,all,1000,30,False,member_distribution,0.10566252505390865,0.12910306196798071,0.14972932765448776,0.39008410744407596,0.4782674809123916,0.5533325277478904
varied,all,1000,30,False,ensemble_mean,0.013532591542582491,0.013532591542582491,0.013532591542582491,0.059495433902366696,0.059495433902366696,0.059495433902366696
varied,all,1000,30,False,ensemble_spread,0.013306983261825844,0.013306983261825844,0.013306983261825844,,,
varied,all,1000,31,False,member_distribution,0.07769663290400233,0.09394573737212403,0.1123366482478478,0.2904757258852248,0.3527975556758611,0.41587225183180077
varied,all,1000,31,False,ensemble_mean,0.009519886075847209,0.009519886075847209,0.009519886075847209,0.04185375365844683,0.04185375365844683,0.04185375365844683
varied,all,1000,31,False,ensemble_spread,0.010039622960078898,0.010039622960078898,0.010039622960078898,,,
varied,all,1000,32,True,member_distribution,3.47055539961619e-07,4.0735667421942894e-07,4.774950240563394e-07,1.2947857795604062e-06,1.5095462353844384e-06,1.7683890952159248e-06
varied,all,1000,32,True,ensemble_mean,1.6800828027122912e-07,1.6800828027122912e-07,1.6800828027122912e-07,7.386408953875569e-07,7.386408953875569e-07,7.386408953875569e-07
varied,all,1000,32,True,ensemble_spread,4.5887351073079735e-08,4.5887351073079735e-08,4.5887351073079735e-08,,,
varied,all,1000,33,False,member_distribution,0.07785429958760849,0.09340599031041391,0.11332432756136862,0.2919405281273422,0.3481694580964835,0.4224086180585328
varied,all,1000,33,False,ensemble_mean,0.009833147228010392,0.009833147228010392,0.009833147228010392,0.04323099231329411,0.04323099231329411,0.04323099231329411
varied,all,1000,33,False,ensemble_spread,0.011217826517601384,0.011217826517601384,0.011217826517601384,,,
varied,all,1000,34,False,member_distribution,0.1059230733570733,0.12757515808525882,0.152969928124725,0.3948560510994947,0.4742392731948476,0.5686014468345275
varied,all,1000,34,False,ensemble_mean,0.013580373136933188,0.013580373136933188,0.013580373136933188,0.059705503546417966,0.059705503546417966,0.059705503546417966
varied,all,1000,34,False,ensemble_spread,0.013267994958747871,0.013267994958747871,0.013267994958747871,,,
varied,all,1000,35,False,member_distribution,0.12081513822355451,0.14336404472662534,0.16420523294379022,0.44735065078978486,0.5356164694807086,0.6059977567637769
varied,all,1000,35,False,ensemble_mean,0.014727222675419422,0.014727222675419422,0.014727222675419422,0.06474757628601581,0.06474757628601581,0.06474757628601581
varied,all,1000,35,False,ensemble_spread,0.014324008756606268,0.014324008756606268,0.014324008756606268,,,
varied,all,1000,36,False,member_distribution,0.11747561963667816,0.1405741614840435,0.16090200632565763,0.4298920266116039,0.5254606821694496,0.6033019439179893
varied,all,1000,36,False,ensemble_mean,0.013285196915808439,0.013285196915808439,0.013285196915808439,0.058407774482608026,0.058407774482608026,0.058407774482608026
varied,all,1000,36,False,ensemble_spread,0.014601063108276906,0.014601063108276906,0.014601063108276906,,,
