target_kind,target_id,row_id,equilibrium_file,stable_or_near_floor,target_native_value,ebm_oof_prediction,signed_residual_target_minus_formula,fold,split_unit
member_output,2864601_0.437,6645,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001672.h5,False,-0.10704762488603592,-0.48776781408895203,0.3807201892029161,1,equilibrium_files
member_output,2864601_0.437,6724,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001691.h5,False,-0.9737539291381836,-0.951536378027967,-0.022217551110216616,3,equilibrium_files
member_output,2864601_0.437,6727,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001692.h5,False,-0.8696424961090088,-0.7653478019903245,-0.1042946941186843,2,equilibrium_files
member_output,2864601_0.437,7271,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001828.h5,False,0.19794130325317383,-0.8432256815810067,1.0411669848341805,4,equilibrium_files
member_output,2864601_0.437,7442,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001871.h5,True,-1.9557722806930542,-2.847733096312932,0.891960815619878,4,equilibrium_files
member_output,2864601_0.437,7467,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001878.h5,False,1.024532675743103,0.6831665276252422,0.3413661481178608,2,equilibrium_files
member_output,2864601_0.437,7764,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001952.h5,True,-1.9776848554611206,-1.862910662282755,-0.11477419317836568,1,equilibrium_files
member_output,2864601_0.437,7895,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_001985.h5,False,3.6399178504943848,3.249645629700854,0.39027222079353097,4,equilibrium_files
member_output,2864601_0.437,7975,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002005.h5,False,0.2718425989151001,-0.5753402079595036,0.8471828068746037,3,equilibrium_files
member_output,2864601_0.437,8018,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002016.h5,False,0.4258536100387573,-0.1611412333655356,0.5869948434042929,2,equilibrium_files
