target_kind,target_id,feature_name,mean_fold_importance,std_fold_importance,top_k_fold_recurrence,folds,split_unit,importance_method,validity_tag
bottleneck_unit,2864601_0.437:u002,parallel_roughness_iqr_scaled,0.09619511229064479,0.008070407808233704,1.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,cross_channel_colocation,0.051922572700971524,0.003364776624537101,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,bmag_parallel_expected_k,0.02452716516103489,0.010300097194637625,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,compression_parallel_expected_k,0.07729977873462253,0.010398605981466703,0.8,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,curvature_parallel_expected_k,0.040760401648676635,0.0020913816204247678,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,local_shear_abs_mean,0.10409273410689927,0.004599605940716546,1.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,f_Q_integrand_w25_peak,0.0633740867858317,0.006845607907848687,0.2,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u002,geodesic_abs_w25_peak,0.03340594134664955,0.004744087799208044,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,a_over_LT,0.024352342498335573,0.004981343242897769,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,a_over_Ln,0.008423639832570313,0.0010558124049928634,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,log_f_Q,0.035985384423082675,0.00487585947120113,0.2,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,f_stab,0.06918682879962931,0.0032370923779437384,1.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,log_FSA_grad_x,0.03847616663216282,0.0031548519971769337,1.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,bad_curvature_compression,0.024861530615836753,0.004080879903584992,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,paper_bad_curvature_feature_mean_square,0.03705776311617882,0.003172032724018469,0.8,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,geodesic_curvature_abs_mean,0.03899899525142111,0.00575985894392117,0.8,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,geodesic_curvature_compression,0.025005071912327082,0.0031561858026844226,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,parallel_roughness_iqr_scaled,0.016125070500325467,0.0012230028960640053,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,cross_channel_colocation,0.034915784954065145,0.0027776821891040866,0.6,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,bmag_parallel_expected_k,0.01574413217518449,0.00432582495539983,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,compression_parallel_expected_k,0.013941079107964504,0.0008709081862827709,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,curvature_parallel_expected_k,0.025278618825924297,0.004730047021173255,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
bottleneck_unit,2864601_0.437:u003,local_shear_abs_mean,0.029244324834915403,0.0031763757139466812,0.0,5,equilibrium_files,mean_absolute_EBM_term_contribution,observed-comparison
