target_kind,target_id,feature_name,top_k_recurrence,median_importance,importance_ci95_lower,importance_ci95_upper,bootstrap_unit
ensemble_mean_output,stored_validation_top_member_mean,cross_channel_colocation,0.0,0.07626600535529698,0.052336471352473116,0.10517687769647949,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,bmag_parallel_expected_k,0.0,0.057978085169821766,0.02722254534698654,0.08517975721108204,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,compression_parallel_expected_k,0.0,0.04467291952584922,0.017777521517695235,0.08715523716657655,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,curvature_parallel_expected_k,0.0,0.04065792315076387,0.02244950913002933,0.06288433952116707,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,local_shear_abs_mean,0.1,0.061498507710395264,0.035253939632035144,0.11395241324335358,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,f_Q_integrand_w25_peak,0.8666666666666667,0.13213591963510377,0.09803478685086393,0.1724164136837976,equilibrium_files
ensemble_mean_output,stored_validation_top_member_mean,geodesic_abs_w25_peak,0.0,0.030144536680158023,0.017830259917183337,0.059208234613398185,equilibrium_files
true_clipped_log_Q,GX_true_target,a_over_LT,1.0,1.3434517893003193,1.284059514534032,1.4197242168487259,equilibrium_files
true_clipped_log_Q,GX_true_target,a_over_Ln,1.0,0.7176883304915643,0.6492258687043482,0.785611002247711,equilibrium_files
true_clipped_log_Q,GX_true_target,log_f_Q,0.0,0.06717061274295613,0.051021531159678134,0.09162145088849477,equilibrium_files
true_clipped_log_Q,GX_true_target,f_stab,0.9,0.1450772139171132,0.08435243310419158,0.1963620816691577,equilibrium_files
true_clipped_log_Q,GX_true_target,log_FSA_grad_x,0.13333333333333333,0.08351835272395688,0.05641854970334616,0.12237487028624669,equilibrium_files
true_clipped_log_Q,GX_true_target,bad_curvature_compression,0.4,0.11034678961960626,0.0803674835012559,0.14011817147196137,equilibrium_files
true_clipped_log_Q,GX_true_target,paper_bad_curvature_feature_mean_square,0.1,0.09887032870803694,0.0745634431885263,0.12009104880963949,equilibrium_files
true_clipped_log_Q,GX_true_target,geodesic_curvature_abs_mean,0.0,0.04956807527917665,0.024258476401498693,0.0804736004287039,equilibrium_files
true_clipped_log_Q,GX_true_target,geodesic_curvature_compression,0.5666666666666667,0.11657840080278743,0.07394392185765285,0.17120740712552085,equilibrium_files
true_clipped_log_Q,GX_true_target,parallel_roughness_iqr_scaled,0.0,0.06323661029967786,0.022718514034444713,0.09203130693507325,equilibrium_files
true_clipped_log_Q,GX_true_target,cross_channel_colocation,0.03333333333333333,0.06858543324311542,0.044906456684244436,0.11084345696919817,equilibrium_files
true_clipped_log_Q,GX_true_target,bmag_parallel_expected_k,0.0,0.06317425570186383,0.030961669213739208,0.09849843842964937,equilibrium_files
true_clipped_log_Q,GX_true_target,compression_parallel_expected_k,0.0,0.04721492618922041,0.027947631929752272,0.075057270178261,equilibrium_files
true_clipped_log_Q,GX_true_target,curvature_parallel_expected_k,0.0,0.03946535896327648,0.01966833440978313,0.07216659884450312,equilibrium_files
true_clipped_log_Q,GX_true_target,local_shear_abs_mean,0.16666666666666666,0.07780502063999684,0.04066700650545607,0.12410233851815253,equilibrium_files
true_clipped_log_Q,GX_true_target,f_Q_integrand_w25_peak,0.7,0.130767673624363,0.08846445581900182,0.17687272400040824,equilibrium_files
true_clipped_log_Q,GX_true_target,geodesic_abs_w25_peak,0.0,0.03677275848575662,0.025515311952467513,0.07077528322510995,equilibrium_files
