perturbation,family,registered_dose,path_dose,replicate,validity_tag,n,reconstruction_rms_median,reconstruction_percentile_median,nearest_distance_median,nearest_percentile_median,warning_score_median,warning_score_q90,fraction_outside_heldout_central_95pct,warning_tail_definition,cyclic_anchor,interpretation
independent_channel_shift_r0,independent_shift,1.0,1.0,0,deliberately_off_manifold_diagnostic,1000,0.8039321056644992,0.6796875,2.585949118572019,0.75390625,0.6875,0.94140625,0.069,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
common_phase_scramble_r0,common_phase_scramble,1.0,0.0,0,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
common_phase_scramble_r0,common_phase_scramble,1.0,0.25,0,deliberately_off_manifold_diagnostic,1000,0.531448135347278,0.2509765625,2.105265906725953,0.625,0.767578125,0.98828125,0.175,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
common_phase_scramble_r0,common_phase_scramble,1.0,0.5,0,deliberately_off_manifold_diagnostic,1000,0.4910849068229753,0.1845703125,2.168770930633348,0.64453125,0.796875,0.98828125,0.229,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
common_phase_scramble_r0,common_phase_scramble,1.0,0.75,0,deliberately_off_manifold_diagnostic,1000,0.5476216635799658,0.2822265625,2.2780509977806123,0.673828125,0.76171875,0.98046875,0.148,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
common_phase_scramble_r0,common_phase_scramble,1.0,1.0,0,deliberately_off_manifold_diagnostic,1000,0.6976995512471906,0.544921875,2.526400235568717,0.7421875,0.703125,0.9417968750000001,0.089,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
channel_phase_scramble_r0,channel_phase_scramble,1.0,0.0,0,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
channel_phase_scramble_r0,channel_phase_scramble,1.0,0.25,0,deliberately_off_manifold_diagnostic,1000,0.5466424593965731,0.279296875,2.0937650663105574,0.615234375,0.7578125,0.98046875,0.132,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
channel_phase_scramble_r0,channel_phase_scramble,1.0,0.5,0,deliberately_off_manifold_diagnostic,1000,0.5432322298464536,0.271484375,2.201096560451881,0.65625,0.759765625,0.98046875,0.145,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
channel_phase_scramble_r0,channel_phase_scramble,1.0,0.75,0,deliberately_off_manifold_diagnostic,1000,0.6369024459268855,0.44921875,2.380966768652017,0.7001953125,0.703125,0.9417968750000001,0.094,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
channel_phase_scramble_r0,channel_phase_scramble,1.0,1.0,0,deliberately_off_manifold_diagnostic,1000,0.8145403610777067,0.703125,2.575895705480133,0.75390625,0.6875,0.94140625,0.075,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L2_r0,block_permutation,1.0,0.0,0,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L2_r0,block_permutation,1.0,0.25,0,deliberately_off_manifold_diagnostic,1000,0.5628626606755451,0.31640625,2.1138007251284217,0.6298828125,0.740234375,0.97265625,0.126,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L2_r0,block_permutation,1.0,0.5,0,deliberately_off_manifold_diagnostic,1000,0.5827662374339015,0.34765625,2.0780001784892876,0.607421875,0.71484375,0.9453125,0.094,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L2_r0,block_permutation,1.0,0.75,0,deliberately_off_manifold_diagnostic,1000,0.7235949608236452,0.578125,2.129178533819268,0.6328125,0.630859375,0.94140625,0.079,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L2_r0,block_permutation,1.0,1.0,0,deliberately_off_manifold_diagnostic,1000,0.9242866765531428,0.798828125,2.224358399901098,0.662109375,0.681640625,0.9453125,0.098,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L4_r0,block_permutation,1.0,0.0,0,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L4_r0,block_permutation,1.0,0.25,0,deliberately_off_manifold_diagnostic,1000,0.5562259066925064,0.291015625,2.087154687587433,0.6123046875,0.736328125,0.9730468750000001,0.118,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L4_r0,block_permutation,1.0,0.5,0,deliberately_off_manifold_diagnostic,1000,0.5716828853357374,0.337890625,2.168065841175423,0.64453125,0.72265625,0.9535156250000001,0.104,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L4_r0,block_permutation,1.0,0.75,0,deliberately_off_manifold_diagnostic,1000,0.6936337169906175,0.5361328125,2.2436010781004088,0.66796875,0.64453125,0.94140625,0.08,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L4_r0,block_permutation,1.0,1.0,0,deliberately_off_manifold_diagnostic,1000,0.8781944822139482,0.748046875,2.3555715978202905,0.693359375,0.662109375,0.94140625,0.089,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L8_r0,block_permutation,1.0,0.0,0,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L8_r0,block_permutation,1.0,0.25,0,deliberately_off_manifold_diagnostic,1000,0.5507373476597377,0.283203125,2.08861696166529,0.615234375,0.7421875,0.98046875,0.135,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L8_r0,block_permutation,1.0,0.5,0,deliberately_off_manifold_diagnostic,1000,0.5469374497817283,0.279296875,2.2269448274284285,0.6630859375,0.748046875,0.9769531250000001,0.129,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L8_r0,block_permutation,1.0,0.75,0,deliberately_off_manifold_diagnostic,1000,0.6527136478868804,0.482421875,2.3057435758758604,0.6787109375,0.6875,0.94140625,0.08,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L8_r0,block_permutation,1.0,1.0,0,deliberately_off_manifold_diagnostic,1000,0.836195699655045,0.716796875,2.5381096946766943,0.7421875,0.66015625,0.94140625,0.079,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L16_r0,block_permutation,1.0,0.0,0,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L16_r0,block_permutation,1.0,0.25,0,deliberately_off_manifold_diagnostic,1000,0.5544535655206925,0.287109375,2.0971456705812894,0.6171875,0.7421875,0.98046875,0.127,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L16_r0,block_permutation,1.0,0.5,0,deliberately_off_manifold_diagnostic,1000,0.5384845162538592,0.26171875,2.236700198842159,0.666015625,0.765625,0.98046875,0.134,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
