entity,entity_type,convention,a_over_LT_input,n,prediction_mean,prediction_std,prediction_min,prediction_max,fraction_within_0p05_of_floor,r2_against_fixed_target,mean_absolute_error
2864601_0.377,member,legacy_marker,-3.0,1000,-1.9962989735603331,0.09207527137305205,-2.3283255100250244,-1.6689245700836182,0.713,-11.938541346108527,4.006042032129364
2864601_0.212,member,legacy_marker,-3.0,1000,-1.9793579826354981,0.007808266400526996,-2.0164055824279785,-1.9504876136779785,1.0,-11.762990460728545,3.9844336031742857
2864601_0.123,member,legacy_marker,-3.0,1000,-1.800584364295006,0.08910842036015294,-2.2386136054992676,-1.4865573644638062,0.06,-10.632103606099665,3.805372106082039
2864601_0.288,member,legacy_marker,-3.0,1000,-2.055115191459656,0.07556975308146552,-2.3514058589935303,-1.8854973316192627,0.954,-12.236990496556015,4.059889187700348
2864601_0.349,member,legacy_marker,-3.0,1000,-2.1530038148164747,0.1052186425418241,-2.4713897705078125,-1.604127049446106,0.952,-12.7237325671036,4.1577778110571675
2864601_0.510,member,legacy_marker,-3.0,1000,-2.1186272699832918,0.10613155224683285,-2.4932024478912354,-1.8775832653045654,0.962,-12.702434000663429,4.125440091735916
2864601_0.376,member,legacy_marker,-3.0,1000,-1.9822165639400482,0.20047209785441703,-2.6041088104248047,-1.5558795928955078,0.544,-12.092201569330127,4.004336235887604
2864601_0.305,member,legacy_marker,-3.0,1000,-1.4811757273077966,0.1748546171225889,-2.1658127307891846,-0.9990130066871643,0.025,-9.007623478217736,3.5133607872196007
2864601_0.496,member,legacy_marker,-3.0,1000,-2.205214592933655,0.07083375486158998,-2.4499051570892334,-2.0557801723480225,1.0,-13.029528704511275,4.209988589174347
2864601_0.261,member,legacy_marker,-3.0,1000,-2.017192057609558,0.0036053675329987,-2.042693614959717,-2.0110087394714355,1.0,-11.988533074729649,4.02196605385025
2864601_0.252,member,legacy_marker,-3.0,1000,-1.4468333775997162,0.08123641439838569,-2.074768543243408,-1.2357126474380493,0.003,-8.854220516091576,3.473016255027847
2864601_0.208,member,legacy_marker,-3.0,1000,-1.9128101680278777,0.04284141320422547,-2.0399935245513916,-1.6928335428237915,0.167,-11.422039480632597,3.926285014993744
2864601_0.230,member,legacy_marker,-3.0,1000,-1.3424647966623307,0.16251266714863657,-2.2987523078918457,-0.8456553220748901,0.013,-8.152086324863092,3.354087316996651
2864601_0.452,member,legacy_marker,-3.0,1000,-2.071869708418846,0.056993042849273014,-2.2937140464782715,-1.9178498983383179,0.982,-12.359866942877046,4.076688575274543
2864601_0.498,member,legacy_marker,-3.0,1000,-1.8443914185762404,0.11338044888191012,-2.134587287902832,-1.3162013292312622,0.205,-10.948259967181727,3.851219731099205
2864601_0.271,member,legacy_marker,-3.0,1000,-1.9395894393920898,0.14624640114234314,-2.140441417694092,-1.1633930206298828,0.599,-11.708502364358695,3.959972174532013
2864601_0.450,member,legacy_marker,-3.0,1000,-2.0456397627592087,0.06474943299633355,-2.432762861251831,-1.6638401746749878,0.943,-12.12308872503901,4.050413758999901
2864601_0.46,member,legacy_marker,-3.0,1000,-1.9625264053344726,0.07445047156913868,-2.0662338733673096,-1.6937506198883057,0.611,-11.774724157212166,3.978718202001648
2864601_0.308,member,legacy_marker,-3.0,1000,-2.0914380621910094,0.06076148019162968,-2.225493907928467,-1.516026496887207,0.986,-12.44455809776184,4.096212058431702
2864601_0.163,member,legacy_marker,-3.0,1000,-2.4367108372449873,0.057316130530099346,-2.910414934158325,-1.5217114686965942,0.999,-14.65893733228279,4.44148483348568
2864601_0.246,member,legacy_marker,-3.0,1000,-2.2025438491106035,0.13783177369972371,-2.9255058765411377,-1.958594799041748,1.0,-12.944426447764739,4.207317845351295
2864601_0.438,member,legacy_marker,-3.0,1000,-2.016241728067398,0.009211912115749885,-2.0815703868865967,-1.9865316152572632,1.0,-11.981558062902002,4.02101572430809
2864601_0.362,member,legacy_marker,-3.0,1000,-2.005237060904503,0.04570517616004318,-2.1727828979492188,-1.8948506116867065,0.909,-11.853898202435616,4.010011057145195
2864601_0.136,member,legacy_marker,-3.0,1000,-1.8532872854471207,0.06035048224086154,-1.976698875427246,-1.641200304031372,0.03,-10.976322389805015,3.86029214859684
2864601_0.250,member,legacy_marker,-3.0,1000,-1.9626414890289308,0.03733860647660036,-2.165548324584961,-1.8990259170532227,0.671,-11.677543801237023,3.9715213517018126
2864601_0.247,member,legacy_marker,-3.0,1000,-2.0380579367876055,0.014104572365397658,-2.1764087677001953,-1.990090250968933,1.0,-12.11386971208416,4.042831933028298
2864601_0.382,member,legacy_marker,-3.0,1000,-1.9131026830673217,0.08689915119388339,-2.041297435760498,-1.501254677772522,0.421,-11.3535841500805,3.917876679308014
2864601_0.307,member,legacy_marker,-3.0,1000,-1.9536428146362306,0.030492668429706934,-2.0969467163085938,-1.900421142578125,0.502,-11.652896364143537,3.9625316447087098
2864601_0.339,member,legacy_marker,-3.0,1000,-1.9339548234939574,0.01219917785257252,-1.9746531248092651,-1.892684817314148,0.107,-11.48446545197084,3.940010333664017
2864601_0.426,member,legacy_marker,-3.0,1000,-2.2914507937431337,0.09461860429699218,-2.9487195014953613,-1.913529872894287,0.999,-13.708743890693272,4.2962247899838255
2864601_0.379,member,legacy_marker,-3.0,1000,-1.6048667154312133,0.12695752474758124,-1.8939305543899536,-1.0964447259902954,0.0,-9.791616885670674,3.6356707686253356
ensemble_mean,ensemble,legacy_marker,-3.0,1000,-2.0333261026257277,0.014040339664300147,-2.101462104320526,-2.0043820977210998,1.0,-12.07764621120431,4.038100098866421
