entity,entity_type,convention,a_over_LT_input,n,prediction_mean,prediction_std,prediction_min,prediction_max,fraction_within_0p05_of_floor,r2_against_fixed_target,mean_absolute_error
2864601_0.494,member,legacy_marker,-3.0,1000,-2.0119415826797487,0.04566248184715366,-2.134087324142456,-1.883457899093628,0.936,-11.900834905569507,4.016715578920441
2864601_0.260,member,legacy_marker,-3.0,1000,-2.1341488132476805,0.0306767993531362,-2.198833703994751,-2.015880823135376,1.0,-12.659053512815872,4.138922809488373
2864601_0.434,member,legacy_marker,-3.0,1000,-2.0058930635452272,0.010373328490611665,-2.0462496280670166,-1.9665933847427368,1.0,-11.914265213446372,4.010667059785919
2864601_0.460,member,legacy_marker,-3.0,1000,-1.9116441413164138,0.0661456886993168,-2.1713943481445312,-1.7548558712005615,0.224,-11.288674145983459,3.916418137557106
2864601_0.402,member,legacy_marker,-3.0,1000,-1.9336810121536254,0.07691404145364357,-2.150289297103882,-1.5495617389678955,0.476,-11.463457639219966,3.941514387495117
2864601_0.279,member,legacy_marker,-3.0,1000,-2.155101732134819,0.03636952712869752,-2.318422317504883,-1.9064059257507324,0.999,-12.804538767187536,4.1598757283755114
2864601_0.353,member,legacy_marker,-3.0,1000,-1.8475694949626922,0.057998771494776204,-2.0296998023986816,-1.6447786092758179,0.052,-11.05978648409211,3.8638886436291506
2864601_0.175,member,legacy_marker,-3.0,1000,-2.262883842468262,0.05259834519484727,-2.443653106689453,-2.1093807220458984,1.0,-13.45952113117838,4.267657838708954
2864601_0.277,member,legacy_marker,-3.0,1000,-2.0269124410152437,0.005311785105828653,-2.049335241317749,-2.0125744342803955,1.0,-12.045397365306693,4.031686437255936
2864601_0.463,member,legacy_marker,-3.0,1000,-2.012777193069458,0.022036396725217483,-2.1136834621429443,-1.9152495861053467,0.979,-11.994075573082714,4.020226902372436
2864601_0.229,member,legacy_marker,-3.0,1000,-1.598994397163391,0.08824408869576658,-1.8231338262557983,-1.3252843618392944,0.0,-9.54913965478689,3.6215054725476077
2864601_0.224,member,legacy_marker,-3.0,1000,-2.0695497760772703,0.013236137031049726,-2.12762713432312,-2.029158353805542,1.0,-12.31732954785551,4.074323772317963
2864601_0.373,member,legacy_marker,-3.0,1000,-2.0146358222961425,0.011603245646568125,-2.05342435836792,-1.9825472831726074,1.0,-11.958666461704421,4.019409818536835
2864601_0.481,member,legacy_marker,-3.0,1000,-2.002440871834755,0.08203920524461182,-2.279231309890747,-1.7620433568954468,0.721,-11.903571771769066,4.01207885361393
2864601_0.289,member,legacy_marker,-3.0,1000,-2.030561827659607,0.016321069536519777,-2.0954389572143555,-1.8848638534545898,0.997,-12.058490051305888,4.035335823900299
2864601_0.393,member,legacy_marker,-3.0,1000,-2.0484028482437133,0.013186055581673779,-2.087355375289917,-1.9637620449066162,1.0,-12.180495419480254,4.053176844484406
2864601_0.406,member,legacy_marker,-3.0,1000,-2.012125949025154,0.01354690912998108,-2.051208972930908,-1.9711443185806274,1.0,-11.974062641443972,4.017801850802498
2864601_0.206,member,legacy_marker,-3.0,1000,-1.8231545839309693,0.07848271248932957,-2.2994086742401123,-1.6921509504318237,0.076,-10.866297410252272,3.82882430804451
2864601_0.284,member,legacy_marker,-3.0,1000,-1.9789297909736634,0.010615971234276845,-2.0057554244995117,-1.90717613697052,0.982,-11.756028735860047,3.9838447865315247
2864601_0.235,member,legacy_marker,-3.0,1000,-1.9163215808868408,0.07211725169808192,-2.1665611267089844,-1.7437440156936646,0.284,-11.463800649383062,3.9237129043408205
2864601_0.405,member,legacy_marker,-3.0,1000,-2.734881999015808,0.15016505565223986,-3.4821555614471436,-2.446375846862793,1.0,-16.45836209802803,4.7396559952565
2864601_0.398,member,legacy_marker,-3.0,1000,-2.027157872080803,0.0180459175185456,-2.114053964614868,-1.981202483177185,1.0,-12.038819245781683,4.031931868321495
2864601_0.358,member,legacy_marker,-3.0,1000,-1.899402952671051,0.09846637637915814,-2.198964834213257,-1.5701572895050049,0.278,-11.278173179416479,3.9083255103894046
2864601_0.242,member,legacy_marker,-3.0,1000,-1.9362140181064607,0.013476423785493248,-2.0123891830444336,-1.8952428102493286,0.135,-11.52376901585963,3.94537166631897
2864601_0.490,member,legacy_marker,-3.0,1000,-2.0396736879348754,0.0403246927504414,-2.1494271755218506,-1.9200475215911865,0.998,-12.146569349649612,4.044447684175568
2864601_0.263,member,legacy_marker,-3.0,1000,-2.038386278271675,0.10131146564000755,-2.272578239440918,-1.6958749294281006,0.848,-12.284020606511454,4.0552544188566975
2864601_0.211,member,legacy_marker,-3.0,1000,-1.9733718395233155,0.013642026748563909,-2.0013022422790527,-1.5959229469299316,0.999,-11.72405071234891,3.9782824248143007
2864601_0.292,member,legacy_marker,-3.0,1000,-2.0220436553955077,0.006014377427786023,-2.048865556716919,-2.011143922805786,1.0,-12.014663698127892,4.0268176516362
2864601_0.276,member,legacy_marker,-3.0,1000,-2.0108727020025254,0.006657718983600691,-2.063157796859741,-1.982631802558899,1.0,-11.957776522839593,4.015646698243217
2864601_0.427,member,legacy_marker,-3.0,1000,-1.9535697511434555,0.03916064885304334,-2.2842793464660645,-1.8403608798980713,0.526,-11.6073664517651,3.959107187993126
2864601_0.461,member,legacy_marker,-3.0,1000,-2.0094876003265383,0.03306012741372672,-2.1633877754211426,-1.865964412689209,0.965,-11.964972425405616,4.015161211855011
2864601_0.471,member,legacy_marker,-3.0,1000,-2.28439617395401,0.0665246958649991,-2.552581310272217,-2.0863547325134277,1.0,-13.571023147034746,4.289170170194702
2864601_0.440,member,legacy_marker,-3.0,1000,-1.8964804574251175,0.14603203086012875,-2.2398247718811035,-1.342242956161499,0.407,-11.522427835230987,3.9298451688357163
2864601_0.457,member,legacy_marker,-3.0,1000,-2.0130734877586365,0.006209150516957416,-2.0473616123199463,-1.987471580505371,1.0,-11.969424602523015,4.017937659627991
2864601_0.400,member,legacy_marker,-3.0,1000,-1.9753399276733399,0.012189584534503887,-2.0166540145874023,-1.9283937215805054,0.963,-11.752827333316235,3.9819238945313264
2864601_0.385,member,legacy_marker,-3.0,1000,-1.8662129517793655,0.055060279887362104,-2.060196876525879,-1.664725422859192,0.086,-11.089023854025521,3.87290472341259
2864601_0.350,member,legacy_marker,-3.0,1000,-2.552901911020279,0.21793908091932532,-3.473482608795166,-2.0357940196990967,1.0,-15.120992549872124,4.557675907260971
2864601_0.416,member,legacy_marker,-3.0,1000,-2.398193429470062,0.1163253671861404,-2.672076463699341,-2.059342622756958,1.0,-14.244339030831002,4.402967425710754
2864601_0.342,member,legacy_marker,-3.0,1000,-1.513090847492218,0.0708308043155806,-1.7963076829910278,-1.3403550386428833,0.0,-9.197491896428087,3.534606882459717
2864601_0.359,member,legacy_marker,-3.0,1000,-2.364273406744003,0.12871190466341528,-2.96673583984375,-2.1255056858062744,1.0,-14.006334335720814,4.3690474029846955
2864601_0.475,member,legacy_marker,-3.0,1000,-1.9460158524513245,0.027767786310886822,-2.0283873081207275,-1.871673345565796,0.368,-11.537736820789549,3.9509358958073424
2864601_0.462,member,legacy_marker,-3.0,1000,-1.90320250248909,0.1081115095598985,-2.173567295074463,-1.5091594457626343,0.385,-11.201242726941503,3.907976498729782
2864601_0.268,member,legacy_marker,-3.0,1000,-2.048462561607361,0.0420050725512709,-2.6448440551757812,-1.8144116401672363,0.982,-12.181834417575077,4.053236557848053
2864601_0.262,member,legacy_marker,-3.0,1000,-1.9929766535758973,0.07353994713604758,-2.3249316215515137,-1.7327594757080078,0.793,-11.9298109593753,4.007618443853454
2864601_0.485,member,legacy_marker,-3.0,1000,-2.04334699010849,0.03298786029442781,-2.230323076248169,-1.9386017322540283,0.996,-12.142110250429457,4.048166394598083
2864601_0.473,member,legacy_marker,-3.0,1000,-2.3216635121107103,0.11601835897902558,-2.604728937149048,-1.7383745908737183,0.998,-13.735180479888765,4.326437508351402
2864601_0.189,member,legacy_marker,-3.0,1000,-2.0162202053070066,0.006343181035951499,-2.0593600273132324,-2.004584789276123,1.0,-11.980543382009062,4.020994201547699
2864601_0.395,member,legacy_marker,-3.0,1000,-1.8060378708839417,0.12719465766844762,-2.205798625946045,-1.5185658931732178,0.134,-10.97572546231554,3.8321165033646394
2864601_0.237,member,legacy_marker,-3.0,1000,-2.6563935453891756,0.18920012852280924,-3.645545482635498,-2.364584445953369,1.0,-15.95110084331386,4.661167541629868
2864601_0.372,member,legacy_marker,-3.0,1000,-2.15167290687561,0.08229133992917968,-2.4407193660736084,-1.966435194015503,1.0,-12.907897735085907,4.156591824419098
2864601_0.472,member,legacy_marker,-3.0,1000,-2.0659809007644654,0.01233114436674763,-2.1120705604553223,-2.0378923416137695,1.0,-12.26756949427153,4.070754897005157
2864601_0.436,member,legacy_marker,-3.0,1000,-2.1591508350372313,0.02793386295766067,-2.2815709114074707,-2.0715270042419434,1.0,-12.83826566189721,4.163924831277924
2864601_0.454,member,legacy_marker,-3.0,1000,-2.477956076860428,0.14673293428273243,-2.980248212814331,-2.1458520889282227,1.0,-14.840987800762516,4.48273007310112
