entity,entity_type,gradient_set,stratum,n,shift,mean_absolute_change,rms_change,max_absolute_change
2864601_0.296,member,varied,all,1000,32,2.2824108600616455e-07,3.4267260549439763e-07,2.2649765014648438e-06
2864601_0.296,member,varied,all,1000,64,2.3558735847473145e-07,3.6313918876778754e-07,2.205371856689453e-06
2864601_0.296,member,varied,stable_near_floor,240,32,1.704941193262736e-07,2.523317072075024e-07,1.0728836059570312e-06
2864601_0.296,member,varied,stable_near_floor,240,64,1.8465022246042889e-07,2.895136225046827e-07,2.0265579223632812e-06
2864601_0.296,member,varied,unstable,760,32,2.4647697022086695e-07,3.666049875571986e-07,2.2649765014648438e-06
2864601_0.296,member,varied,unstable,760,64,2.516727698476691e-07,3.8346364232915276e-07,2.205371856689453e-06
2864601_0.296,member,fixed,all,1000,32,1.6182661056518554e-07,2.499347207059259e-07,2.6226043701171875e-06
2864601_0.296,member,fixed,all,1000,64,1.70782208442688e-07,2.478153157017346e-07,1.1920928955078125e-06
2864601_0.296,member,fixed,stable_near_floor,23,32,8.811121401579483e-08,1.3385826162820233e-07,3.5762786865234375e-07
2864601_0.296,member,fixed,stable_near_floor,23,64,1.4512435249660327e-07,1.8265983526298375e-07,3.5762786865234375e-07
2864601_0.296,member,fixed,unstable,977,32,1.6356197814004326e-07,2.5202404766498277e-07,2.6226043701171875e-06
2864601_0.296,member,fixed,unstable,977,64,1.7138623166352724e-07,2.491439684870978e-07,1.1920928955078125e-06
2864601_0.270,member,varied,all,1000,32,2.979710698127747e-07,4.585789082099854e-07,3.5762786865234375e-06
2864601_0.270,member,varied,all,1000,64,2.991035580635071e-07,4.4598736083338756e-07,3.0994415283203125e-06
2864601_0.270,member,varied,stable_near_floor,240,32,2.773478627204895e-07,4.208017301850546e-07,1.9073486328125e-06
2864601_0.270,member,varied,stable_near_floor,240,64,2.8970340887705485e-07,4.3868252568926105e-07,2.1457672119140625e-06
2864601_0.270,member,varied,unstable,760,32,3.044836615261279e-07,4.6987796845878487e-07,3.5762786865234375e-06
2864601_0.270,member,varied,unstable,760,64,3.020720262276499e-07,4.4826942089654784e-07,3.0994415283203125e-06
2864601_0.270,member,fixed,all,1000,32,2.1534040570259094e-07,3.2023166155183195e-07,2.294778823852539e-06
2864601_0.270,member,fixed,all,1000,64,2.1501630544662477e-07,3.4806023418901414e-07,3.337860107421875e-06
2864601_0.270,member,fixed,stable_near_floor,23,32,1.9695447838824728e-07,3.02396694386831e-07,9.5367431640625e-07
2864601_0.270,member,fixed,stable_near_floor,23,64,2.0732050356657608e-07,2.534911790233588e-07,4.76837158203125e-07
2864601_0.270,member,fixed,unstable,977,32,2.1577323715420803e-07,3.206395709435423e-07,2.294778823852539e-06
2864601_0.270,member,fixed,unstable,977,64,2.1519747580818168e-07,3.4997879411315045e-07,3.337860107421875e-06
2864601_0.352,member,varied,all,1000,32,2.7176737785339355e-07,3.999433911681185e-07,2.384185791015625e-06
2864601_0.352,member,varied,all,1000,64,2.6403367519378664e-07,3.959558467820133e-07,3.0994415283203125e-06
2864601_0.352,member,varied,stable_near_floor,240,32,2.520158886909485e-07,3.6146835575271745e-07,1.430511474609375e-06
2864601_0.352,member,varied,stable_near_floor,240,64,2.4084001779556277e-07,3.536646026111802e-07,1.430511474609375e-06
2864601_0.352,member,varied,unstable,760,32,2.7800469022048145e-07,4.11346420161435e-07,2.384185791015625e-06
2864601_0.352,member,varied,unstable,760,64,2.713579880563836e-07,4.0840214367322244e-07,3.0994415283203125e-06
2864601_0.352,member,fixed,all,1000,32,1.8186867237091065e-07,2.700561579431612e-07,1.9073486328125e-06
2864601_0.352,member,fixed,all,1000,64,1.6744434833526611e-07,2.5636104269236327e-07,1.9073486328125e-06
2864601_0.352,member,fixed,stable_near_floor,23,32,1.3475832731827445e-07,1.925403721540566e-07,4.76837158203125e-07
2864601_0.352,member,fixed,stable_near_floor,23,64,1.2439230213994565e-07,1.7221334421983127e-07,2.384185791015625e-07
2864601_0.352,member,fixed,unstable,977,32,1.8297771836498498e-07,2.7161459909260197e-07,1.9073486328125e-06
2864601_0.352,member,fixed,unstable,977,64,1.6845785607579054e-07,2.580115744549032e-07,1.9073486328125e-06
2864601_0.487,member,varied,all,1000,32,2.8371438384056094e-07,4.687989887699978e-07,6.079673767089844e-06
2864601_0.487,member,varied,all,1000,64,2.749450504779816e-07,4.208135971044993e-07,4.0531158447265625e-06
2864601_0.487,member,varied,stable_near_floor,240,32,2.8212865193684896e-07,4.102197028250233e-07,1.430511474609375e-06
2864601_0.487,member,varied,stable_near_floor,240,64,2.836808562278748e-07,4.0101499917009633e-07,1.430511474609375e-06
2864601_0.487,member,varied,unstable,760,32,2.8421514128383835e-07,4.858324960030874e-07,6.079673767089844e-06
2864601_0.487,member,varied,unstable,760,64,2.721863749780153e-07,4.2687505323074906e-07,4.0531158447265625e-06
2864601_0.487,member,fixed,all,1000,32,2.0101666450500489e-07,3.1152890190142953e-07,3.874301910400391e-06
2864601_0.487,member,fixed,all,1000,64,1.8648803234100343e-07,2.7948398023811197e-07,1.9073486328125e-06
2864601_0.487,member,fixed,stable_near_floor,23,32,1.814054406207541e-07,2.4227465531142364e-07,5.960464477539062e-07
2864601_0.487,member,fixed,stable_near_floor,23,64,1.5030736508576767e-07,2.034621282908245e-07,4.76837158203125e-07
