entity,entity_type,gradient_set,stratum,n,shift,mean_absolute_change,rms_change,max_absolute_change
2864601_0.402,member,varied,all,1000,32,2.720504999160767e-07,3.9261576572679865e-07,1.9073486328125e-06
2864601_0.402,member,varied,all,1000,64,2.728104591369629e-07,4.095185040002073e-07,1.9073486328125e-06
2864601_0.402,member,varied,stable_near_floor,240,32,2.4338563283284503e-07,3.539666214099351e-07,1.430511474609375e-06
2864601_0.402,member,varied,stable_near_floor,240,64,2.5108456611633303e-07,3.9321375852852626e-07,1.9073486328125e-06
2864601_0.402,member,varied,unstable,760,32,2.8110256320551823e-07,4.0405342748576065e-07,1.9073486328125e-06
2864601_0.402,member,varied,unstable,760,64,2.7967126745926704e-07,4.145341563342623e-07,1.9073486328125e-06
2864601_0.402,member,fixed,all,1000,32,2.010911703109741e-07,2.9307860521604835e-07,2.2649765014648438e-06
2864601_0.402,member,fixed,all,1000,64,2.04429030418396e-07,3.020921490048576e-07,2.7418136596679688e-06
2864601_0.402,member,fixed,stable_near_floor,23,32,1.8658845320991849e-07,2.534911790233588e-07,4.76837158203125e-07
2864601_0.402,member,fixed,stable_near_floor,23,64,2.280525539232337e-07,2.982822619300958e-07,4.76837158203125e-07
2864601_0.402,member,fixed,unstable,977,32,2.0143258535020062e-07,2.9394632522556987e-07,2.2649765014648438e-06
2864601_0.402,member,fixed,unstable,977,64,2.038728983399812e-07,3.021812605686829e-07,2.7418136596679688e-06
2864601_0.279,member,varied,all,1000,32,2.4731457233428957e-07,3.6969102225172207e-07,3.5762786865234375e-06
2864601_0.279,member,varied,all,1000,64,2.53044068813324e-07,3.7383454269998487e-07,2.2649765014648438e-06
2864601_0.279,member,varied,stable_near_floor,240,32,1.8632660309473673e-07,2.833980571338443e-07,1.3113021850585938e-06
2864601_0.279,member,varied,stable_near_floor,240,64,2.0153820514678956e-07,3.326053561160223e-07,2.2649765014648438e-06
2864601_0.279,member,varied,unstable,760,32,2.6657393104151674e-07,3.930246775173455e-07,3.5762786865234375e-06
2864601_0.279,member,varied,unstable,760,64,2.693090783922296e-07,3.859403209517376e-07,2.0265579223632812e-06
2864601_0.279,member,fixed,all,1000,32,2.0942091941833496e-07,2.9343712286663446e-07,9.5367431640625e-07
2864601_0.279,member,fixed,all,1000,64,2.0515918731689454e-07,2.922649194785788e-07,2.2649765014648438e-06
2864601_0.279,member,fixed,stable_near_floor,23,32,9.847723919412364e-08,1.511983471934155e-07,3.5762786865234375e-07
2864601_0.279,member,fixed,stable_near_floor,23,64,1.0884326437245244e-07,1.511983471934155e-07,2.384185791015625e-07
2864601_0.279,member,fixed,unstable,977,32,2.1203269489956e-07,2.95963190766047e-07,9.5367431640625e-07
2864601_0.279,member,fixed,unstable,977,64,2.0742660413134915e-07,2.9477361772140094e-07,2.2649765014648438e-06
2864601_0.353,member,varied,all,1000,32,2.723783254623413e-07,3.965442299053206e-07,2.384185791015625e-06
2864601_0.353,member,varied,all,1000,64,2.4907290935516357e-07,3.815282207769937e-07,2.384185791015625e-06
2864601_0.353,member,varied,stable_near_floor,240,32,2.45248277982076e-07,4.004736163518574e-07,1.9073486328125e-06
2864601_0.353,member,varied,stable_near_floor,240,64,2.222756544748942e-07,3.527727307681948e-07,1.9073486328125e-06
2864601_0.353,member,varied,unstable,760,32,2.8094570887716194e-07,3.952952562337014e-07,2.384185791015625e-06
2864601_0.353,member,varied,unstable,760,64,2.575352003699855e-07,3.901688557393126e-07,2.384185791015625e-06
2864601_0.353,member,fixed,all,1000,32,2.0579993724822998e-07,3.3857556597074667e-07,4.947185516357422e-06
2864601_0.353,member,fixed,all,1000,64,2.0623207092285156e-07,3.5128582845924197e-07,5.9604644775390625e-06
2864601_0.353,member,fixed,stable_near_floor,23,32,1.2439230213994565e-07,2.4354644701731167e-07,9.5367431640625e-07
2864601_0.353,member,fixed,stable_near_floor,23,64,1.2957531472911005e-07,1.8096063707285437e-07,3.5762786865234375e-07
2864601_0.353,member,fixed,unstable,977,32,2.077163912988856e-07,3.404933079416873e-07,4.947185516357422e-06
2864601_0.353,member,fixed,unstable,977,64,2.080366823787943e-07,3.5431043350726885e-07,5.9604644775390625e-06
2864601_0.175,member,varied,all,1000,32,3.134012222290039e-07,4.900411738293035e-07,5.9604644775390625e-06
2864601_0.175,member,varied,all,1000,64,3.300309181213379e-07,4.67385556775223e-07,1.9073486328125e-06
2864601_0.175,member,varied,stable_near_floor,240,32,3.6309162775675456e-07,5.379298552211996e-07,2.86102294921875e-06
2864601_0.175,member,varied,stable_near_floor,240,64,3.668169180552165e-07,5.185518455894385e-07,1.9073486328125e-06
2864601_0.175,member,varied,unstable,760,32,2.9770951522024056e-07,4.7391413981250123e-07,5.9604644775390625e-06
2864601_0.175,member,varied,unstable,760,64,3.1841428656327097e-07,4.500207812550586e-07,1.9073486328125e-06
2864601_0.175,member,fixed,all,1000,32,1.9422173500061036e-07,2.845645847270876e-07,1.430511474609375e-06
2864601_0.175,member,fixed,all,1000,64,2.1000206470489502e-07,3.066241162432624e-07,1.6689300537109375e-06
2864601_0.175,member,fixed,stable_near_floor,23,32,1.9695447838824728e-07,3.2599459924939173e-07,1.1920928955078125e-06
2864601_0.175,member,fixed,stable_near_floor,23,64,2.9024870499320654e-07,4.716256666630175e-07,1.6689300537109375e-06
2864601_0.175,member,fixed,unstable,977,32,1.9415740224941725e-07,2.8351633218212883e-07,1.430511474609375e-06
2864601_0.175,member,fixed,unstable,977,64,2.0811294215972493e-07,3.0165432806138684e-07,1.430511474609375e-06
2864601_0.277,member,varied,all,1000,32,2.7298927307128907e-07,4.0188696943135764e-07,2.1457672119140625e-06
2864601_0.277,member,varied,all,1000,64,2.7482211589813234e-07,3.966161768444014e-07,2.9802322387695312e-06
2864601_0.277,member,varied,stable_near_floor,240,32,1.8738210201263427e-07,3.0611521363986244e-07,1.9073486328125e-06
2864601_0.277,member,varied,stable_near_floor,240,64,2.1929542223612468e-07,3.490181517655954e-07,2.384185791015625e-06
2864601_0.277,member,varied,unstable,760,32,3.0002311656349585e-07,4.276982003356888e-07,2.1457672119140625e-06
2864601_0.277,member,varied,unstable,760,64,2.923568612650821e-07,4.105021169120046e-07,2.9802322387695312e-06
2864601_0.277,member,fixed,all,1000,32,2.3233518004417418e-07,3.6580713766813044e-07,5.304813385009766e-06
2864601_0.277,member,fixed,all,1000,64,2.3203715682029724e-07,4.533222021690819e-07,1.0371208190917969e-05
2864601_0.277,member,fixed,stable_near_floor,23,32,1.0366025178328804e-07,1.491411309650479e-07,3.5762786865234375e-07
2864601_0.277,member,fixed,stable_near_floor,23,64,1.3994133990743887e-07,1.8766514104585721e-07,3.5762786865234375e-07
2864601_0.277,member,fixed,unstable,977,32,2.3536437487529025e-07,3.693797828117485e-07,5.304813385009766e-06
2864601_0.277,member,fixed,unstable,977,64,2.3420522620514447e-07,4.5772232184000305e-07,1.0371208190917969e-05
2864601_0.463,member,varied,all,1000,32,1.188814640045166e-07,1.940357781727079e-07,9.5367431640625e-07
2864601_0.463,member,varied,all,1000,64,1.215338706970215e-07,2.0198852414764794e-07,9.5367431640625e-07
2864601_0.463,member,varied,stable_near_floor,240,32,1.2591481208801268e-07,2.12308866512403e-07,7.152557373046875e-07
2864601_0.463,member,varied,stable_near_floor,240,64,1.2641151746114094e-07,2.13560206620057e-07,9.5367431640625e-07
2864601_0.463,member,varied,unstable,760,32,1.1666040671499151e-07,1.8789649326977866e-07,9.5367431640625e-07
2864601_0.463,member,varied,unstable,760,64,1.199935611925627e-07,1.981939940236672e-07,9.5367431640625e-07
2864601_0.463,member,fixed,all,1000,32,9.0867280960083e-08,1.617060940545884e-07,8.344650268554688e-07
2864601_0.463,member,fixed,all,1000,64,9.173154830932617e-08,1.6477612145278507e-07,9.5367431640625e-07
2864601_0.463,member,fixed,stable_near_floor,23,32,1.3475832731827445e-07,2.278168406262181e-07,7.152557373046875e-07
2864601_0.463,member,fixed,stable_near_floor,23,64,1.0366025178328804e-07,1.7221334421983127e-07,4.76837158203125e-07
2864601_0.463,member,fixed,unstable,977,32,8.983402193629753e-08,1.598206167479061e-07,8.344650268554688e-07
2864601_0.463,member,fixed,unstable,977,64,9.145072929202717e-08,1.645969898362228e-07,9.5367431640625e-07
2864601_0.229,member,varied,all,1000,32,2.9800832271575926e-07,4.375202712698632e-07,3.0994415283203125e-06
2864601_0.229,member,varied,all,1000,64,3.004223108291626e-07,4.3440220260647e-07,2.4437904357910156e-06
2864601_0.229,member,varied,stable_near_floor,240,32,2.7418136596679685e-07,4.0703179387045024e-07,3.0994415283203125e-06
2864601_0.229,member,varied,stable_near_floor,240,64,2.672274907430013e-07,4.155260338290543e-07,2.1457672119140625e-06
2864601_0.229,member,varied,unstable,760,32,3.0553262484701055e-07,4.4671611184008764e-07,2.9802322387695312e-06
2864601_0.229,member,varied,unstable,760,64,3.1090488559321354e-07,4.4019496469988875e-07,2.4437904357910156e-06
2864601_0.229,member,fixed,all,1000,32,2.3657083511352538e-07,3.352887098282378e-07,2.0265579223632812e-06
2864601_0.229,member,fixed,all,1000,64,2.3752450942993163e-07,3.4112920799765946e-07,3.6954879760742188e-06
2864601_0.229,member,fixed,stable_near_floor,23,32,2.332355665123981e-07,3.013733523847047e-07,7.152557373046875e-07
2864601_0.229,member,fixed,stable_near_floor,23,64,1.5549037767493207e-07,2.3051299175943588e-07,4.76837158203125e-07
2864601_0.229,member,fixed,unstable,977,32,2.3664935218397158e-07,3.360458906602357e-07,2.0265579223632812e-06
2864601_0.229,member,fixed,unstable,977,64,2.3945571212221924e-07,3.433041375416662e-07,3.6954879760742188e-06
2864601_0.224,member,varied,all,1000,32,3.1426548957824707e-07,4.780212616312273e-07,2.384185791015625e-06
2864601_0.224,member,varied,all,1000,64,2.856999635696411e-07,4.4125833211092527e-07,2.86102294921875e-06
2864601_0.224,member,varied,stable_near_floor,240,32,3.339101870854696e-07,5.045937452288901e-07,2.384185791015625e-06
2864601_0.224,member,varied,stable_near_floor,240,64,3.224859635035197e-07,4.934399776371419e-07,2.384185791015625e-06
2864601_0.224,member,varied,unstable,760,32,3.0806190089175573e-07,4.6931748192359926e-07,2.384185791015625e-06
2864601_0.224,member,varied,unstable,760,64,2.7408333201157417e-07,4.2344606456086695e-07,2.86102294921875e-06
2864601_0.224,member,fixed,all,1000,32,1.9527971744537354e-07,2.9686950347954107e-07,2.384185791015625e-06
2864601_0.224,member,fixed,all,1000,64,1.8416345119476318e-07,2.88657070122893e-07,3.0994415283203125e-06
2864601_0.224,member,fixed,stable_near_floor,23,32,2.487846042798913e-07,4.2765350641864837e-07,1.6689300537109375e-06
2864601_0.224,member,fixed,stable_near_floor,23,64,2.384185791015625e-07,3.1046202145186583e-07,7.152557373046875e-07
2864601_0.224,member,fixed,unstable,977,32,1.940201346437421e-07,2.9308839567110446e-07,2.384185791015625e-06
2864601_0.224,member,fixed,unstable,977,64,1.8288620662786822e-07,2.881238694942242e-07,3.0994415283203125e-06
2864601_0.373,member,varied,all,1000,32,2.6935338973999024e-07,3.93279586676593e-07,2.5033950805664062e-06
2864601_0.373,member,varied,all,1000,64,2.7367472648620605e-07,3.9901570300906067e-07,1.9073486328125e-06
2864601_0.373,member,varied,stable_near_floor,240,32,2.4419277906417846e-07,3.650949212497349e-07,1.6689300537109375e-06
2864601_0.373,member,varied,stable_near_floor,240,64,2.3475537697474161e-07,3.5070134281725914e-07,1.430511474609375e-06
2864601_0.373,member,varied,unstable,760,32,2.7729884574287814e-07,4.017694431333981e-07,2.5033950805664062e-06
2864601_0.373,member,varied,unstable,760,64,2.859650473845632e-07,4.131005797032715e-07,1.9073486328125e-06
2864601_0.373,member,fixed,all,1000,32,1.9316375255584716e-07,2.818711308390058e-07,2.6226043701171875e-06
2864601_0.373,member,fixed,all,1000,64,1.9709020853042602e-07,3.719863067484235e-07,8.016824722290039e-06
2864601_0.373,member,fixed,stable_near_floor,23,32,1.5030736508576767e-07,2.9094203038187e-07,1.0728836059570312e-06
2864601_0.373,member,fixed,stable_near_floor,23,64,1.5549037767493207e-07,2.4607031180483816e-07,7.152557373046875e-07
2864601_0.373,member,fixed,unstable,977,32,1.941726542056034e-07,2.8165406910113237e-07,2.6226043701171875e-06
2864601_0.373,member,fixed,unstable,977,64,1.9806952901115925e-07,3.744407616402496e-07,8.016824722290039e-06
2864601_0.481,member,varied,all,1000,32,2.9809772968292235e-07,4.52635004767174e-07,3.2186508178710938e-06
2864601_0.481,member,varied,all,1000,64,2.953037619590759e-07,4.7496191994484507e-07,3.337860107421875e-06
2864601_0.481,member,varied,stable_near_floor,240,32,2.6213626066843666e-07,4.275923624653347e-07,3.2186508178710938e-06
2864601_0.481,member,varied,stable_near_floor,240,64,2.6263296604156494e-07,4.577531458686318e-07,2.9653310775756836e-06
2864601_0.481,member,varied,unstable,760,32,3.0945398305591784e-07,4.602602134652443e-07,2.7418136596679688e-06
2864601_0.481,member,varied,unstable,760,64,3.0562085540671095e-07,4.802681805444779e-07,3.337860107421875e-06
2864601_0.481,member,fixed,all,1000,32,2.1161139011383057e-07,3.152687450638012e-07,2.384185791015625e-06
2864601_0.481,member,fixed,all,1000,64,2.0960718393325805e-07,3.2740948905005556e-07,2.6226043701171875e-06
2864601_0.481,member,fixed,stable_near_floor,23,32,1.3994133990743887e-07,2.034621282908245e-07,4.76837158203125e-07
2864601_0.481,member,fixed,stable_near_floor,23,64,2.384185791015625e-07,2.982822619300958e-07,7.152557373046875e-07
2864601_0.481,member,fixed,unstable,977,32,2.1329860726300867e-07,3.1742672870184657e-07,2.384185791015625e-06
2864601_0.481,member,fixed,unstable,977,64,2.089289218156828e-07,3.280640313105712e-07,2.6226043701171875e-06
2864601_0.289,member,varied,all,1000,32,3.804117441177368e-07,5.509644655780568e-07,4.76837158203125e-06
2864601_0.289,member,varied,all,1000,64,3.670603036880493e-07,5.303881980668461e-07,4.76837158203125e-06
2864601_0.289,member,varied,stable_near_floor,240,32,4.209578037261963e-07,6.460874973913341e-07,4.76837158203125e-06
2864601_0.289,member,varied,stable_near_floor,240,64,3.7824114163716633e-07,5.966980174236275e-07,4.76837158203125e-06
2864601_0.289,member,varied,unstable,760,32,3.6760772529401276e-07,5.173043353736174e-07,3.159046173095703e-06
2864601_0.289,member,varied,unstable,760,64,3.635295127567492e-07,5.076519669922638e-07,2.2649765014648438e-06
2864601_0.289,member,fixed,all,1000,32,2.4484097957611085e-07,3.4588705552277004e-07,2.2649765014648438e-06
2864601_0.289,member,fixed,all,1000,64,2.3978948593139647e-07,3.312692692286123e-07,1.6689300537109375e-06
2864601_0.289,member,fixed,stable_near_floor,23,32,7.774518883746603e-08,1.6674485353952295e-07,4.76837158203125e-07
2864601_0.289,member,fixed,stable_near_floor,23,64,1.1920928955078125e-07,1.8096063707285437e-07,4.76837158203125e-07
2864601_0.289,member,fixed,unstable,977,32,2.487746573519438e-07,3.4899822524503465e-07,2.2649765014648438e-06
2864601_0.289,member,fixed,unstable,977,64,2.42628119008934e-07,3.339937812158222e-07,1.6689300537109375e-06
2864601_0.393,member,varied,all,1000,32,2.678334712982178e-07,3.888683494486074e-07,1.7881393432617188e-06
2864601_0.393,member,varied,all,1000,64,2.772212028503418e-07,4.018321295574103e-07,2.682209014892578e-06
2864601_0.393,member,varied,stable_near_floor,240,32,2.3270646731058757e-07,3.479136611739548e-07,1.430511474609375e-06
2864601_0.393,member,varied,stable_near_floor,240,64,2.391636371612549e-07,3.870287980014228e-07,2.682209014892578e-06
2864601_0.393,member,varied,unstable,760,32,2.789262093995747e-07,4.009332098389373e-07,1.7881393432617188e-06
2864601_0.393,member,varied,unstable,760,64,2.8923938148900085e-07,4.0639485373616417e-07,2.1457672119140625e-06
2864601_0.393,member,fixed,all,1000,32,2.079904079437256e-07,2.9730860146819864e-07,1.3113021850585938e-06
2864601_0.393,member,fixed,all,1000,64,2.104043960571289e-07,2.966251961131643e-07,1.5497207641601562e-06
2864601_0.393,member,fixed,stable_near_floor,23,32,1.5549037767493207e-07,2.1669703940066951e-07,4.76837158203125e-07
2864601_0.393,member,fixed,stable_near_floor,23,64,1.5549037767493207e-07,2.049748786976564e-07,4.76837158203125e-07
2864601_0.393,member,fixed,unstable,977,32,2.0922633496131232e-07,2.98944543127196e-07,1.3113021850585938e-06
2864601_0.393,member,fixed,unstable,977,64,2.1169715186346516e-07,2.9844388099081415e-07,1.5497207641601562e-06
2864601_0.406,member,varied,all,1000,32,2.80037522315979e-07,4.213602064830053e-07,3.0994415283203125e-06
2864601_0.406,member,varied,all,1000,64,2.7842074632644653e-07,4.0474232466404733e-07,1.9073486328125e-06
2864601_0.406,member,varied,stable_near_floor,240,32,2.1979212760925293e-07,3.3300011366298456e-07,1.8477439880371094e-06
2864601_0.406,member,varied,stable_near_floor,240,64,2.1904706954956054e-07,3.2782554626464844e-07,1.6689300537109375e-06
2864601_0.406,member,varied,unstable,760,32,2.9906238380231357e-07,4.456382847573306e-07,3.0994415283203125e-06
2864601_0.406,member,varied,unstable,760,64,2.971703284665158e-07,4.261573221771717e-07,1.9073486328125e-06
2864601_0.406,member,fixed,all,1000,32,2.0863115787506103e-07,2.873726700789805e-07,1.430511474609375e-06
2864601_0.406,member,fixed,all,1000,64,2.0845234394073487e-07,2.9359258404951667e-07,1.430511474609375e-06
2864601_0.406,member,fixed,stable_near_floor,23,32,1.7622242803158966e-07,2.3317797037211692e-07,7.152557373046875e-07
2864601_0.406,member,fixed,stable_near_floor,23,64,1.6067339026409647e-07,2.5226952767658144e-07,8.344650268554688e-07
2864601_0.406,member,fixed,unstable,977,32,2.0939410647935976e-07,2.885258765988395e-07,1.430511474609375e-06
2864601_0.406,member,fixed,unstable,977,64,2.0957712995359328e-07,2.9449553934685704e-07,1.430511474609375e-06
2864601_0.206,member,varied,all,1000,32,2.250373363494873e-07,3.4713693433863294e-07,2.6226043701171875e-06
2864601_0.206,member,varied,all,1000,64,2.3587048053741456e-07,3.546404361995703e-07,2.1457672119140625e-06
2864601_0.206,member,varied,stable_near_floor,240,32,1.450379689534505e-07,2.542821050608342e-07,1.6689300537109375e-06
2864601_0.206,member,varied,stable_near_floor,240,64,1.358489195505778e-07,2.2178882180516958e-07,1.3113021850585938e-06
2864601_0.206,member,varied,unstable,760,32,2.5030029447455155e-07,3.716708324243796e-07,2.6226043701171875e-06
2864601_0.206,member,varied,unstable,760,64,2.674562366385209e-07,3.872374686789806e-07,2.1457672119140625e-06
2864601_0.206,member,fixed,all,1000,32,2.1004676818847656e-07,3.153727886087502e-07,3.933906555175781e-06
2864601_0.206,member,fixed,all,1000,64,2.0605325698852538e-07,3.045849836983391e-07,3.516674041748047e-06
2864601_0.206,member,fixed,stable_near_floor,23,32,1.6585640285326086e-07,2.834117539963995e-07,1.0728836059570312e-06
2864601_0.206,member,fixed,stable_near_floor,23,64,1.3475832731827445e-07,2.1382675320932419e-07,7.152557373046875e-07
2864601_0.206,member,fixed,unstable,977,32,2.1108707361602003e-07,3.160862648047883e-07,3.933906555175781e-06
2864601_0.206,member,fixed,unstable,977,64,2.0773164325507172e-07,3.063978472241861e-07,3.516674041748047e-06
2864601_0.284,member,varied,all,1000,32,2.942085266113281e-07,4.515691120226255e-07,2.86102294921875e-06
2864601_0.284,member,varied,all,1000,64,2.789348363876343e-07,4.217331369100307e-07,2.86102294921875e-06
2864601_0.284,member,varied,stable_near_floor,240,32,3.0683974424997963e-07,4.337961525077748e-07,1.430511474609375e-06
2864601_0.284,member,varied,stable_near_floor,240,64,3.085161248842875e-07,4.3955584106908925e-07,1.9073486328125e-06
2864601_0.284,member,varied,unstable,760,32,2.9021972104122764e-07,4.5703805909350875e-07,2.86102294921875e-06
2864601_0.284,member,varied,unstable,760,64,2.6959337686237535e-07,4.159462860496622e-07,2.86102294921875e-06
2864601_0.284,member,fixed,all,1000,32,1.9387900829315184e-07,3.3294243043341383e-07,3.4570693969726562e-06
2864601_0.284,member,fixed,all,1000,64,1.937001943588257e-07,3.1099298175523297e-07,1.9073486328125e-06
2864601_0.284,member,fixed,stable_near_floor,23,32,2.332355665123981e-07,3.4888258763077813e-07,8.344650268554688e-07
2864601_0.284,member,fixed,stable_near_floor,23,64,1.0884326437245244e-07,1.9413824496401955e-07,4.76837158203125e-07
2864601_0.284,member,fixed,unstable,977,32,1.929524977107131e-07,3.3255797103403506e-07,3.4570693969726562e-06
2864601_0.284,member,fixed,unstable,977,64,1.9569784982421625e-07,3.132191174247693e-07,1.9073486328125e-06
2864601_0.235,member,varied,all,1000,32,2.9525160789489746e-07,4.4872688899345716e-07,2.384185791015625e-06
2864601_0.235,member,varied,all,1000,64,2.8970837593078614e-07,4.5180310910483024e-07,2.8908252716064453e-06
2864601_0.235,member,varied,stable_near_floor,240,32,1.7868975798288982e-07,3.1844005766524785e-07,1.5497207641601562e-06
2864601_0.235,member,varied,stable_near_floor,240,64,1.808007558186849e-07,3.2337007583576447e-07,2.5033950805664062e-06
2864601_0.235,member,varied,unstable,760,32,3.320606131302683e-07,4.826173759979934e-07,2.384185791015625e-06
2864601_0.235,member,varied,unstable,760,64,3.241002559661865e-07,4.853507683946144e-07,2.8908252716064453e-06
2864601_0.235,member,fixed,all,1000,32,2.3469328880310059e-07,3.619264756596617e-07,2.562999725341797e-06
2864601_0.235,member,fixed,all,1000,64,2.3277103900909424e-07,3.5758160997272244e-07,2.086162567138672e-06
2864601_0.235,member,fixed,stable_near_floor,23,32,1.6067339026409647e-07,2.371192856186965e-07,4.76837158203125e-07
2864601_0.235,member,fixed,stable_near_floor,23,64,1.814054406207541e-07,2.595131867267784e-07,4.76837158203125e-07
2864601_0.235,member,fixed,unstable,977,32,2.3643582479736578e-07,3.6434990830944034e-07,2.562999725341797e-06
2864601_0.235,member,fixed,unstable,977,64,2.3398025985139908e-07,3.5956818271534416e-07,2.086162567138672e-06
2864601_0.405,member,varied,all,1000,32,2.894848585128784e-07,4.923107777878257e-07,4.887580871582031e-06
2864601_0.405,member,varied,all,1000,64,2.7854740619659426e-07,4.708439194614864e-07,5.125999450683594e-06
2864601_0.405,member,varied,stable_near_floor,240,32,1.3982256253560383e-07,3.294695826036403e-07,2.7418136596679688e-06
2864601_0.405,member,varied,stable_near_floor,240,64,1.3634562492370606e-07,2.7033734660172027e-07,1.7881393432617188e-06
2864601_0.405,member,varied,unstable,760,32,3.367466361899125e-07,5.335060949183364e-07,4.887580871582031e-06
2864601_0.405,member,varied,unstable,760,64,3.234532318617168e-07,5.182895058972155e-07,5.125999450683594e-06
2864601_0.405,member,fixed,all,1000,32,2.1423399448394776e-07,3.0222662823744644e-07,1.5497207641601562e-06
2864601_0.405,member,fixed,all,1000,64,2.2932887077331544e-07,4.1050413820142534e-07,7.987022399902344e-06
2864601_0.405,member,fixed,stable_near_floor,23,32,1.1402627696161685e-07,1.6858739404357614e-07,4.76837158203125e-07
2864601_0.405,member,fixed,stable_near_floor,23,64,1.0884326437245244e-07,2.152666802747891e-07,7.152557373046875e-07
2864601_0.405,member,fixed,unstable,977,32,2.1659302979921244e-07,3.046672690493115e-07,1.5497207641601562e-06
2864601_0.405,member,fixed,unstable,977,64,2.3216527706524977e-07,4.139925104975453e-07,7.987022399902344e-06
2864601_0.398,member,varied,all,1000,32,2.6203691959381105e-07,4.0312171719304316e-07,2.86102294921875e-06
2864601_0.398,member,varied,all,1000,64,2.6279687881469725e-07,4.132546317092525e-07,2.3543834686279297e-06
2864601_0.398,member,varied,stable_near_floor,240,32,2.113481362660726e-07,3.676894864583712e-07,2.86102294921875e-06
2864601_0.398,member,varied,stable_near_floor,240,64,1.821666955947876e-07,3.4344402000848995e-07,1.9669532775878906e-06
2864601_0.398,member,varied,unstable,760,32,2.7804390380257054e-07,4.1368082160452953e-07,1.9073486328125e-06
2864601_0.398,member,varied,unstable,760,64,2.88259041936774e-07,4.329678483536135e-07,2.3543834686279297e-06
2864601_0.398,member,fixed,all,1000,32,2.1332502365112306e-07,3.0512469975243956e-07,1.430511474609375e-06
2864601_0.398,member,fixed,all,1000,64,2.0758807659149169e-07,3.04734757825788e-07,2.86102294921875e-06
2864601_0.398,member,fixed,stable_near_floor,23,32,9.847723919412364e-08,1.511983471934155e-07,3.5762786865234375e-07
2864601_0.398,member,fixed,stable_near_floor,23,64,1.0366025178328804e-07,1.491411309650479e-07,3.5762786865234375e-07
2864601_0.398,member,fixed,unstable,977,32,2.160287074203257e-07,3.078224121722979e-07,1.430511474609375e-06
2864601_0.398,member,fixed,unstable,977,64,2.1003468863917714e-07,3.0745044263249563e-07,2.86102294921875e-06
2864601_0.358,member,varied,all,1000,32,3.0049681663513184e-07,4.359189475184945e-07,3.337860107421875e-06
2864601_0.358,member,varied,all,1000,64,2.669915556907654e-07,3.807377177305174e-07,1.9073486328125e-06
2864601_0.358,member,varied,stable_near_floor,240,32,2.9765069484710695e-07,4.4164202892111945e-07,3.337860107421875e-06
2864601_0.358,member,varied,stable_near_floor,240,64,2.497186263402303e-07,3.6283129070772773e-07,1.430511474609375e-06
2864601_0.358,member,varied,unstable,760,32,3.013955919366134e-07,4.3409598319431983e-07,2.0116567611694336e-06
2864601_0.358,member,varied,unstable,760,64,2.724461649593554e-07,3.862199379864075e-07,1.9073486328125e-06
2864601_0.358,member,fixed,all,1000,32,1.9192695617675782e-07,2.746086315945284e-07,1.1920928955078125e-06
2864601_0.358,member,fixed,all,1000,64,1.9879639148712157e-07,2.895495394466697e-07,2.2649765014648438e-06
2864601_0.358,member,fixed,stable_near_floor,23,32,1.1402627696161685e-07,1.792453316583901e-07,4.76837158203125e-07
2864601_0.358,member,fixed,stable_near_floor,23,64,1.4512435249660327e-07,2.1091741011843272e-07,4.76837158203125e-07
2864601_0.358,member,fixed,unstable,977,32,1.9376085138857793e-07,2.764575889096571e-07,1.1920928955078125e-06
2864601_0.358,member,fixed,unstable,977,64,2.0005990929344903e-07,2.911449080376256e-07,2.2649765014648438e-06
2864601_0.242,member,varied,all,1000,32,2.8423964977264403e-07,4.122607619140487e-07,2.7418136596679688e-06
2864601_0.242,member,varied,all,1000,64,2.87473201751709e-07,4.331503820460791e-07,2.6226043701171875e-06
2864601_0.242,member,varied,stable_near_floor,240,32,2.6188790798187255e-07,3.853662316774478e-07,1.9073486328125e-06
2864601_0.242,member,varied,stable_near_floor,240,64,2.8796494007110595e-07,4.447982056299444e-07,2.1457672119140625e-06
2864601_0.242,member,varied,unstable,760,32,2.912980945486771e-07,4.203964670243868e-07,2.7418136596679688e-06
2864601_0.242,member,varied,unstable,760,64,2.8731791596663624e-07,4.2940648600725615e-07,2.6226043701171875e-06
2864601_0.242,member,fixed,all,1000,32,2.0250678062438965e-07,2.83538205094775e-07,1.430511474609375e-06
2864601_0.242,member,fixed,all,1000,64,1.971423625946045e-07,2.783455543737887e-07,1.430511474609375e-06
2864601_0.242,member,fixed,stable_near_floor,23,32,2.1768652874490488e-07,2.855835233347501e-07,7.152557373046875e-07
2864601_0.242,member,fixed,stable_near_floor,23,64,1.8658845320991849e-07,2.6306022852295423e-07,4.76837158203125e-07
2864601_0.242,member,fixed,unstable,977,32,2.0214942729094865e-07,2.8348987754662825e-07,1.430511474609375e-06
2864601_0.242,member,fixed,unstable,977,64,1.9739081696087652e-07,2.7869529317816147e-07,1.430511474609375e-06
2864601_0.490,member,varied,all,1000,32,2.5747716426849365e-07,3.8500430972699364e-07,2.1457672119140625e-06
2864601_0.490,member,varied,all,1000,64,2.709627151489258e-07,3.9310664071724256e-07,1.7881393432617188e-06
2864601_0.490,member,varied,stable_near_floor,240,32,2.4860103925069174e-07,3.7320393779090984e-07,1.5497207641601562e-06
2864601_0.490,member,varied,stable_near_floor,240,64,2.5822470585505166e-07,3.8426148221957434e-07,1.430511474609375e-06
