function,method,gradient_set,stratum,channel,channel_name,statistic,estimate,ci_lower,ci_upper,replicates,member_resampling_unit,sample_resampling_unit
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,0,bmag,mean_absolute_attribution,0.0706007913397237,0.06650663675759763,0.07481395242445675,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,1,gbdrift,mean_absolute_attribution,0.12701191589876543,0.12066582712735302,0.13322413200545513,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,2,cvdrift,mean_absolute_attribution,0.07945256819521698,0.07577831455572354,0.08394783893236309,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,3,gbdrift0_over_shat,mean_absolute_attribution,0.13812390254073156,0.1305197784253396,0.14659793255033826,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,4,gds2,mean_absolute_attribution,0.10134860346326605,0.09540159051368634,0.10778282135111901,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,5,gds21_over_shat,mean_absolute_attribution,0.10360965747153386,0.09967609864694532,0.10759689070895548,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,6,gds22_over_shat_squared,mean_absolute_attribution,0.10991973619364823,0.10273005977482536,0.11747811088452,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,unstable,0,bmag,mean_absolute_attribution,0.0657395185991558,0.06266115355557657,0.06893142138670756,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,unstable,1,gbdrift,mean_absolute_attribution,0.1382348294919173,0.13402051213791205,0.14278522912229605,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,unstable,2,cvdrift,mean_absolute_attribution,0.08280396246982395,0.07897963202263285,0.08664172669071214,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,unstable,3,gbdrift0_over_shat,mean_absolute_attribution,0.1629328591110626,0.15542708519845283,0.17052167027335197,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,unstable,4,gds2,mean_absolute_attribution,0.12412854749078274,0.11947708646132683,0.12949689587095053,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,unstable,5,gds21_over_shat,mean_absolute_attribution,0.1119842910535609,0.10778708374295169,0.11633633028682762,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,unstable,6,gds22_over_shat_squared,mean_absolute_attribution,0.11437671428705615,0.10957751608054203,0.11979967223862369,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,fixed,all,0,bmag,mean_absolute_attribution,0.052409924123017114,0.049479906271156504,0.05540138006889494,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,fixed,all,1,gbdrift,mean_absolute_attribution,0.1571796684488654,0.1519763946043793,0.1622724867475149,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,fixed,all,2,cvdrift,mean_absolute_attribution,0.07433837859830819,0.07078933939359501,0.07844268275177105,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,fixed,all,3,gbdrift0_over_shat,mean_absolute_attribution,0.17979887654334306,0.17270775552301668,0.18622852756569047,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,fixed,all,4,gds2,mean_absolute_attribution,0.14108825886193663,0.13544878514321987,0.14652136239246466,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,fixed,all,5,gds21_over_shat,mean_absolute_attribution,0.11494592334246263,0.10978647589260479,0.12079907457944704,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,fixed,all,6,gds22_over_shat_squared,mean_absolute_attribution,0.12979667050177232,0.12242909370718058,0.13783071346569806,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,fixed,stable_or_near_floor,0,bmag,mean_absolute_attribution,0.06139717393797701,0.04783994881567828,0.0771438787012037,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,fixed,stable_or_near_floor,1,gbdrift,mean_absolute_attribution,0.14000368270537128,0.1096047629940364,0.179204983908845,500,members,equilibrium_files
