function,method,gradient_set,stratifier,stratum_value,sample_count,channel,channel_name,median_signed,median_absolute,sign_agreement
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,0,240,4,gds2,-2.418443590962217e-05,0.0014054193913878453,0.7041666666666666
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,0,240,5,gds21_over_shat,-0.00010959551548209012,0.001658366623364874,0.7010416666666667
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,0,240,6,gds22_over_shat_squared,-3.10578341713804e-05,0.0016592163866698834,0.7374999999999999
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,1,199,0,bmag,3.4129290011039733e-06,0.00011193037262580918,0.69375
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,1,199,1,gbdrift,-1.7427255743919475e-05,0.002016664330057687,0.8322916666666668
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,1,199,2,cvdrift,8.114729715447768e-06,0.00097637845822564,0.6979166666666666
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,1,199,3,gbdrift0_over_shat,5.003545215613402e-05,0.0020072429640692877,0.7291666666666666
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,1,199,4,gds2,-0.000327891189631163,0.002160778740260293,0.7208333333333333
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,1,199,5,gds21_over_shat,-9.166934330195923e-05,0.001521756918911321,0.6979166666666666
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,1,199,6,gds22_over_shat_squared,-6.151935618929037e-06,0.0007197536007979696,0.7291666666666666
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,2,184,0,bmag,3.2628419328534495e-05,0.00026263143746479495,0.7395833333333334
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,2,184,1,gbdrift,-6.15692150766336e-05,0.002005359036922965,0.725
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,2,184,2,cvdrift,-2.0695301908048845e-05,0.001074868055577982,0.6947916666666666
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,2,184,3,gbdrift0_over_shat,0.00011670854755341151,0.002204268867033184,0.7104166666666667
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,2,184,4,gds2,-8.842627246565206e-05,0.0014128624995986949,0.6770833333333331
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,2,184,5,gds21_over_shat,-2.11074273474015e-05,0.00113655645188,0.7197916666666666
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,2,184,6,gds22_over_shat_squared,-1.0634079461466683e-06,0.0005552019619446765,0.6958333333333333
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,3,154,0,bmag,1.594535015343212e-06,6.913024394113277e-05,0.6260416666666666
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,3,154,1,gbdrift,1.2377590195856732e-06,0.0001965620443576903,0.7322916666666667
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,3,154,2,cvdrift,-6.662921103241632e-07,9.556886027229718e-05,0.7052083333333332
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,3,154,3,gbdrift0_over_shat,7.77168248908599e-06,0.0007366073773760303,0.7854166666666668
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,3,154,4,gds2,-1.251567739083741e-07,0.00028933646763032835,0.634375
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,3,154,5,gds21_over_shat,-7.00872704686999e-06,0.0009330642484304969,0.7083333333333334
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,3,154,6,gds22_over_shat_squared,1.0371591379995171e-05,0.0003014101932050292,0.7125
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,4,223,0,bmag,1.0924093454117751e-06,7.160033657268532e-05,0.6802083333333333
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,4,223,1,gbdrift,3.9804637480198643e-07,0.00018496281519841495,0.7781249999999998
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,4,223,2,cvdrift,-4.239502408752836e-07,8.537609756426529e-05,0.7177083333333334
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,4,223,3,gbdrift0_over_shat,7.389624405906852e-06,0.0006553360560943193,0.8010416666666665
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,4,223,4,gds2,-3.2078090054003954e-07,0.0002939220892018076,0.6666666666666666
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,4,223,5,gds21_over_shat,1.600309929462089e-05,0.000905744361604208,0.7583333333333333
invariant_tilde_f,ig_low_pass,varied,equilibrium_class,4,223,6,gds22_over_shat_squared,-8.022599336793364e-07,0.0002946645932245436,0.7458333333333332
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,low,334,0,bmag,4.661737715095187e-06,0.00010673979079901114,0.7010416666666665
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,low,334,1,gbdrift,2.539445444563584e-06,0.0005602882296466871,0.74375
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,low,334,2,cvdrift,2.0686326232681777e-06,0.00029807954989856936,0.6979166666666666
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,low,334,3,gbdrift0_over_shat,4.137024643038308e-05,0.0007585730797427053,0.7437499999999999
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,low,334,4,gds2,-1.8477521002964695e-05,0.00033733687267979386,0.6770833333333334
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,low,334,5,gds21_over_shat,-1.8090426697561414e-05,0.00039382534853621637,0.765625
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,low,334,6,gds22_over_shat_squared,-6.3152596750684494e-06,0.00025470219884169825,0.6989583333333332
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,medium,333,0,bmag,1.3753438551245114e-05,0.0004189835985073307,0.6947916666666667
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,medium,333,1,gbdrift,-3.71272441641203e-05,0.0016066622376529102,0.8072916666666666
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,medium,333,2,cvdrift,-6.0863698865253155e-06,0.0008406147481470529,0.775
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,medium,333,3,gbdrift0_over_shat,0.00011974253821856145,0.00212538171405442,0.7645833333333333
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,medium,333,4,gds2,-4.366382258529046e-05,0.0009612146631330673,0.7010416666666667
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,medium,333,5,gds21_over_shat,-1.5744870271329898e-05,0.00118263225946328,0.771875
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,medium,333,6,gds22_over_shat_squared,-1.4617638419760783e-05,0.0006887621165807553,0.765625
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,high,333,0,bmag,4.016563268788576e-05,0.0009339732765958633,0.7208333333333332
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,high,333,1,gbdrift,3.13424131547323e-05,0.0035816928541063746,0.7864583333333334
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,high,333,2,cvdrift,3.876337971084309e-05,0.0017291403062687366,0.7520833333333332
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,high,333,3,gbdrift0_over_shat,0.0001459840968910328,0.0037894699410415734,0.7260416666666667
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,high,333,4,gds2,-0.00019832215437297286,0.0021666882704034405,0.7135416666666666
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,high,333,5,gds21_over_shat,-9.084576561407271e-05,0.002175286584076968,0.6854166666666667
invariant_tilde_f,ig_low_pass,varied,member_absolute_error,high,333,6,gds22_over_shat_squared,1.2393321334193668e-06,0.001336914040117658,0.7385416666666668
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,low,334,0,bmag,-4.790150829909093e-07,0.00011844651972803585,0.7062499999999999
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,low,334,1,gbdrift,-1.2068263329728698e-05,0.0004879633718976421,0.6895833333333332
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,low,334,2,cvdrift,2.707074856767083e-06,0.0002495563222798818,0.7062499999999999
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,low,334,3,gbdrift0_over_shat,4.6018925148706245e-05,0.0007257409981880486,0.734375
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,low,334,4,gds2,-1.391993855286242e-05,0.0003057838616220252,0.6697916666666667
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,low,334,5,gds21_over_shat,-1.1376451837415176e-05,0.00038704606900740336,0.7291666666666666
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,low,334,6,gds22_over_shat_squared,-9.180932183597869e-06,0.00023970466879201066,0.8083333333333332
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,medium,333,0,bmag,2.757219330775367e-05,0.0004043421244809165,0.75625
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,medium,333,1,gbdrift,-7.910603568767621e-06,0.0016554200952891126,0.8145833333333332
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,medium,333,2,cvdrift,2.009811105837815e-05,0.0008324923938838285,0.7822916666666666
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,medium,333,3,gbdrift0_over_shat,0.00012675571509452194,0.002146799347637421,0.81875
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,medium,333,4,gds2,-2.956207586580203e-05,0.0008422944125632822,0.75625
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,medium,333,5,gds21_over_shat,-2.0314726894821545e-05,0.0010000099083162593,0.7677083333333332
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,medium,333,6,gds22_over_shat_squared,-3.961260564827112e-06,0.0006727055192084055,0.771875
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,high,333,0,bmag,2.192378494620469e-05,0.0009424737158189979,0.7125
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,high,333,1,gbdrift,3.829132187010873e-05,0.0036163539740900435,0.7927083333333335
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,high,333,2,cvdrift,3.983251571889874e-06,0.001782042233524154,0.7312499999999998
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,high,333,3,gbdrift0_over_shat,0.00013213446840659008,0.0037532364128115337,0.7468750000000001
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,high,333,4,gds2,-0.00019362889019822703,0.0023333772021421322,0.6927083333333334
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,high,333,5,gds21_over_shat,-8.70171888397886e-05,0.0023643702245067957,0.7052083333333332
invariant_tilde_f,ig_low_pass,varied,ensemble_spread,high,333,6,gds22_over_shat_squared,-2.069833531422325e-06,0.0013682390915093151,0.7291666666666666
invariant_tilde_f,ig_low_pass,fixed,flux,low_unstable,326,0,bmag,-7.671184541294257e-06,0.0005661151327638572,0.6999999999999998
invariant_tilde_f,ig_low_pass,fixed,flux,low_unstable,326,1,gbdrift,-4.1004390347266536e-05,0.002730480556515613,0.7572916666666667
invariant_tilde_f,ig_low_pass,fixed,flux,low_unstable,326,2,cvdrift,1.8128054075393513e-05,0.0012421904445913212,0.678125
invariant_tilde_f,ig_low_pass,fixed,flux,low_unstable,326,3,gbdrift0_over_shat,0.00018271064111080888,0.003025403055978083,0.759375
invariant_tilde_f,ig_low_pass,fixed,flux,low_unstable,326,4,gds2,1.1297090041489683e-05,0.0024374236448982817,0.6489583333333333
invariant_tilde_f,ig_low_pass,fixed,flux,low_unstable,326,5,gds21_over_shat,-0.00012029895943891076,0.001709380117588594,0.7145833333333332
invariant_tilde_f,ig_low_pass,fixed,flux,low_unstable,326,6,gds22_over_shat_squared,-3.068739649074153e-05,0.0008276071809633646,0.7927083333333332
invariant_tilde_f,ig_low_pass,fixed,flux,medium_unstable,325,0,bmag,1.6489638472115835e-05,0.0003297503990695269,0.7687500000000002
invariant_tilde_f,ig_low_pass,fixed,flux,medium_unstable,325,1,gbdrift,-4.733026023745689e-06,0.0011420020397482523,0.7791666666666668
invariant_tilde_f,ig_low_pass,fixed,flux,medium_unstable,325,2,cvdrift,3.5974369804427246e-06,0.0006759426351997895,0.7510416666666666
