function,method,gradient_set,stratum,sample_count,channel,channel_name,median_signed,q25_signed,q75_signed,median_absolute,sign_agreement,signed,contribution_valued,estimand,validity_tag,baseline_convention,feature_claims_permitted
original_f,ig_low_pass,fixed,stable_or_near_floor,23,5,gds21_over_shat,-2.4503703559666366e-05,-0.00010826022976851546,6.744371625643559e-05,0.0002604993598876593,0.640625,True,True,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,input-derived low-pass; deliberately off-manifold diagnostic,False
original_f,ig_low_pass,fixed,stable_or_near_floor,23,6,gds22_over_shat_squared,2.2312005855431207e-07,-2.9934508291220418e-05,3.317755110652941e-05,7.840292557006703e-05,0.6499999999999999,True,True,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,input-derived low-pass; deliberately off-manifold diagnostic,False
original_f,ig_low_pass,fixed,unstable,977,0,bmag,1.0148624628470836e-06,-2.8198865739251315e-05,3.1843397429185414e-05,0.0004742542527151057,0.6947916666666667,True,True,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,input-derived low-pass; deliberately off-manifold diagnostic,True
original_f,ig_low_pass,fixed,unstable,977,1,gbdrift,-1.5142206475917168e-05,-0.0001342071169971446,0.00010696373311218966,0.0017839648736411708,0.75,True,True,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,input-derived low-pass; deliberately off-manifold diagnostic,True
original_f,ig_low_pass,fixed,unstable,977,2,cvdrift,1.163537981079161e-05,-6.15097627669213e-05,8.212656436351369e-05,0.0009638243489909082,0.6854166666666667,True,True,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,input-derived low-pass; deliberately off-manifold diagnostic,True
original_f,ig_low_pass,fixed,unstable,977,3,gbdrift0_over_shat,0.00010997474023641871,-8.554334690318251e-05,0.00031789774033704886,0.0021561108835090894,0.7781250000000001,True,True,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,input-derived low-pass; deliberately off-manifold diagnostic,True
original_f,ig_low_pass,fixed,unstable,977,4,gds2,7.443630192705188e-06,-0.0004050032590784851,0.00042238533925547045,0.0020416904893703187,0.634375,True,True,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,input-derived low-pass; deliberately off-manifold diagnostic,True
original_f,ig_low_pass,fixed,unstable,977,5,gds21_over_shat,-5.124859764978829e-05,-0.00018302075287411322,8.553620519612962e-05,0.001541731840466896,0.7281249999999999,True,True,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,input-derived low-pass; deliberately off-manifold diagnostic,True
original_f,ig_low_pass,fixed,unstable,977,6,gds22_over_shat_squared,-2.804711585186563e-05,-8.394158199029769e-05,3.140506055910922e-05,0.0009429892776035708,0.7427083333333333,True,True,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,input-derived low-pass; deliberately off-manifold diagnostic,True
original_f,periodic_mask,varied,all,1000,0,bmag,0.07416902977345029,0.06971888988226098,0.07828583691385545,0.07416902977345029,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
