function,method,artifact_method,batch_layout_adapter,deterministic_optimizer,stratum,row_count,signed,contribution_valued,validity_tag,baseline_family,baseline_validity_tag,registered_baseline_convention,faithfulness_replacement,runtime_seconds,sparsity_fraction_for_90pct_mass,deletion_auc,random_deletion_auc,deletion_margin_vs_random,insertion_auc,random_insertion_auc,insertion_margin_vs_random,toy_channel_top1,toy_position_average_precision,toy_deletion_margin_vs_random,normalized_infidelity,cyclic_equivariance_relative_rms,cyclic_equivariance_baseline_convention,cyclic_equivariance_fixed_baseline_relative_rms,parameter_randomization_correlation,trained_map_input_baseline_abs_rank_correlation,randomized_map_input_baseline_abs_rank_correlation,relative_local_sensitivity,completeness_median_abs,completeness_q90_abs,completeness_max_abs,baseline_rank_correlation_vs_robust_constant,canonical_original_rank_correlation,control_map,deletion_control_map_margin_vs_random,deletion_method_minus_control_map_gap_estimate,deletion_method_minus_control_map_gap_ci_lower,deletion_method_minus_control_map_gap_ci_upper,deletion_margin_vs_control_map,insertion_control_map_margin_vs_random,insertion_method_minus_control_map_gap_estimate,insertion_method_minus_control_map_gap_ci_lower,insertion_method_minus_control_map_gap_ci_upper,insertion_margin_vs_control_map
invariant_tilde_f,ig_low_pass,integrated_gradients_captum,none,not_applicable,stable_or_near_floor,18,True,True,deliberately_off_manifold_diagnostic,low_pass,deliberately_off_manifold_diagnostic,co_shifted_input_derived,low_pass,1.566549582988955,0.3705357015132904,0.14290728149604184,1.0598223396599318,0.91691505816389,0.7633529898280325,-0.08996202966734335,0.8533150194953758,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,1.0129558319638234,0.0017590555879804836,-9.367321928342132e-05,0.00457240660157468,-0.09604077379993348,1.2505137004693927,0.006683345304595098,0.0005713100069099002,0.01825547810643911,-0.3971986809740169
invariant_tilde_f,ig_low_pass,integrated_gradients_captum,none,not_applicable,unstable,46,True,True,deliberately_off_manifold_diagnostic,low_pass,deliberately_off_manifold_diagnostic,co_shifted_input_derived,low_pass,1.566549582988955,0.3616071343421936,0.030019807559675003,0.15670765555873298,0.12668784799905797,0.8361940047437213,0.2727828990529379,0.5634111056907833,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.7694776439517553,0.008501665358958039,-0.0005366457132217679,0.017626383217942455,-0.6427897959526974,0.836688562921594,0.00725393128459868,0.0008767929705588732,0.013901769346760013,-0.27327745723081065
invariant_tilde_f,expected_gradients,expected_gradients_captum,captum_sample_major_to_step_major,not_applicable,all,64,True,True,deliberately_off_manifold_diagnostic,observed_background_distribution,observed_comparison,fixed,observed_background_distribution,0.567452957999194,0.5104166865348816,0.16551497064730464,0.4461318525934688,0.2806168819461642,0.798023093891726,0.4097272483540193,0.3882958455377067,1.0,1.0,0.5322035987213501,0.822277843952179,0.00014526181621477008,co_shifted,1.0129910707473755,0.1711219592810214,nan,nan,0.025979232043027878,nan,nan,nan,nan,0.6861517822054686,absolute_input_minus_baseline,0.07383691199601868,0.2252723552519456,0.1641376211127499,0.30854514868377014,0.20677996995014553,-0.0012626154005136376,0.34739335442427544,0.21651709603844213,0.45162810946232634,0.38955846093822033
invariant_tilde_f,expected_gradients,expected_gradients_captum,captum_sample_major_to_step_major,not_applicable,stable_or_near_floor,18,True,True,deliberately_off_manifold_diagnostic,observed_background_distribution,observed_comparison,fixed,observed_background_distribution,0.567452957999194,0.5148809552192688,0.4676654375805965,1.090508135138061,0.6228426975574646,1.3270080506245454,1.119061786026972,0.20794626459757337,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.19767469133575036,0.04091020342376496,-0.023452763594686985,0.11130421382271583,0.42516800622171425,-0.21005998085626434,0.009904885623190147,-0.05041579299088982,0.060524141726394386,0.4180062454538377
invariant_tilde_f,expected_gradients,expected_gradients_captum,captum_sample_major_to_step_major,not_applicable,unstable,46,True,True,deliberately_off_manifold_diagnostic,observed_background_distribution,observed_comparison,fixed,observed_background_distribution,0.567452957999194,0.4970238208770752,0.1775587284788557,0.47789389305266405,0.3003351645738084,0.8191085509711831,0.40663675889636797,0.4124717920748151,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.08485018619400997,0.29741406770342066,0.18431708237055033,0.3913443972982223,0.2154849783797984,0.021779385374892234,0.4794540585383126,0.3781419202515289,0.6718220108617905,0.3906924066999229
invariant_tilde_f,periodic_mask,periodic_extremal_mask__matched_observed,none,True,all,64,False,False,deliberately_off_manifold_diagnostic,matched_observed,observed_comparison,fixed_matched_observed,matched_observed,1.5590746249945369,0.7782738208770752,-37.505182323391466,-16.554189748841555,20.95099257454991,13.58369094878641,-15.87143230932412,29.455123258110532,1.0,1.0,0.5322035987213501,nan,2.497713467164431e-07,co_shifted,0.5201693177223206,0.25163926833265143,nan,nan,0.05547379329800606,nan,nan,nan,nan,0.4518262100313083,absolute_input_minus_baseline,-1.6919781646611316,-0.07203112244606019,-0.21832370439951773,0.14452505338354965,22.642970739211044,7.901961621458896,-0.11415383595449385,-0.25051550359305114,0.027116986594119194,21.553161636651637
invariant_tilde_f,periodic_mask,periodic_extremal_mask__matched_observed,none,True,stable_or_near_floor,18,False,False,deliberately_off_manifold_diagnostic,matched_observed,observed_comparison,fixed_matched_observed,matched_observed,1.5590746249945369,0.7857142686843872,0.19194317825913979,0.8516146825296054,0.6596715042704656,0.7456953685128282,0.7733032834759643,-0.027607914963136082,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.32074341654181165,-0.03840551922718685,-0.18785210443867575,0.10848712399188017,0.33892808772865396,-0.25883220328940126,-0.05185882217354242,-0.21459952457497514,0.09611074337942725,0.23122428832626518
invariant_tilde_f,periodic_mask,periodic_extremal_mask__matched_observed,none,True,unstable,46,False,False,deliberately_off_manifold_diagnostic,matched_observed,observed_comparison,fixed_matched_observed,matched_observed,1.5590746249945369,0.7708333134651184,-4.254289804709115,-0.9008864651109543,3.3534033395981613,2.2598889980728503,-1.2750083478028582,3.5348973458757085,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.3837976778797535,-0.0851889726746341,-0.3446294510210662,0.0875133247620871,2.9696056617184077,0.7888312360472438,-0.13853014648041648,-0.38343076768645046,0.07859116235585956,2.7460661098284644
invariant_tilde_f,periodic_mask_robust_constant,periodic_extremal_mask__robust_constant,none,True,all,64,False,False,deliberately_off_manifold_diagnostic,robust_constant,deliberately_off_manifold_diagnostic,fixed_robust_constant,robust_constant,1.3867140839865897,0.7723214030265808,-0.15566101736470767,0.42136409759588844,0.577025114960596,0.9306740014472673,0.35394587718455256,0.5767281242627147,1.0,1.0,0.5322035987213501,nan,2.448206544158893e-07,co_shifted,2.448206544158893e-07,0.26437009648032933,nan,nan,0.06248290091753006,nan,nan,nan,nan,0.5167660966558589,absolute_input_minus_baseline,0.1343897201251186,0.22454001306032295,0.10549493609374626,0.3572631302713126,0.4426353948354774,0.06388397407529989,0.3242550746799679,0.12382675905464563,0.46902573817678783,0.5128441501874148
invariant_tilde_f,periodic_mask_robust_constant,periodic_extremal_mask__robust_constant,none,True,stable_or_near_floor,18,False,False,deliberately_off_manifold_diagnostic,robust_constant,deliberately_off_manifold_diagnostic,fixed_robust_constant,robust_constant,1.3867140839865897,0.7470238208770752,0.6959846389481813,0.8849674000842829,0.18898276113610157,0.9178457596471706,0.9351713592482245,-0.017325599601053843,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.14933778402924386,0.012522003882461129,-0.030318279295331898,0.07350043306334139,0.039644977106857715,-0.08646991662697369,0.05051578084627787,-0.00516606698019637,0.11152986017366244,0.06914431702591985
invariant_tilde_f,periodic_mask_robust_constant,periodic_extremal_mask__robust_constant,none,True,unstable,46,False,False,deliberately_off_manifold_diagnostic,robust_constant,deliberately_off_manifold_diagnostic,fixed_robust_constant,robust_constant,1.3867140839865897,0.7857142686843872,-0.08976517859449365,0.438730541915396,0.5284957205098897,0.9296814670941455,0.4105308803863552,0.5191505867077902,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.1170416039440466,0.3075035845455917,0.11405433926690861,0.5034959748581697,0.4114541165658431,0.04063750243251187,0.43137045255659723,0.220793711837867,0.6155690855745468,0.4785130842752784
