function,method,stratum,row_count,fraction,original_output,baseline_output,deletion_output,insertion_output,random_deletion_output,random_insertion_output,deletion_support_drift_rms,insertion_support_drift_rms,random_deletion_support_drift_rms,random_insertion_support_drift_rms,deletion_support_warning,insertion_support_warning,random_deletion_support_warning,random_insertion_support_warning,validity_tag
original_f,vargrad,unstable,95,0.25,1.274226427078247,1.0389491319656372,0.6784811019897461,1.3153542280197144,0.9822664856910706,0.8647860884666443,0.9949474334716797,0.9949474334716797,2.00138783454895,2.00138783454895,0.65,0.6518092105263158,0.6519736842105263,0.6893092105263158,deliberately_off_manifold_diagnostic
original_f,vargrad,unstable,95,0.5,1.274226427078247,1.0389491319656372,0.7014188170433044,1.3968232870101929,0.8628581762313843,0.8241519927978516,1.540021538734436,1.540021538734436,3.0351247787475586,3.0351247787475586,0.6356907894736842,0.6398026315789473,0.6689144736842105,0.6817434210526315,deliberately_off_manifold_diagnostic
original_f,vargrad,unstable,95,1.0,1.274226427078247,1.0389491319656372,1.0389491319656372,1.274226427078247,1.0389491319656372,1.274226427078247,3.9369466304779053,3.9369466304779053,3.9369466304779053,3.9369466304779053,0.9052631578947369,0.6988486842105263,0.9052631578947369,0.6988486842105263,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,all,128,0.0,0.4387986958026886,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.0,0.0,0.0,0.0,0.706787109375,0.920166015625,0.706787109375,0.920166015625,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,all,128,0.05,0.4387986958026886,0.3949170708656311,0.2893862724304199,0.38200196623802185,0.4108507037162781,0.39639243483543396,1.8396201133728027,1.8396201133728027,1.0635085105895996,1.0635085105895996,0.6802978515625,0.7540283203125,0.6839599609375,0.7724609375,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,all,128,0.1,0.4387986958026886,0.3949170708656311,0.29663997888565063,0.36622628569602966,0.3618575930595398,0.35328352451324463,2.7953014373779297,2.7953014373779297,1.2421921491622925,1.2421921491622925,0.6636962890625,0.68212890625,0.6766357421875,0.744873046875,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,all,128,0.25,0.4387986958026886,0.3949170708656311,0.2994464039802551,0.41973114013671875,0.25832200050354004,0.2348734736442566,3.3971939086914062,3.3971939086914062,2.177741050720215,2.177741050720215,0.654296875,0.66357421875,0.654052734375,0.6951904296875,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,all,128,0.5,0.4387986958026886,0.3949170708656311,0.37193241715431213,0.41652724146842957,0.12879444658756256,0.11840397864580154,3.6094422340393066,3.6094422340393066,2.7105681896209717,2.7105681896209717,0.6502685546875,0.6522216796875,0.675537109375,0.6788330078125,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,all,128,1.0,0.4387986958026886,0.3949170708656311,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.4387986958026886,3.8091042041778564,3.8091042041778564,3.8091042041778564,3.8091042041778564,0.920166015625,0.706787109375,0.920166015625,0.706787109375,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,stable_or_near_floor,33,0.0,-1.966220736503601,-1.4591144323349,-1.966220736503601,-1.4591144323349,-1.966220736503601,-1.4591144323349,0.0,0.0,0.0,0.0,0.7296401515151515,0.9630681818181818,0.7296401515151515,0.9630681818181818,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,stable_or_near_floor,33,0.05,-1.966220736503601,-1.4591144323349,-1.5397148132324219,-1.5712701082229614,-1.983337163925171,-1.4808745384216309,1.8785383701324463,1.8785383701324463,0.5209906697273254,0.5209906697273254,0.6856060606060606,0.8016098484848485,0.7007575757575758,0.8115530303030303,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,stable_or_near_floor,33,0.1,-1.966220736503601,-1.4591144323349,-1.4421837329864502,-1.7785885334014893,-1.9870647192001343,-1.5468448400497437,1.9828542470932007,1.9828542470932007,0.7447199821472168,0.7447199821472168,0.7026515151515151,0.7007575757575758,0.712594696969697,0.8233901515151515,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,stable_or_near_floor,33,0.25,-1.966220736503601,-1.4591144323349,-1.4736309051513672,-1.8080111742019653,-1.9544689655303955,-1.7006831169128418,2.8181979656219482,2.8181979656219482,1.4707304239273071,1.4707304239273071,0.6714015151515151,0.6893939393939394,0.7083333333333334,0.7286931818181818,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,stable_or_near_floor,33,0.5,-1.966220736503601,-1.4591144323349,-1.4651050567626953,-1.9490909576416016,-1.8600106239318848,-1.8373712301254272,3.130337953567505,3.130337953567505,2.347141742706299,2.347141742706299,0.6946022727272727,0.7026515151515151,0.6837121212121212,0.7073863636363636,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,stable_or_near_floor,33,1.0,-1.966220736503601,-1.4591144323349,-1.4591144323349,-1.966220736503601,-1.4591144323349,-1.966220736503601,3.4144537448883057,3.4144537448883057,3.4144537448883057,3.4144537448883057,0.9630681818181818,0.7296401515151515,0.9630681818181818,0.7296401515151515,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,unstable,95,0.0,1.274226427078247,1.0389491319656372,1.274226427078247,1.0389491319656372,1.274226427078247,1.0389491319656372,0.0,0.0,0.0,0.0,0.6988486842105263,0.9052631578947369,0.6988486842105263,0.9052631578947369,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,unstable,95,0.05,1.274226427078247,1.0389491319656372,0.9247581958770752,1.06050705909729,1.2183459997177124,1.0314465761184692,1.8259069919586182,1.8259069919586182,0.746620237827301,0.746620237827301,0.678453947368421,0.7375,0.6787828947368421,0.7375,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,unstable,95,0.1,1.274226427078247,1.0389491319656372,0.9006525278091431,1.1112672090530396,1.1810370683670044,0.9842695593833923,3.026911973953247,3.026911973953247,1.1332014799118042,1.1332014799118042,0.6501644736842105,0.6756578947368421,0.6613486842105263,0.7036184210526316,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,unstable,95,0.25,1.274226427078247,1.0389491319656372,0.9153575897216797,1.1935783624649048,0.9987695813179016,0.8724110126495361,3.5764501094818115,3.5764501094818115,2.1009161472320557,2.1009161472320557,0.6483552631578947,0.6546052631578947,0.659375,0.687828947368421,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,unstable,95,0.5,1.274226427078247,1.0389491319656372,1.010061264038086,1.2382683753967285,0.83074951171875,0.8223673105239868,3.7616145610809326,3.7616145610809326,2.9206595420837402,2.9206595420837402,0.6348684210526315,0.6347039473684211,0.6820723684210527,0.665296052631579,deliberately_off_manifold_diagnostic
original_f,cyclic_occlusion,unstable,95,1.0,1.274226427078247,1.0389491319656372,1.0389491319656372,1.274226427078247,1.0389491319656372,1.274226427078247,3.9369466304779053,3.9369466304779053,3.9369466304779053,3.9369466304779053,0.9052631578947369,0.6988486842105263,0.9052631578947369,0.6988486842105263,deliberately_off_manifold_diagnostic
original_f,periodic_mask,all,128,0.0,0.4387986958026886,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.0,0.0,0.0,0.0,0.706787109375,0.920166015625,0.706787109375,0.920166015625,deliberately_off_manifold_diagnostic
original_f,periodic_mask,all,128,0.05,0.4387986958026886,0.3949170708656311,0.12788131833076477,0.41145339608192444,0.40245503187179565,0.3928660452365875,1.4870883226394653,1.4870883226394653,1.075334906578064,1.075334906578064,0.6796875,0.746826171875,0.6590576171875,0.785400390625,deliberately_off_manifold_diagnostic
original_f,periodic_mask,all,128,0.1,0.4387986958026886,0.3949170708656311,0.06362345814704895,0.46186310052871704,0.35026681423187256,0.35494914650917053,2.3077597618103027,2.3077597618103027,1.377071499824524,1.377071499824524,0.655029296875,0.6864013671875,0.660888671875,0.75048828125,deliberately_off_manifold_diagnostic
original_f,periodic_mask,all,128,0.25,0.4387986958026886,0.3949170708656311,-0.0343935452401638,0.4394685924053192,0.23378978669643402,0.25802600383758545,2.7932615280151367,2.7932615280151367,1.9787328243255615,1.9787328243255615,0.670654296875,0.6617431640625,0.6605224609375,0.7088623046875,deliberately_off_manifold_diagnostic
original_f,periodic_mask,all,128,0.5,0.4387986958026886,0.3949170708656311,-0.010056819766759872,0.47583699226379395,0.159917950630188,0.13715162873268127,2.978755474090576,2.978755474090576,2.5809671878814697,2.5809671878814697,0.666015625,0.66015625,0.689453125,0.6800537109375,deliberately_off_manifold_diagnostic
original_f,periodic_mask,all,128,1.0,0.4387986958026886,0.3949170708656311,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.4387986958026886,3.8091042041778564,3.8091042041778564,3.8091042041778564,3.8091042041778564,0.920166015625,0.706787109375,0.920166015625,0.706787109375,deliberately_off_manifold_diagnostic
original_f,periodic_mask,stable_or_near_floor,33,0.0,-1.966220736503601,-1.4591144323349,-1.966220736503601,-1.4591144323349,-1.966220736503601,-1.4591144323349,0.0,0.0,0.0,0.0,0.7296401515151515,0.9630681818181818,0.7296401515151515,0.9630681818181818,deliberately_off_manifold_diagnostic
original_f,periodic_mask,stable_or_near_floor,33,0.05,-1.966220736503601,-1.4591144323349,-1.7917029857635498,-1.6052398681640625,-1.9687588214874268,-1.5063953399658203,1.8438396453857422,1.8438396453857422,1.0517429113388062,1.0517429113388062,0.709280303030303,0.75,0.6846590909090909,0.8177083333333334,deliberately_off_manifold_diagnostic
original_f,periodic_mask,stable_or_near_floor,33,0.1,-1.966220736503601,-1.4591144323349,-1.7465193271636963,-1.6651053428649902,-1.978070855140686,-1.5509414672851562,2.2926993370056152,2.2926993370056152,1.1594831943511963,1.1594831943511963,0.6917613636363636,0.6903409090909091,0.6799242424242424,0.7713068181818182,deliberately_off_manifold_diagnostic
original_f,periodic_mask,stable_or_near_floor,33,0.25,-1.966220736503601,-1.4591144323349,-1.7306041717529297,-1.8136277198791504,-1.954166054725647,-1.6513375043869019,2.6776156425476074,2.6776156425476074,1.7532347440719604,1.7532347440719604,0.7253787878787878,0.6988636363636364,0.6993371212121212,0.7263257575757576,deliberately_off_manifold_diagnostic
original_f,periodic_mask,stable_or_near_floor,33,0.5,-1.966220736503601,-1.4591144323349,-1.6239086389541626,-1.842726469039917,-1.825540542602539,-1.82108736038208,2.977416753768921,2.977416753768921,2.3996329307556152,2.3996329307556152,0.7490530303030303,0.6851325757575758,0.7215909090909091,0.7144886363636364,deliberately_off_manifold_diagnostic
original_f,periodic_mask,stable_or_near_floor,33,1.0,-1.966220736503601,-1.4591144323349,-1.4591144323349,-1.966220736503601,-1.4591144323349,-1.966220736503601,3.4144537448883057,3.4144537448883057,3.4144537448883057,3.4144537448883057,0.9630681818181818,0.7296401515151515,0.9630681818181818,0.7296401515151515,deliberately_off_manifold_diagnostic
original_f,periodic_mask,unstable,95,0.0,1.274226427078247,1.0389491319656372,1.274226427078247,1.0389491319656372,1.274226427078247,1.0389491319656372,0.0,0.0,0.0,0.0,0.6988486842105263,0.9052631578947369,0.6988486842105263,0.9052631578947369,deliberately_off_manifold_diagnostic
original_f,periodic_mask,unstable,95,0.05,1.274226427078247,1.0389491319656372,0.7946842312812805,1.1119890213012695,1.2184587717056274,1.0290160179138184,1.3411372900009155,1.3411372900009155,0.6432715654373169,0.6432715654373169,0.6694078947368421,0.7457236842105263,0.665625,0.7529605263157895,deliberately_off_manifold_diagnostic
original_f,periodic_mask,unstable,95,0.1,1.274226427078247,1.0389491319656372,0.6924099326133728,1.20070481300354,1.1474190950393677,1.0088485479354858,2.3129682540893555,2.3129682540893555,1.5013874769210815,1.5013874769210815,0.6422697368421053,0.6850328947368421,0.6644736842105263,0.7287828947368421,deliberately_off_manifold_diagnostic
original_f,periodic_mask,unstable,95,0.25,1.274226427078247,1.0389491319656372,0.5548164248466492,1.2221230268478394,1.0002809762954712,0.8956575989723206,2.8323283195495605,2.8323283195495605,1.9769089221954346,1.9769089221954346,0.6516447368421052,0.6488486842105263,0.6618421052631579,0.7172697368421053,deliberately_off_manifold_diagnostic
original_f,periodic_mask,unstable,95,0.5,1.274226427078247,1.0389491319656372,0.5505443811416626,1.2812328338623047,0.8626340627670288,0.8042461276054382,2.979220151901245,2.979220151901245,2.7273197174072266,2.7273197174072266,0.6371710526315789,0.6514802631578948,0.672203947368421,0.6674342105263158,deliberately_off_manifold_diagnostic
original_f,periodic_mask,unstable,95,1.0,1.274226427078247,1.0389491319656372,1.0389491319656372,1.274226427078247,1.0389491319656372,1.274226427078247,3.9369466304779053,3.9369466304779053,3.9369466304779053,3.9369466304779053,0.9052631578947369,0.6988486842105263,0.9052631578947369,0.6988486842105263,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,all,128,0.0,0.4387986958026886,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.0,0.0,0.0,0.0,0.706787109375,0.920166015625,0.706787109375,0.920166015625,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,all,128,0.05,0.4387986958026886,0.3949170708656311,0.1720385104417801,0.4653465151786804,0.38980674743652344,0.38437050580978394,0.42372238636016846,0.42372238636016846,0.5924532413482666,0.5924532413482666,0.6712646484375,0.8033447265625,0.6787109375,0.749267578125,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,all,128,0.1,0.4387986958026886,0.3949170708656311,0.07487975805997849,0.5415604114532471,0.35236814618110657,0.35818326473236084,0.6260927319526672,0.6260927319526672,1.1379286050796509,1.1379286050796509,0.65576171875,0.7442626953125,0.662353515625,0.737548828125,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,all,128,0.25,0.4387986958026886,0.3949170708656311,0.007949620485305786,0.6482225060462952,0.23256024718284607,0.2603280246257782,1.0170050859451294,1.0170050859451294,2.1671981811523438,2.1671981811523438,0.639404296875,0.66357421875,0.66845703125,0.71142578125,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,all,128,0.5,0.4387986958026886,0.3949170708656311,0.0476834811270237,0.6304263472557068,0.08770141005516052,0.1650286316871643,1.5238027572631836,1.5238027572631836,2.830125570297241,2.830125570297241,0.64013671875,0.6448974609375,0.695068359375,0.6756591796875,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,all,128,1.0,0.4387986958026886,0.3949170708656311,0.3949170708656311,0.4387986958026886,0.3949170708656311,0.4387986958026886,3.8091042041778564,3.8091042041778564,3.8091042041778564,3.8091042041778564,0.920166015625,0.706787109375,0.920166015625,0.706787109375,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,stable_or_near_floor,33,0.0,-1.966220736503601,-1.4591144323349,-1.966220736503601,-1.4591144323349,-1.966220736503601,-1.4591144323349,0.0,0.0,0.0,0.0,0.7296401515151515,0.9630681818181818,0.7296401515151515,0.9630681818181818,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,stable_or_near_floor,33,0.05,-1.966220736503601,-1.4591144323349,-1.9239246845245361,-1.5127099752426147,-1.967542290687561,-1.4944183826446533,0.39311501383781433,0.39311501383781433,0.48484185338020325,0.48484185338020325,0.7078598484848485,0.7845643939393939,0.6837121212121212,0.8233901515151515,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,stable_or_near_floor,33,0.1,-1.966220736503601,-1.4591144323349,-1.8933912515640259,-1.5516812801361084,-1.953372597694397,-1.5299689769744873,0.5970843434333801,0.5970843434333801,0.7024049758911133,0.7024049758911133,0.6714015151515151,0.7490530303030303,0.650094696969697,0.8044507575757576,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,stable_or_near_floor,33,0.25,-1.966220736503601,-1.4591144323349,-1.7226594686508179,-1.6489745378494263,-1.942362904548645,-1.6575078964233398,0.9773154258728027,0.9773154258728027,1.412807822227478,1.412807822227478,0.662405303030303,0.7035984848484849,0.7007575757575758,0.7381628787878788,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,stable_or_near_floor,33,0.5,-1.966220736503601,-1.4591144323349,-1.6767996549606323,-1.8757044076919556,-1.8645343780517578,-1.8603198528289795,1.4771571159362793,1.4771571159362793,2.2063236236572266,2.2063236236572266,0.7026515151515151,0.6979166666666666,0.7419507575757576,0.7173295454545454,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,stable_or_near_floor,33,1.0,-1.966220736503601,-1.4591144323349,-1.4591144323349,-1.966220736503601,-1.4591144323349,-1.966220736503601,3.4144537448883057,3.4144537448883057,3.4144537448883057,3.4144537448883057,0.9630681818181818,0.7296401515151515,0.9630681818181818,0.7296401515151515,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,unstable,95,0.0,1.274226427078247,1.0389491319656372,1.274226427078247,1.0389491319656372,1.274226427078247,1.0389491319656372,0.0,0.0,0.0,0.0,0.6988486842105263,0.9052631578947369,0.6988486842105263,0.9052631578947369,deliberately_off_manifold_diagnostic
