candidate,outcome,regime,matched_pairs,mean_high_minus_low,ci95_lower,ci95_upper,median_candidate_contrast,median_nuisance_distance_iqr_units,max_abs_nuisance_smd_before,max_abs_nuisance_smd_after,bootstrap_replicates,bootstrap_unit,interval_interpretable,interval_interpretability_minimum_pairs,validity_tag,causal_claim_permitted
f_stab,log10_Q_stds,either_stable_or_near_floor,4,2.4206974279625433,2.2857369240917795,2.6675359222824664,1.0086628782567097,1.5823282092014197,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_stab,log10_Q_stds,both_unstable,198,0.613021858568765,0.5340618484458931,0.6891355076076707,0.7902536840354346,0.8091307763320674,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,log10_zonal_phi2,all,202,0.850150802800314,0.7558763992019513,0.9494309501305469,0.7948029506479712,0.8235700473910277,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,log10_zonal_phi2,either_stable_or_near_floor,4,4.071821243265134,3.335891989256652,4.932605573113563,1.0086628782567097,1.5823282092014197,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_stab,log10_zonal_phi2,both_unstable,198,0.7850665514777924,0.7051181481384773,0.8677856259360166,0.7902536840354346,0.8091307763320674,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,Qz_localization,all,202,0.06908756507317984,-0.1630971597638214,0.29753357959201054,0.7948029506479712,0.8235700473910277,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,Qz_localization,either_stable_or_near_floor,4,0.9361184375562126,0.24287777283291892,1.9404342091458018,1.0086628782567097,1.5823282092014197,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_stab,Qz_localization,both_unstable,198,0.05157178987150239,-0.16989860554602443,0.2878659329054354,0.7902536840354346,0.8091307763320674,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,Qz_positive_fraction,all,202,0.0,0.0,0.0,0.7948029506479712,0.8235700473910277,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
f_stab,Qz_positive_fraction,either_stable_or_near_floor,4,0.0,0.0,0.0,1.0086628782567097,1.5823282092014197,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,False,20,observed-comparison,False
f_stab,Qz_positive_fraction,both_unstable,198,0.0,0.0,0.0,0.7902536840354346,0.8091307763320674,2.3207450993621284,2.1921022729505095,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
bad_curvature_compression,target_native,all,215,1.878127909437645,1.6869514288322534,2.043388278813069,3.956572681015349,0.8597396668543346,3.389677156040502,3.7465191250190304,500,disjoint matched pair of equilibrium_files,True,20,observed-comparison,False
