candidate,outcome,gradient_set,regime,rows,spearman_rho,ci95_lower,ci95_upper,bootstrap_replicates,bootstrap_unit,validity_tag,claim_grade
bad_curvature_compression,log10_zonal_phi2,fixed,unstable,977,0.23224374858950608,0.1671607771053276,0.30390185039145245,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,Qz_localization,fixed,all,1000,0.5081228853791651,0.4590114573486443,0.5527634204498468,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,Qz_localization,fixed,stable_or_near_floor,23,0.09093154591521553,-0.12903031475537946,0.3076355782063193,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,Qz_localization,fixed,unstable,977,0.510915306988472,0.4644811839430768,0.5546151506941523,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,Qz_positive_fraction,fixed,all,1000,0.01449805694457437,-0.04868016038040816,0.08864733643484055,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,Qz_positive_fraction,fixed,stable_or_near_floor,23,0.09504132231404959,0.0,0.1921784794819012,500,equilibrium_files,observed-comparison,observational-physical
bad_curvature_compression,Qz_positive_fraction,fixed,unstable,977,-0.04013807822257333,-0.06270404404796723,0.0,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,target_native,fixed,all,1000,0.5194029029978575,0.46476449508124146,0.5702854680332359,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,target_native,fixed,stable_or_near_floor,23,0.22498852128662877,0.0,0.4686185285112006,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,target_native,fixed,unstable,977,0.48552176011247733,0.42459633558323406,0.5420797294189553,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,log_Q,fixed,all,1000,0.5194075594075594,0.4623824082764466,0.5692648409345041,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,log_Q,fixed,stable_or_near_floor,23,0.21442687747035571,-0.24571573587249854,0.631044017584633,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,log_Q,fixed,unstable,977,0.48552176011247733,0.4195025969904841,0.532919225336445,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,log10_Q_stds,fixed,all,1000,0.5194075594075594,0.46198989916562233,0.5749690632367103,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,log10_Q_stds,fixed,stable_or_near_floor,23,0.21442687747035571,-0.21683911072327708,0.6421282187116819,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,log10_Q_stds,fixed,unstable,977,0.48552176011247733,0.4294418998198217,0.54288602743882,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,log10_zonal_phi2,fixed,all,1000,0.3152602352602353,0.2528959742898423,0.37950396780726314,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,log10_zonal_phi2,fixed,stable_or_near_floor,23,0.04545454545454545,-0.35592630741139564,0.4645525305113073,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,log10_zonal_phi2,fixed,unstable,977,0.2677954977970131,0.20464782986388255,0.3332573617544939,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,Qz_localization,fixed,all,1000,0.101983433983434,0.040362225459665314,0.15791103878094248,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,Qz_localization,fixed,stable_or_near_floor,23,0.32806324110671936,-0.0724020460631394,0.6849875808734268,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,Qz_localization,fixed,unstable,977,0.08177109781640715,0.010859377221873636,0.14645884183592336,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,Qz_positive_fraction,fixed,all,1000,-0.03010895065322828,-0.12057981611048244,0.07319380429296875,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,Qz_positive_fraction,fixed,stable_or_near_floor,23,-0.29502234896936597,-0.5275552851412799,0.0,500,equilibrium_files,observed-comparison,observational-physical
geodesic_curvature_compression,Qz_positive_fraction,fixed,unstable,977,-0.09465014584010685,-0.144280628751025,0.0,500,equilibrium_files,observed-comparison,observational-physical
